#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 42Q02: Cathedral Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cathedral Creek (42Q02) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2002,Jan 02,6,1.0,Jan 31,16,2.2,Mar 01,18,2.5,Apr 02,14,2.5,,,,,,
2003,,,,,,,,,,Apr 01,31,6.6,,,,,,
2004,,,,,,,Mar 01,24,4.0,,,,,,,,,
2005,,,,,,,,,,,,,May 04,0,0.0,,,
2006,,,,,,,,,,,,,,,,,,
2007,,,,Jan 29,7,0.9,Feb 27,5,1.0,Mar 30,7,1.8,Apr 28,0,0.0,,,
2008,,,,Jan 30,16,2.2,Feb 27,16,2.4,Mar 29,14,2.7,,,,,,
2009,,,,Feb 01,22,3.3,Feb 27,21,3.8,Mar 31,26,4.9,Apr 29,14,3.5,,,
2010,,,,Jan 31,18,2.4,Feb 28,16,2.5,Mar 29,21,3.5,May 03,0,0.0,,,
2011,,,,Jan 29,28,5.0,Feb 27,36,7.2,Mar 30,29,7.2,Apr 30,18,5.6,,,
2012,,,,,,,Feb 29,28,5.5,Mar 29,26,5.9,,,,,,
2013,,,,,,,Feb 26,26,4.1,Mar 29,40,6.9,Apr 28,27,7.4,,,
2014,,,,Jan 31,30,6.2,Feb 26,33,6.9,Mar 29,45,8.8,Apr 29,6,2.0,,,
2015,,,,Feb 01,28,5.6,Mar 01,34,6.4,Mar 30,22,6.6,Apr 28,14,4.9,,,
2016,,,,,,,Feb 29,27,5.6,Mar 31,21,5.7,,,,,,
2017,,,,Feb 02,27,5.2,Mar 01,34,6.6,Mar 29,29,6.7,Apr 30,17,5.5,,,
2018,,,,Jan 30,16,2.6,,,,Mar 28,31,5.9,,,,,,
2019,,,,Feb 01,21,3.4,,,,,,,,,,,,
2020,,,,,,,,,,Mar 30,48,9.4,,,,,,
2021,,,,Feb 02,22,3.6,,,,Apr 02,27,4.6,,,,,,
2022,,,,,,,,,,Mar 31,36,8.2,,,,,,
2023,,,,,,,Feb 26,40,7.9,Apr 03,28,6.0,,,,,,
2024,,,,,,,,,,,,,,,,,,
