#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 43O01: Tok Junction, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tok Junction (43O01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1650 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:23 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1960,,,,Mar 01,15,2.5,Feb 27,20,2.8,Mar 23,20,3.6,Sep 01,0,0.0,,,
1961,,,,Mar 01,19,3.1,May 01,21,3.4,Mar 30,22,3.9,Sep 01,0,0.0,,,
1962,,,,Mar 01,24,4.0,Mar 05,25,4.4,Apr 01,23,4.4,Apr 28,15,4.4,,,
1963,,,,Mar 01,19,3.2,Mar 02,19,3.5,Apr 02,18,2.1,May 01,0,0.0,,,
1964,,,,Mar 01,16,2.7,Mar 04,18,3.0,Apr 01,18,3.1,Apr 30,19,4.0,,,
1965,,,,Mar 01,18,2.9,Mar 01,18,3.2,Mar 30,11,2.4,Apr 29,0,0.0,,,
1966,,,,Mar 01,18,2.9,Feb 28,21,3.2,Mar 29,19,3.0,May 01,0,0.0,,,
1967,,,,Mar 01,24,3.9,Feb 28,26,4.3,Mar 30,28,6.0,Apr 29,12,2.1,,,
1968,,,,Mar 01,24,3.9,Feb 28,23,4.3,Mar 28,21,4.8,Apr 29,9,2.8,,,
1969,,,,Mar 01,11,1.8,Feb 28,14,2.0,Mar 26,17,2.8,Apr 29,0,0.0,,,
1970,,,,Mar 01,9,1.5,Feb 25,12,1.6,Mar 31,9,1.5,Apr 29,0,0.0,,,
1971,,,,Mar 01,18,2.9,Mar 02,19,3.2,Mar 31,19,4.1,May 03,6,1.8,,,
1972,,,,Jan 27,19,3.8,Mar 01,23,4.2,Mar 28,25,5.2,Apr 26,24,5.7,,,
1973,,,,Feb 01,12,2.1,Feb 28,13,2.2,Mar 29,12,2.6,May 01,0,0.0,,,
1974,,,,Jan 31,12,1.8,Feb 28,17,2.7,Apr 02,16,2.8,Apr 30,0,0.0,,,
1975,,,,Jan 29,18,3.3,Feb 28,18,3.1,Apr 01,18,3.7,May 02,0,0.0,,,
1976,,,,Jan 30,14,2.0,Feb 26,15,2.4,Mar 30,17,3.2,May 01,0,0.0,,,
1977,,,,Jan 27,14,2.6,Mar 02,16,2.4,Mar 31,16,3.4,Apr 27,0,0.0,,,
1978,,,,Feb 03,14,2.1,Feb 27,14,2.2,Mar 30,13,2.1,Apr 27,0,0.0,,,
1979,,,,Mar 01,23,3.8,Feb 26,21,4.2,Mar 30,22,4.4,Apr 30,0,0.0,,,
1980,,,,Jan 30,17,2.5,Feb 28,15,2.5,Mar 26,17,3.3,Apr 29,0,0.0,,,
1981,,,,Jan 28,10,1.2,Feb 23,14,1.8,Mar 31,11,2.2,Apr 28,0,0.0,,,
1982,,,,Jan 28,15,2.6,Feb 25,18,2.9,Mar 29,22,4.1,Apr 28,14,3.3,,,
1983,,,,Jan 26,17,3.0,Feb 28,20,3.3,Mar 27,20,3.3,May 02,0,0.0,,,
1984,,,,Jan 30,12,1.9,Mar 04,16,2.6,Apr 03,12,2.7,Apr 28,4,0.9,,,
