#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 43P03: Three Fingers, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Three Fingers (43P03) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 3350 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:12 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2002,Jan 02,10,1.2,Jan 31,18,2.0,May 01,18,2.2,Apr 02,16,2.3,,,,,,
2003,,,,Mar 01,33,4.6,,,,Apr 01,33,6.9,,,,,,
2004,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,May 04,0,0.0,,,
2006,,,,,,,,,,,,,,,,,,
2007,,,,Jan 29,9,1.1,Feb 27,12,1.4,Mar 30,15,2.5,Apr 28,9,2.7,,,
2008,,,,Jan 30,21,3.0,Feb 27,24,3.8,Mar 29,26,4.5,,,,,,
2009,,,,,,,Feb 27,30,5.0,Mar 31,29,5.6,Apr 29,21,5.0,,,
2010,,,,Jan 31,15,1.9,Feb 28,20,2.7,Mar 29,19,3.1,May 03,0,0.0,,,
2011,,,,Jan 29,24,4.5,Feb 27,27,5.5,Mar 30,27,5.7,Apr 30,24,5.7,,,
2012,,,,,,,Feb 29,27,5.3,Mar 29,28,6.3,,,,,,
2013,,,,,,,Feb 26,30,4.8,Mar 29,42,7.4,Apr 28,39,8.4,,,
2014,,,,,,,Feb 26,38,7.8,Mar 29,34,7.9,Apr 29,6,2.0,,,
2015,,,,Feb 01,33,6.9,Mar 01,33,7.3,Mar 30,32,7.6,Apr 28,25,8.5,,,
2016,,,,,,,Feb 29,30,6.3,Mar 31,34,7.1,,,,,,
2017,,,,Feb 02,41,6.5,Mar 01,27,6.2,Mar 29,27,6.3,Apr 30,22,6.4,,,
2018,,,,Jan 30,28,4.9,,,,Mar 28,34,6.9,,,,,,
2019,,,,Feb 01,27,4.5,,,,Mar 30,27,7.6,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,Apr 02,28,4.8,,,,,,
2022,,,,,,,,,,Mar 31,51,14.3,,,,,,
2023,,,,,,,Feb 26,39,7.6,Apr 03,46,10.5,,,,,,
2024,,,,,,,,,,,,,,,,,,
