#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 44Q07: Upper Chena Pillow Disc, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper Chena Pillow Disc (44Q07) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2850 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:58:05 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1980,,,,Jan 29,26,4.5,Mar 01,25,5.2,Mar 25,24,4.2,Sep 01,22,4.3,,,
1981,,,,Jan 29,16,2.7,Feb 25,21,4.1,Mar 26,19,4.3,Apr 28,14,3.3,,,
1982,,,,Jan 27,21,4.2,Feb 24,27,4.8,Mar 30,30,6.8,Apr 28,32,7.2,,,
1983,,,,Jan 27,25,5.4,Mar 04,26,5.4,Mar 30,27,6.0,Apr 28,13,4.2,,,
1984,,,,Feb 01,30,5.1,May 01,26,5.3,Mar 29,26,5.6,Sep 01,28,6.1,,,
1985,,,,Feb 01,34,7.5,Feb 28,37,7.8,Mar 28,40,9.8,Apr 30,39,10.4,May 15,28,10.0
1986,,,,Jan 31,20,4.0,Mar 03,23,4.2,Mar 27,26,4.7,May 01,22,4.6,,,
1987,,,,Jan 28,29,4.9,May 01,29,5.0,Mar 31,30,5.9,May 04,14,3.6,,,
1988,,,,Mar 01,21,2.8,May 01,22,3.2,Mar 31,22,3.4,May 02,0,0.0,,,
1989,,,,Mar 01,25,5.0,May 01,34,7.5,Mar 30,34,7.7,May 01,16,4.4,,,
1990,,,,Mar 01,33,6.6,May 01,38,7.8,Mar 28,35,8.2,Apr 26,29,7.6,,,
1991,,,,Mar 01,41,10.3,May 01,40,10.7,Mar 28,58,13.7,Apr 29,41,13.4,,,
1992,,,,Mar 01,27,4.4,May 01,31,5.6,Apr 02,31,6.2,Apr 28,38,9.0,,,
1993,,,,Mar 01,45,11.9,May 01,46,12.1,Mar 29,48,13.1,Apr 29,32,10.5,,,
1994,,,,Mar 01,22,6.1,May 01,34,6.7,Mar 28,35,7.1,Apr 28,14,3.3,,,
1995,,,,Feb 01,26,4.6,Mar 01,29,5.1,Mar 29,33,6.9,May 01,18,5.4,,,
