#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 45N01: Haggard Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Haggard Creek (45N01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2540 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:41 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,Mar 01,10,1.8,Feb 28,12,2.2,Apr 10,22,4.4,Sep 01,15,4.0,,,
1965,,,,Mar 01,13,2.4,May 01,14,2.9,Apr 02,18,3.6,,,,,,
1966,,,,Feb 02,26,5.2,Mar 04,28,5.6,Mar 28,30,6.3,Apr 28,25,5.6,,,
1967,,,,Feb 02,21,3.8,Feb 27,26,4.2,Mar 30,31,6.7,Apr 28,26,6.2,,,
1968,,,,Feb 07,28,5.0,Feb 27,31,6.0,Mar 28,28,6.3,Apr 30,24,5.9,,,
1969,,,,Feb 02,15,1.7,Feb 27,12,1.6,Mar 26,18,3.0,Apr 28,0,0.0,,,
1970,,,,Feb 06,14,1.8,Feb 25,13,2.3,Apr 01,13,2.8,Apr 29,10,2.2,,,
1971,,,,Mar 01,24,4.2,Mar 02,27,5.1,Mar 30,27,6.1,May 04,26,6.6,,,
1972,,,,Jan 27,35,7.8,Feb 29,37,9.3,Mar 28,45,10.4,Apr 26,41,10.9,,,
1973,,,,Jan 31,21,3.5,Feb 28,21,4.0,Mar 29,21,3.8,May 01,20,4.5,,,
1974,,,,Jan 29,19,3.4,Feb 27,29,5.4,Apr 01,34,7.2,Apr 29,24,6.7,,,
1975,,,,Jan 29,28,5.0,Feb 27,28,5.6,Apr 01,31,6.3,May 02,25,6.6,,,
1976,,,,Jan 29,12,1.3,Feb 26,14,2.4,Mar 30,16,3.2,May 01,3,0.6,,,
1977,,,,Jan 26,32,7.3,Mar 02,38,8.7,Mar 31,39,8.9,Apr 27,28,8.5,,,
1978,,,,Feb 02,23,4.0,Feb 28,26,5.2,Mar 31,26,5.9,Apr 28,18,4.8,,,
