#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 45N02: Sanford River, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sanford River (45N02) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2280 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:41 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1967,,,,Feb 02,19,3.2,Feb 27,34,6.3,Mar 30,29,6.0,May 01,6,1.8,,,
1968,,,,Feb 07,23,4.2,Feb 29,23,5.0,Mar 28,24,5.4,Apr 30,13,3.6,,,
1969,,,,Feb 02,15,2.4,Feb 28,14,2.5,Mar 27,17,3.0,Apr 29,0,0.0,,,
1970,,,,Feb 06,14,1.7,Feb 26,13,2.1,Mar 31,11,1.7,May 04,0,0.0,,,
1971,,,,Feb 02,19,3.5,Feb 25,21,3.8,Mar 30,23,4.6,Apr 30,12,2.8,,,
1972,,,,Feb 04,34,6.5,Feb 26,36,7.0,Mar 30,42,8.2,Apr 27,38,9.3,,,
1973,,,,Feb 01,18,3.1,Mar 03,20,3.6,Mar 30,18,4.0,May 01,3,0.9,,,
1974,,,,Jan 29,17,2.6,Feb 28,29,5.4,Apr 01,29,6.3,Apr 30,12,3.4,,,
1975,,,,Jan 30,29,6.1,Feb 28,28,6.2,Apr 02,28,6.2,Apr 29,19,5.9,,,
1976,,,,Feb 03,20,2.9,Feb 29,19,3.4,Mar 31,19,3.7,Apr 30,3,0.6,,,
1977,,,,Feb 02,10,2.5,Feb 27,19,3.9,Mar 30,26,5.5,Apr 27,18,4.5,,,
1978,,,,Jan 28,22,3.5,Mar 01,27,5.3,Mar 30,27,6.0,Apr 28,9,2.5,,,
1979,,,,Mar 01,34,5.9,Mar 01,34,7.6,Mar 29,36,8.4,Apr 30,9,2.7,,,
1980,,,,Mar 01,30,5.2,May 01,34,6.6,Apr 02,32,7.8,Apr 29,8,2.0,,,
1981,,,,Jan 29,14,2.3,Feb 26,11,2.3,Mar 30,15,3.1,Apr 28,6,1.5,,,
