#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 45N03: Tazlina, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tazlina (45N03) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:31 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1996,,,,Mar 01,6,1.2,Mar 05,20,4.0,Apr 04,24,6.2,May 01,0,0.0,,,
1997,,,,Jan 30,18,3.3,Mar 05,15,3.3,Apr 07,14,2.3,Sep 01,0,0.0,,,
1998,Jan 06,20,3.8,Feb 03,21,3.4,Mar 05,22,3.8,Apr 03,19,5.5,May 06,0,0.0,,,
1999,Jan 07,7,0.7,Feb 05,14,2.2,Mar 03,14,1.7,Mar 31,12,2.6,May 05,0,0.0,,,
2000,Jan 05,8,2.2,Jan 31,12,2.0,Mar 01,12,2.2,Apr 06,11,4.2,,,,,,
2001,,,,Feb 02,11,2.1,Mar 05,12,2.2,Mar 27,13,2.4,May 04,0,0.0,,,
2002,Jan 03,13,2.0,Feb 02,16,1.8,Mar 06,24,3.4,Apr 02,21,3.8,,,,,,
2003,Jan 03,14,2.3,Jan 28,18,3.1,Mar 03,10,3.0,Apr 01,10,2.5,May 04,0,0.0,,,
2004,Jan 01,16,3.2,Feb 02,16,2.8,Feb 26,20,4.0,Mar 30,22,4.8,Apr 30,0,0.0,,,
2005,Dec 27,16,3.2,Feb 02,15,3.2,Mar 01,21,4.5,Mar 31,14,3.8,,,,,,
2006,Jan 03,10,2.6,Feb 01,12,2.8,Mar 01,14,3.5,Mar 29,14,3.7,May 01,0,0.0,,,
2007,,,,Jan 30,18,3.6,Feb 27,16,3.6,Mar 28,21,4.7,May 01,0,0.0,,,
2008,,,,Jan 31,12,1.0,Feb 29,16,2.2,Mar 31,11,2.7,Apr 29,0,0.0,,,
2009,,,,Jan 28,6,1.2,Feb 27,10,2.0,Mar 31,13,2.9,May 01,0,0.0,,,
2010,,,,Feb 01,17,3.1,Feb 26,22,3.7,Mar 31,17,3.8,Apr 28,0,0.0,,,
2011,,,,Jan 31,16,2.1,Feb 28,24,3.1,Mar 31,24,5.2,Apr 29,0,0.0,,,
2012,,,,Feb 02,21,4.3,Feb 28,22,4.5,Mar 29,22,4.8,May 01,0,0.0,,,
2013,,,,Jan 31,14,2.2,Feb 26,15,2.8,Mar 29,16,3.0,May 01,13,3.5,,,
2014,,,,Jan 30,14,3.8,Feb 27,19,4.7,Apr 01,18,4.8,Apr 29,0,0.0,,,
2015,,,,Jan 29,24,3.3,Feb 27,20,4.4,Apr 01,16,5.2,Apr 30,0,0.0,,,
2016,,,,Feb 01,10,2.2,Feb 29,11,2.3,Mar 31,0,0.0,Apr 29,0,0.0,,,
2017,,,,Feb 01,17,3.0,Feb 28,19,3.6,Mar 29,17,3.6,May 01,0,0.0,,,
2018,,,,Jan 30,24,4.9,Feb 28,27,5.3,Mar 29,24,6.4,May 01,0,0.0,,,
2019,,,,Jan 31,15,2.4,Mar 01,16,2.7,Apr 01,0,0.0,Apr 29,0,0.0,,,
2020,,,,Jan 30,16,2.6,Feb 27,21,4.1,Apr 01,23,5.3,Apr 30,0,0.0,,,
2021,,,,Feb 01,13,2.5,Feb 26,17,3.1,Apr 02,20,4.5,Apr 29,0,0.0,,,
2022,,,,Feb 01,23,3.7,Mar 01,28,6.1,Mar 30,26,6.7,Apr 28,12,4.8,,,
2023,,,,Jan 31,26,5.2,Mar 01,29,6.7,Mar 29,30,7.3,Apr 28,18,6.7,,,
2024,,,,,,,,,,,,,,,,,,
