#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 45Q03: Ptarmigan Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ptarmigan Creek (45Q03) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2270 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:19 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1989,,,,,,,May 01,26,4.7,Apr 01,26,4.7,,,,,,
1990,,,,,,,Mar 02,31,5.2,Mar 31,29,6.0,,,,,,
1991,,,,,,,Feb 27,31,7.1,Apr 01,40,8.3,,,,,,
1992,,,,,,,Feb 27,27,4.4,Mar 28,24,4.7,,,,,,
1993,,,,,,,Feb 27,39,7.6,Mar 30,37,8.5,,,,,,
1994,,,,,,,Feb 26,19,3.1,Mar 30,21,3.2,,,,,,
1995,,,,,,,Mar 02,24,4.5,Mar 30,27,4.5,,,,,,
1996,,,,,,,Mar 03,22,3.3,Mar 26,24,3.9,,,,,,
1997,,,,,,,Feb 26,23,3.5,Mar 31,24,4.2,,,,,,
1998,,,,,,,Mar 01,18,2.9,Mar 29,18,2.9,,,,,,
1999,,,,,,,Feb 27,17,2.4,Jul 01,18,3.0,,,,,,
2000,,,,,,,Mar 01,34,7.5,Mar 31,33,8.3,,,,,,
2001,,,,,,,Feb 28,20,2.9,Mar 29,22,3.6,,,,,,
2002,,,,,,,Mar 02,16,2.5,Mar 30,17,2.4,,,,,,
2003,,,,,,,Feb 26,23,3.5,Mar 31,25,4.5,,,,,,
2004,,,,,,,Mar 01,22,3.8,Mar 31,25,3.9,,,,,,
2005,,,,,,,Mar 03,30,6.2,Apr 04,30,6.3,,,,,,
2006,,,,,,,Feb 28,27,4.5,Mar 31,24,4.6,,,,,,
2007,,,,,,,Feb 27,16,2.4,Mar 29,17,2.7,,,,,,
2008,,,,,,,Feb 28,17,2.3,Mar 31,17,2.4,,,,,,
2009,,,,,,,Feb 26,24,4.2,Mar 30,25,4.7,,,,,,
2010,,,,,,,Feb 26,18,2.7,Apr 02,20,3.2,,,,,,
