#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 46P01: Munson Ridge, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Munson Ridge (46P01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 3100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1962,,,,Mar 01,60,16.8,May 01,61,18.2,Mar 28,66,20.5,May 01,66,20.8,,,
1963,,,,Mar 01,50,11.3,May 01,48,12.3,Apr 05,49,13.8,May 04,42,12.3,,,
1964,,,,Mar 01,17,3.8,Mar 06,26,4.1,Apr 04,29,5.2,May 02,32,8.6,,,
1965,,,,Mar 01,24,5.5,Mar 04,27,6.0,Apr 03,35,8.4,May 06,40,9.9,,,
1966,,,,Mar 01,44,9.9,Mar 02,43,10.7,Mar 28,49,13.4,May 03,43,13.0,,,
1967,,,,Mar 01,29,6.6,Mar 04,34,7.2,Apr 03,45,9.9,Apr 30,29,13.0,,,
1968,,,,Feb 09,40,9.2,Feb 29,40,10.7,Apr 01,40,10.7,May 01,40,11.7,,,
1969,,,,Jan 29,27,4.6,Mar 03,26,5.7,Apr 01,30,6.6,May 01,24,6.8,,,
1970,,,,Feb 02,17,2.4,Mar 02,16,2.5,Mar 30,15,2.9,May 01,20,3.9,,,
1971,,,,Feb 03,48,13.9,Feb 26,52,14.6,Apr 01,51,15.8,Apr 29,55,17.0,,,
1972,,,,Feb 01,55,17.7,Mar 02,54,16.2,Mar 30,58,17.0,May 01,60,20.1,,,
1973,,,,Jan 30,37,8.8,Feb 26,40,10.2,Apr 02,43,11.3,Apr 30,44,10.9,,,
1974,,,,Feb 01,28,6.2,Mar 01,32,6.2,Mar 29,36,7.4,May 01,36,9.7,,,
1975,,,,Jan 31,41,7.7,Mar 01,38,8.3,Mar 28,39,8.4,Apr 28,47,11.4,,,
1976,,,,Jan 27,32,5.3,Feb 24,31,6.3,Mar 29,39,8.0,May 03,28,7.3,,,
1977,,,,Feb 03,34,5.7,May 01,29,6.5,Mar 28,35,7.3,Apr 25,35,8.7,,,
