#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 46Q01: Mt. Ryan, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mt. Ryan (46Q01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:08 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1962,,,,Mar 01,39,10.7,May 01,56,11.6,Mar 28,49,13.1,May 01,50,14.4,,,
1963,,,,Mar 01,28,5.8,May 01,30,6.3,Apr 05,46,7.1,May 04,38,12.0,,,
1964,,,,Mar 01,12,2.2,Mar 06,19,2.4,Apr 04,19,3.2,May 02,23,5.5,,,
1965,,,,Mar 01,17,2.9,Mar 04,20,3.2,Apr 03,26,4.4,May 06,25,5.8,,,
1966,,,,Mar 01,35,6.0,Mar 02,32,6.7,Mar 28,35,8.0,May 03,31,7.5,,,
1967,,,,Mar 01,42,8.8,May 01,46,9.5,Apr 03,46,10.7,Apr 30,45,13.5,,,
1968,,,,Feb 09,32,7.2,Feb 29,33,7.2,Apr 01,31,6.8,May 01,32,8.0,,,
1969,,,,Mar 01,17,3.0,Mar 03,18,3.3,Apr 03,24,4.4,May 01,15,3.8,,,
1970,,,,Mar 01,12,2.1,Mar 02,14,2.3,Mar 30,15,2.7,May 01,17,3.8,,,
1971,,,,Feb 03,48,13.0,Mar 04,54,15.0,Apr 01,49,14.6,Apr 30,52,15.4,,,
1972,,,,Feb 01,51,11.3,Mar 02,45,11.6,Mar 30,47,12.6,May 01,47,13.2,,,
1973,,,,Jan 30,32,7.0,Feb 26,31,7.2,Apr 03,33,8.5,Apr 30,31,7.1,,,
1974,,,,Feb 01,23,4.9,Mar 01,27,5.2,Mar 29,30,6.3,May 01,28,6.9,,,
1975,,,,Jan 31,36,6.9,Mar 01,32,7.4,Mar 28,31,7.1,Apr 28,37,9.6,,,
1976,,,,Jan 27,28,4.4,Feb 24,27,4.9,Mar 29,31,6.6,Sep 01,28,7.4,,,
1977,,,,Feb 03,31,5.2,Feb 28,28,5.8,Jul 01,29,6.5,Sep 01,28,7.3,,,
1978,,,,Jan 30,19,3.3,Mar 02,22,3.9,Mar 27,19,3.8,May 02,3,0.8,,,
1979,,,,Jan 25,26,5.4,May 01,28,5.9,Jul 01,29,6.5,Apr 27,38,8.4,,,
1980,,,,Mar 01,23,4.0,Mar 01,21,4.5,Jul 01,23,5.0,Apr 25,16,3.3,,,
1981,,,,Jan 29,16,2.4,Feb 25,21,3.6,Mar 26,21,3.7,Apr 28,15,3.6,,,
1982,,,,Jan 27,18,3.6,Feb 24,22,4.0,Mar 30,24,4.4,Apr 28,30,6.6,,,
1983,,,,Jan 27,25,5.0,Mar 04,28,5.8,Mar 30,28,5.8,Apr 28,20,5.4,,,
