#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 46Q02: Little Chena Ridge, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Little Chena Ridge (46Q02) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:07 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1962,,,,Mar 01,37,7.3,May 01,41,8.1,Mar 29,41,8.6,May 01,40,10.0,,,
1963,,,,Mar 01,22,4.4,May 01,25,4.9,Apr 05,34,5.2,May 04,23,5.7,,,
1964,,,,Mar 01,14,2.7,Mar 06,22,3.0,Apr 04,21,4.1,May 02,23,6.2,,,
1965,,,,Mar 01,14,2.7,Mar 04,19,3.0,Apr 03,15,4.0,May 04,13,4.2,,,
1966,,,,Mar 01,28,5.5,Mar 02,31,6.1,Mar 28,30,5.2,May 03,17,4.1,,,
1967,,,,,,,May 01,37,7.4,Apr 03,37,7.8,Apr 30,32,8.2,,,
1968,,,,Feb 09,28,6.0,Feb 29,28,6.0,Apr 01,26,5.0,May 01,19,5.1,,,
1969,,,,Mar 01,17,3.3,Mar 03,19,3.7,Apr 03,21,4.0,May 01,0,0.0,,,
1970,,,,Mar 01,8,1.6,Mar 02,12,1.8,Mar 30,12,2.1,May 01,8,1.9,,,
1971,,,,Feb 03,38,9.2,Mar 04,44,10.3,Apr 01,41,10.0,Apr 30,35,10.9,,,
1972,,,,Feb 01,41,8.1,Mar 02,36,8.7,Mar 30,38,9.0,May 01,39,10.6,,,
1973,,,,Jan 30,31,6.2,Feb 26,29,6.5,Apr 03,30,7.4,Apr 30,24,6.2,,,
1974,,,,Feb 01,20,4.0,Mar 01,26,4.9,Mar 29,24,5.1,May 01,13,4.0,,,
1975,,,,Jan 31,27,5.1,Mar 01,24,5.4,Mar 28,26,5.4,Apr 28,26,7.6,,,
1976,,,,Jan 27,22,3.6,Feb 24,23,4.4,Mar 29,26,5.5,Sep 01,19,5.2,,,
1977,,,,Feb 03,26,4.8,Feb 28,25,5.1,Mar 28,32,6.6,Sep 01,23,6.2,,,
1978,,,,Jan 30,18,3.1,Mar 02,20,3.7,Mar 27,19,3.7,May 02,0,0.0,,,
1979,,,,Jan 25,23,4.3,May 01,26,4.5,Apr 07,29,4.7,Apr 27,21,5.1,,,
1980,,,,Mar 01,16,3.1,Mar 01,20,3.7,Mar 25,20,4.0,Apr 25,2,0.4,,,
1981,,,,Jan 29,12,2.2,Feb 25,17,3.3,Mar 26,15,3.3,Apr 28,7,2.0,,,
1982,,,,Jan 27,18,3.3,Feb 24,20,3.3,Mar 30,23,4.0,Apr 28,18,4.5,,,
1983,,,,Jan 27,25,5.0,Mar 04,27,5.4,Mar 30,24,5.4,Apr 28,9,2.4,,,
1984,,,,Feb 01,23,3.8,Feb 28,24,4.1,Mar 29,23,4.5,Apr 27,22,4.9,,,
1985,,,,Feb 01,32,6.8,Feb 28,35,6.9,Mar 28,34,7.9,Apr 30,34,9.0,May 15,20,6.8
1986,,,,Jan 31,18,2.8,Mar 03,19,3.1,Mar 27,23,3.5,May 01,12,3.0,,,
1987,,,,Jan 28,20,3.0,May 01,20,3.3,Mar 31,20,3.7,May 04,0,0.0,,,
1988,,,,Mar 01,16,2.1,May 01,17,2.4,Mar 31,18,2.5,May 02,0,0.0,,,
1989,,,,Mar 01,24,4.6,May 01,34,7.1,Jul 01,34,7.3,May 01,12,3.9,,,
1990,,,,Mar 01,26,4.0,May 01,,6.5,Mar 28,29,5.8,,,,,,
1991,,,,Mar 01,40,8.2,May 01,38,8.7,Mar 28,51,11.5,Apr 29,31,11.1,,,
1992,Jan 01,21,3.1,Mar 01,26,3.6,May 01,29,4.8,Apr 02,29,5.6,Apr 28,32,7.8,,,
1993,,,,Mar 01,40,9.0,May 01,47,10.0,Mar 29,45,11.1,Apr 29,21,6.8,,,
1994,,,,Mar 01,25,4.2,May 01,27,4.9,Mar 28,28,5.3,Apr 26,4,0.8,,,
1995,,,,Mar 01,30,6.3,May 01,31,6.4,Mar 29,33,7.4,Apr 28,11,3.3,,,
1996,,,,Mar 01,9,1.5,May 01,25,3.9,Mar 29,28,5.4,Apr 29,13,4.2,,,
1997,,,,Mar 01,23,4.7,May 01,27,5.1,Mar 31,27,5.1,Apr 29,6,1.9,,,
1998,,,,Mar 01,20,3.6,May 01,21,3.8,Mar 31,20,4.0,Sep 01,0,0.0,,,
1999,,,,Mar 01,21,3.0,May 01,21,3.5,Mar 30,22,3.9,Sep 01,4,1.1,,,
2000,,,,Mar 01,40,7.7,May 01,35,8.1,Jul 01,34,8.2,May 01,19,6.2,,,
2001,,,,Mar 01,18,3.0,May 01,20,3.6,Apr 02,25,4.5,May 01,15,3.8,,,
2002,,,,Mar 01,18,3.4,May 01,20,3.8,Mar 29,20,4.0,Apr 30,23,4.8,,,
2003,,,,Mar 01,16,3.3,May 01,22,4.9,Mar 31,26,5.5,May 01,0,0.0,,,
2004,,,,,,,,,,Apr 01,29,5.9,Apr 30,7,2.2,,,
2005,,,,,,,,,,Apr 06,27,5.7,Apr 30,0,0.0,,,
2006,,,,,,,,,,Mar 30,21,5.0,Apr 29,21,5.5,,,
2007,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,Mar 27,13,2.1,May 04,0,0.0,,,
2009,,,,,,,,,,Apr 03,18,3.4,May 01,2,0.5,,,
2010,,,,,,,,,,Mar 30,8,1.5,,,,,,
2011,,,,,,,,,,Apr 01,21,4.2,Apr 28,8,2.6,,,
2012,,,,,,,,,,Apr 01,20,4.1,May 01,0,0.0,,,
2013,,,,,,,,,,Mar 29,21,3.5,Apr 29,21,4.6,,,
2014,,,,,,,,,,Mar 31,19,4.6,May 01,0,0.0,,,
2015,,,,,,,,,,Mar 30,21,5.3,May 01,4,1.1,,,
2016,,,,,,,,,,Apr 03,12,3.0,Apr 30,0,0.0,,,
2017,,,,,,,,,,Mar 29,23,5.4,May 01,3,1.2,,,
2018,,,,,,,,,,Apr 03,31,7.6,May 02,31,9.2,,,
2019,,,,,,,,,,Apr 01,17,5.0,Apr 29,12,4.9,,,
2020,,,,,,,,,,Mar 31,32,6.8,Apr 28,22,6.4,,,
2021,,,,,,,,,,Mar 30,28,5.6,Apr 29,6,1.7,,,
2022,,,,,,,,,,Mar 30,36,11.2,Apr 30,21,7.8,,,
2023,,,,,,,,,,Mar 30,30,6.4,May 01,27,7.2,,,
2024,,,,,,,,,,,,,,,,,,
