#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 47Q03: Caribou Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Caribou Creek (47Q03) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:53 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1970,,,,Feb 04,11,1.3,Mar 03,12,1.9,Apr 01,11,1.5,May 06,0,0.0,,,
1971,,,,Feb 04,38,8.5,May 01,46,9.2,Mar 31,40,9.9,May 05,17,5.4,,,
1972,,,,Feb 04,31,6.0,Mar 02,38,6.3,Apr 04,35,7.9,Apr 29,32,8.0,,,
1973,,,,Jan 30,22,4.1,Feb 28,21,5.0,Mar 29,21,4.2,Sep 01,0,0.0,,,
1974,Dec 27,14,2.4,Feb 05,18,3.0,Feb 28,21,3.2,Mar 26,20,3.7,May 02,0,0.0,,,
1975,,,,Jan 31,25,4.2,Feb 28,23,4.9,Mar 30,24,4.5,May 02,12,3.7,,,
1976,,,,Feb 02,22,3.4,Mar 01,22,4.4,Mar 30,26,5.0,Apr 29,0,0.0,,,
1977,,,,Feb 03,22,3.1,Mar 02,18,3.5,Apr 01,21,4.0,Sep 01,5,1.5,,,
1978,Dec 30,14,2.0,Feb 06,17,2.3,Mar 02,16,2.9,Mar 30,15,2.7,May 05,0,0.0,,,
1979,Jan 04,20,3.6,Feb 01,24,4.0,Mar 01,22,4.0,Apr 03,24,4.6,May 02,0,0.0,,,
1980,,,,Mar 01,14,2.4,Mar 03,15,3.0,Mar 28,15,2.9,Sep 01,0,0.0,,,
1981,,,,Jan 28,13,2.0,Feb 26,17,3.2,Mar 30,13,2.9,Apr 28,0,0.0,,,
1982,Jan 04,16,2.3,Jan 28,15,2.6,Feb 26,17,2.8,Mar 29,18,2.9,Apr 29,9,2.2,,,
1983,Dec 28,21,4.5,Feb 01,24,5.0,Mar 02,25,4.8,Mar 31,24,4.9,Sep 01,3,1.0,,,
