#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 49M07: Ship Creek (Discontinued), AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ship Creek (discontinued) (49M07) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1750 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:41 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1967,,,,Feb 02,25,5.4,Mar 01,32,7.2,Apr 03,38,9.1,May 03,29,9.4,,,
1968,,,,Feb 01,34,9.4,Feb 28,38,10.6,Mar 27,38,11.4,May 01,34,10.0,,,
1969,,,,Feb 03,27,5.4,Feb 28,36,7.4,Apr 01,37,8.1,Apr 28,24,7.2,,,
1970,,,,Jan 30,30,6.0,Feb 28,31,8.3,Mar 31,38,10.4,Apr 30,36,11.9,,,
1971,,,,Feb 04,25,5.2,Mar 03,46,10.7,Mar 29,41,11.1,May 03,39,12.4,,,
1972,,,,Jan 27,33,8.7,Feb 28,39,10.2,Mar 29,50,11.9,May 02,48,14.5,,,
1973,,,,Feb 02,30,5.8,Mar 05,31,6.9,Apr 02,34,8.8,Apr 27,32,9.5,,,
1974,,,,Jan 28,24,5.4,Mar 04,42,8.1,Apr 01,34,8.6,May 02,28,9.5,,,
1975,,,,Jan 28,33,7.9,Mar 03,44,11.6,Apr 04,48,13.5,May 01,45,14.7,,,
1976,,,,Feb 04,33,6.6,Feb 27,31,8.2,Apr 05,46,11.9,Apr 29,36,12.5,,,
1977,,,,Jan 30,28,8.4,Mar 04,30,9.4,Mar 31,38,11.6,Apr 28,34,12.2,,,
1978,,,,Jan 30,20,4.2,Mar 04,34,8.6,Mar 28,32,9.9,May 01,21,7.7,,,
1979,,,,Mar 01,37,8.8,Mar 01,37,11.7,Mar 30,57,15.5,Apr 26,43,15.1,,,
1980,,,,Feb 02,57,14.8,Mar 01,55,17.9,Mar 28,56,17.2,May 01,45,16.4,,,
1981,,,,Jan 28,16,4.1,Feb 23,26,6.2,Mar 28,37,10.5,Apr 30,24,8.7,,,
