#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 49M08: Indian Pass, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Indian Pass (49M08) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 2350 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:40 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1967,,,,Feb 02,42,11.6,Mar 01,52,14.4,Apr 03,58,18.1,May 03,57,19.2,,,
1968,,,,Feb 01,52,16.9,Feb 28,70,21.0,Mar 27,72,23.1,May 01,73,25.9,,,
1969,,,,Feb 03,35,9.1,Feb 28,51,11.8,Apr 01,57,12.6,Apr 28,55,17.5,,,
1970,,,,Jan 30,44,11.0,Feb 28,52,14.9,Mar 31,64,19.3,Apr 30,64,22.3,,,
1971,,,,Feb 04,43,12.0,Mar 03,66,18.8,Mar 29,64,20.5,May 03,73,24.7,,,
1972,,,,Jan 27,45,16.2,Feb 28,58,18.8,Mar 29,73,21.7,May 02,75,25.1,,,
1973,,,,Feb 02,49,14.3,Mar 05,57,15.7,Apr 02,67,19.7,Apr 27,70,23.4,,,
1974,,,,Jan 28,40,11.5,Mar 04,59,15.4,Apr 01,59,18.2,May 02,64,22.0,,,
1975,,,,Jan 28,53,14.7,Mar 03,58,17.4,Apr 04,66,20.7,May 01,75,25.5,,,
1976,,,,Feb 04,55,14.3,Feb 27,50,15.3,Apr 05,70,21.2,Apr 29,69,24.5,,,
1977,,,,Jan 30,73,25.1,Mar 04,87,31.0,Mar 31,94,34.6,Apr 28,91,36.4,Jun 02,58,29.0
1978,,,,Jan 30,43,9.5,Mar 04,56,17.1,Mar 28,58,19.0,May 01,50,19.3,,,
1979,,,,Mar 01,59,17.1,Mar 01,60,21.6,Mar 30,99,31.1,Apr 26,88,34.1,,,
1980,,,,Feb 02,87,27.8,Mar 01,90,32.9,Mar 28,90,33.9,May 01,83,35.3,,,
1981,,,,Jan 28,52,11.6,Feb 23,64,18.3,Mar 28,76,25.8,Apr 30,63,24.3,,,
