#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 49M11: South Campbell Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# South Campbell Creek (49M11) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:23 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1973,,,,Feb 02,37,6.2,Mar 05,33,6.6,Apr 02,30,7.8,Apr 27,27,8.2,,,
1974,,,,Jan 28,16,3.0,Mar 04,26,4.7,Apr 01,19,4.7,May 02,0,0.0,,,
1975,,,,Jan 28,29,6.6,Mar 03,38,9.2,Apr 04,41,10.5,May 01,33,11.1,,,
1976,,,,Mar 01,13,2.6,Feb 27,17,3.2,Apr 05,27,5.8,Apr 29,18,5.4,,,
1977,,,,Jan 30,14,4.4,May 01,23,5.0,Mar 31,20,5.9,Apr 28,15,4.9,,,
1978,,,,Jan 30,18,2.7,Mar 04,22,5.1,Mar 28,24,5.8,May 01,7,2.3,,,
1979,,,,Mar 01,28,5.7,May 01,32,7.0,Mar 31,35,9.7,Apr 26,25,7.9,,,
1980,,,,Feb 02,32,6.4,Feb 29,27,8.2,Mar 28,28,8.4,Sep 01,16,5.2,,,
1981,,,,Feb 01,8,2.1,Feb 27,8,2.2,Mar 28,9,2.2,Apr 30,1,0.2,,,
1982,,,,Jan 27,11,2.1,Feb 27,7,2.1,Mar 27,6,2.0,May 01,1,0.3,,,
1983,,,,Jan 28,17,4.8,Mar 02,20,5.3,Apr 02,19,5.6,Apr 29,14,6.3,,,
1984,,,,Jan 28,24,4.8,Mar 05,30,7.3,Apr 02,25,7.8,Apr 28,28,9.6,,,
1985,,,,Feb 02,6,1.7,Mar 01,20,3.9,Mar 28,21,5.2,Apr 30,20,5.2,,,
1986,,,,Jan 31,6,1.2,Feb 27,13,2.1,Mar 28,31,4.0,Apr 30,8,2.2,,,
1987,,,,Jan 31,18,4.3,Feb 26,21,4.7,Mar 29,19,5.4,Apr 25,9,3.4,,,
