#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 49S01: Disaster Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Disaster Creek (49S01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1550 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:42 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1971,,,,Mar 01,30,5.1,Mar 03,33,6.1,Apr 02,33,6.9,May 06,16,3.7,,,
1972,,,,Feb 01,22,2.8,Feb 29,21,3.0,Mar 31,23,3.6,May 01,9,2.2,,,
1973,,,,Mar 01,26,4.0,Feb 28,28,4.7,Mar 29,27,5.6,May 09,9,2.9,,,
1974,,,,Mar 01,12,1.9,Feb 28,16,2.3,Mar 29,17,3.2,May 01,5,1.3,,,
1975,,,,Mar 01,15,2.3,Mar 05,19,2.8,Apr 02,19,3.5,May 01,0,0.0,,,
1976,,,,Mar 01,19,3.0,Mar 01,24,3.6,Mar 30,21,4.4,Apr 28,0,0.0,,,
1977,,,,Jan 26,23,4.0,Mar 02,23,4.1,Apr 01,26,4.7,May 01,20,4.4,,,
1978,,,,Jan 31,19,3.1,Feb 27,23,4.0,Mar 28,22,4.6,Sep 01,9,2.1,,,
1979,,,,Mar 01,11,1.7,Mar 09,18,2.0,Jul 01,12,2.4,May 02,9,1.0,,,
1980,,,,Feb 01,19,3.1,Feb 29,24,4.5,Apr 02,22,4.5,Sep 01,9,2.1,,,
1981,,,,Jan 28,23,3.9,Feb 25,27,5.2,Mar 26,28,6.0,May 09,0,0.0,,,
1982,,,,Jan 27,14,2.0,Feb 24,16,2.2,Mar 30,23,3.8,Apr 29,21,4.7,,,
1983,,,,Feb 04,15,2.0,Mar 02,15,2.3,Mar 30,15,2.5,Apr 28,0,0.0,,,
1984,,,,Feb 01,15,2.1,Mar 06,18,2.6,Apr 05,18,3.4,May 02,20,4.0,,,
1985,,,,Jan 31,15,1.9,May 01,15,2.5,Mar 26,20,3.8,Sep 01,19,4.0,,,
1986,,,,Mar 01,19,2.8,Mar 05,21,3.2,Jul 01,23,4.0,Sep 01,20,4.4,,,
1987,,,,Jan 28,24,4.2,Feb 24,26,4.6,Mar 24,24,4.8,Apr 28,23,4.8,,,
1988,,,,Jan 26,18,2.0,Feb 26,24,3.3,Mar 26,21,4.0,Apr 26,5,1.4,,,
1989,,,,Mar 01,25,4.0,Feb 28,33,5.5,Apr 03,27,5.4,May 04,11,3.1,,,
1990,,,,Jan 31,17,2.0,Mar 01,18,2.5,Mar 29,22,4.5,Apr 24,16,3.0,,,
1991,,,,Jan 28,28,3.6,Mar 04,26,4.7,Apr 01,31,6.0,Apr 27,13,3.1,,,
1992,,,,Jan 30,11,1.5,Feb 27,14,2.1,Mar 26,15,2.7,Apr 28,10,2.1,,,
