#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 50R03: Bonanza Forks, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bonanza Forks (50R03) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:57:45 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1981,,,,Jan 29,21,4.0,Feb 26,26,4.8,Mar 27,23,5.1,Apr 29,16,4.5,,,
1982,,,,Jan 28,18,4.0,Feb 23,21,4.1,Mar 29,26,5.1,Apr 28,29,6.6,,,
1983,,,,Feb 05,19,3.8,Mar 03,20,3.8,Apr 01,20,4.0,Apr 28,3,0.8,,,
1984,,,,Jan 31,21,3.2,Mar 05,26,4.1,Apr 04,20,4.1,May 01,20,4.4,,,
1985,,,,Jan 30,17,3.1,May 01,21,4.1,Mar 25,26,5.3,Sep 01,24,5.8,,,
1986,,,,Mar 01,16,2.8,Mar 04,19,3.4,Jul 01,20,3.8,Sep 01,17,4.2,,,
1987,,,,Jan 28,19,3.1,Feb 24,26,4.0,Mar 24,21,3.1,Apr 28,18,3.0,,,
1988,,,,Jan 25,28,4.8,Feb 26,35,6.1,Mar 25,29,6.5,Apr 26,8,2.5,,,
1989,,,,Mar 01,30,6.0,Feb 27,39,8.0,Apr 04,34,7.8,Apr 04,34,7.8,,,
1990,,,,Jan 30,18,2.0,Feb 28,23,3.7,Mar 28,24,4.9,Apr 24,16,3.0,,,
1991,,,,Jan 28,38,6.5,Mar 04,34,7.8,Apr 01,45,9.7,Apr 27,22,5.5,,,
1992,,,,Jan 29,19,2.5,Feb 27,23,3.6,Mar 27,25,4.6,Apr 29,22,3.7,,,
1993,,,,,,,Feb 24,42,9.5,Mar 29,45,10.7,Apr 23,26,7.6,,,
1994,,,,Jan 26,24,4.2,Feb 28,26,5.4,Mar 29,31,6.1,Apr 28,9,2.9,,,
1995,,,,Feb 05,28,4.3,Feb 28,30,5.8,Mar 28,34,3.7,May 01,0,0.0,,,
