#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 50S01: Coldfoot, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Coldfoot (50S01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 1040 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:54 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1971,,,,Mar 01,46,8.7,Mar 03,43,9.9,Apr 02,42,10.6,May 06,34,9.3,,,
1972,,,,Feb 01,40,6.7,Feb 29,34,6.9,Mar 31,36,7.0,May 01,29,5.6,,,
1973,,,,Mar 01,47,9.0,Feb 28,44,10.3,Mar 29,43,11.0,May 09,22,7.8,,,
1974,,,,Mar 01,19,3.7,Feb 28,25,4.2,Mar 28,23,4.1,May 01,3,0.9,,,
1975,,,,Mar 01,18,3.5,Mar 04,25,4.0,Apr 02,25,4.8,May 01,25,5.1,,,
1976,,,,Mar 01,23,4.3,Mar 01,32,4.7,Mar 30,28,6.4,Apr 28,20,5.5,,,
1977,,,,Jan 26,25,4.4,Mar 02,27,4.6,Apr 01,31,5.7,May 01,25,5.9,,,
1978,,,,Jan 31,28,5.8,Feb 25,30,6.4,Mar 28,33,8.1,Sep 01,24,6.1,,,
1979,,,,Mar 01,28,5.3,Mar 09,29,6.1,Jul 01,31,7.0,May 01,33,6.5,,,
1980,,,,Jan 30,31,6.4,Feb 28,34,8.3,Apr 02,33,8.5,Sep 01,25,6.4,,,
1981,,,,Jan 29,27,5.3,Feb 26,34,6.8,Mar 26,33,8.1,May 09,0,0.0,,,
1982,,,,Jan 27,18,3.5,Feb 25,21,3.7,Mar 29,38,7.0,Apr 30,34,8.9,,,
1983,,,,Feb 05,20,3.8,Mar 02,20,3.9,Apr 01,19,3.4,Apr 28,5,1.4,,,
1984,,,,Feb 02,20,3.0,Mar 08,23,4.0,Apr 05,21,4.4,May 02,23,5.1,,,
1985,,,,Feb 01,21,4.2,May 01,23,4.8,Mar 26,27,6.1,Sep 01,25,6.3,,,
