#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 55P01: Deer Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Deer Creek (55P01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 195 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:49:54 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2006,Jan 03,19,3.5,Feb 08,18,3.6,Feb 28,33,5.5,Mar 31,28,5.8,,,,,,
2007,Jan 04,29,3.5,Jan 30,41,7.5,Mar 01,35,7.5,Mar 30,33,7.8,,,,,,
2008,Jan 03,13,2.0,Jan 31,18,2.7,Feb 29,22,3.7,Mar 31,24,4.8,Apr 29,14,3.7,,,
2009,,,,,,,Mar 02,36,6.2,Mar 31,36,7.5,,,,,,
2010,Dec 30,12,2.0,Feb 02,15,2.5,Mar 01,15,2.6,Mar 30,15,2.7,,,,,,
2011,Dec 29,15,2.7,Jan 30,24,4.3,Feb 28,34,6.0,Mar 31,31,6.5,May 02,9,3.0,,,
2012,Dec 29,43,7.0,,,,Feb 29,44,9.5,Mar 30,43,10.3,May 01,21,8.0,,,
2013,Dec 31,16,2.4,Jan 31,24,3.6,Feb 27,24,4.0,Apr 01,23,4.3,Apr 29,17,4.6,,,
2014,,,,Jan 30,23,5.5,Feb 27,23,5.7,Mar 31,21,5.9,Apr 29,0,0.0,,,
2015,,24,,Feb 03,19,3.6,Mar 05,26,4.9,Mar 30,24,5.4,May 01,0,0.0,,,
2016,,24,,Feb 01,24,4.7,Mar 03,36,6.7,Apr 03,33,6.9,,,,,,
2017,,,,Feb 03,17,2.6,Feb 28,33,5.6,Mar 30,24,5.6,,,,,,
2018,,24,,Jan 30,23,4.7,Feb 28,40,7.5,Apr 02,32,7.7,May 02,24,7.8,,,
2019,,,,Jan 30,33,7.9,,,,Apr 02,33,8.9,,,,,,
2020,,36,,Feb 01,42,9.7,Feb 28,46,10.5,Mar 30,48,11.6,Apr 30,27,9.2,,,
2021,,24,,Jan 31,33,6.1,Mar 03,32,6.3,Apr 01,42,8.1,Apr 28,17,4.7,,,
2022,,42,,Jan 29,47,10.7,Feb 28,48,12.0,Mar 31,42,12.1,Apr 28,18,6.3,,,
2023,,24,,Feb 03,36,6.9,Mar 03,40,7.9,Mar 29,42,9.9,May 01,29,9.9,,,
2024,,,,,,,,,,,,,,,,,,
