#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 57P01: Squirrel Creek, AK
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Squirrel Creek (57P01) 
# Alaska  SNOW COURSE/AERIAL MARKER Site - 150 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:49:59 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2005,Dec 29,37,6.8,Jan 31,42,7.3,Feb 28,46,8.3,Apr 01,48,12.0,Apr 29,30,9.5,,,
2006,Dec 29,24,3.5,Feb 01,27,4.2,Feb 28,31,5.2,Mar 30,31,6.3,,,,,,
2007,Jan 04,21,2.5,Feb 01,39,7.0,Mar 03,35,7.0,Mar 29,33,7.4,,,,,,
2008,Jan 02,15,2.5,Feb 01,22,3.6,Feb 29,21,3.8,Apr 01,29,5.3,Apr 29,27,6.0,,,
2009,,,,,,,Mar 01,45,8.0,Mar 31,35,8.6,,,,,,
2010,Dec 29,21,3.2,Feb 02,18,3.5,Mar 01,21,3.4,Mar 30,19,3.4,,,,,,
2011,Dec 29,18,2.7,Feb 03,21,4.0,Feb 27,26,5.0,Mar 30,27,5.5,Apr 29,15,4.6,,,
2012,Dec 29,38,5.8,,,,Feb 28,39,8.5,Apr 02,38,8.8,Apr 30,15,5.8,,,
2013,Dec 31,9,1.3,Jan 31,30,5.1,Feb 28,31,6.0,Apr 01,29,6.3,May 02,19,5.5,,,
2014,,,,,,,Feb 27,30,7.9,Mar 31,30,8.4,Apr 29,0,0.0,,,
2015,,28,,Feb 02,28,4.8,Feb 27,25,5.5,Mar 30,29,6.2,Apr 29,15,4.8,,,
2016,,33,,Jan 28,33,6.3,Mar 02,29,6.4,Apr 01,36,7.8,,,,,,
2017,,,,Feb 03,18,2.9,Feb 28,29,5.2,Mar 30,22,5.2,May 02,0,0.0,,,
2018,,36,,Jan 31,31,6.7,Mar 01,36,7.7,Apr 02,39,8.7,May 02,21,6.8,,,
2019,,,,Jan 30,36,8.0,Mar 02,42,9.4,Apr 01,41,11.1,,,,,,
2020,,32,,Jan 31,29,6.1,Feb 28,48,9.2,Mar 31,36,9.8,Apr 29,21,7.1,,,
2021,,31,,Feb 04,33,6.9,Mar 01,36,7.4,Mar 31,47,9.2,Apr 28,27,7.8,,,
2022,,36,,Jan 31,36,7.8,,,,Apr 01,36,9.7,Apr 29,18,5.8,,,
2023,,25,,Feb 01,31,6.3,Mar 02,44,8.9,Mar 31,42,9.6,May 02,30,9.6,,,
2024,,,,,,,,,,,,,,,,,,
