#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09N02: Tsaile Canyon #1, AZ
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tsaile Canyon #1 (09N02) 
# Arizona  SNOW COURSE/AERIAL MARKER Site - 8160 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:50 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1985,Dec 26,14,4.2,Jan 25,25,6.0,Feb 25,30,9.2,Mar 25,14,5.6,,,,,,
1986,,,,Jan 30,13,4.7,Feb 27,13,5.5,Mar 27,9,3.3,,,,,,
1987,Dec 30,9,2.1,Jan 28,15,4.6,Feb 25,22,5.1,Mar 26,19,6.3,,,,,,
1988,Dec 29,14,3.7,Jan 28,28,7.8,Mar 01,24,8.4,Mar 29,12,5.1,,,,,,
1989,Dec 29,19,4.6,Jan 31,24,6.1,Feb 28,22,6.6,Mar 31,0,0.0,,,,,,
1990,Dec 28,0,0.0,Jan 31,3,0.5,Feb 28,7,1.8,Mar 28,0,0.0,,,,,,
1991,Dec 27,19,4.0,Jan 31,30,8.5,Feb 28,22,7.9,Mar 28,23,8.1,,,,,,
1992,Jan 01,,5.5,Jan 29,24,6.4,Feb 26,31,8.5,Jul 01,,4.0,,,,,,
1993,Dec 30,14,3.5,Jan 28,30,8.5,Feb 24,36,10.8,Mar 30,16,6.9,,,,,,
1994,Dec 29,6,1.1,Jan 31,12,1.8,Feb 28,25,5.9,Mar 30,0,0.0,,,,,,
1995,Dec 29,7,2.5,Jan 30,34,9.4,Feb 27,24,9.3,Mar 30,15,5.9,,,,,,
1996,Dec 28,4,0.6,Jan 31,11,2.4,Feb 28,9,1.0,Mar 28,0,0.0,,,,,,
1997,Dec 30,6,1.7,Jan 29,26,7.1,Feb 26,25,7.9,Mar 31,0,0.0,,,,,,
1998,Dec 31,19,4.4,Jan 29,24,5.8,,,,Mar 31,25,7.1,,,,,,
1999,Dec 29,10,2.0,Jan 27,12,3.3,Mar 01,2,0.5,Mar 31,0,0.0,,,,,,
2000,Dec 29,6,0.9,Feb 02,15,3.2,Feb 28,8,2.6,Mar 30,6,1.6,,,,,,
2001,Jan 02,6,1.0,Feb 01,26,4.7,Mar 02,26,7.2,Mar 30,8,3.5,,,,,,
2002,Dec 26,13,3.0,Feb 01,14,3.3,Feb 28,11,2.9,Mar 26,0,0.0,,,,,,
2003,Dec 31,10,2.3,Jan 29,10,3.0,Feb 26,21,4.7,Mar 26,16,7.0,,,,,,
2004,Dec 29,9,1.8,Jan 27,18,4.0,Feb 25,24,5.6,Mar 30,0,0.0,,,,,,
2005,Jan 04,12,2.8,Jan 26,12,4.9,Mar 01,24,8.9,Apr 01,20,8.8,,,,,,
2006,Dec 29,0,0.0,Jan 31,8,1.2,Feb 28,0,0.0,Mar 31,3,0.7,,,,,,
2007,Dec 27,5,1.1,Jan 30,13,3.2,Feb 28,18,6.1,Mar 27,0,0.0,,,,,,
2008,Dec 27,14,1.5,Feb 03,27,5.4,Feb 28,35,7.7,Mar 27,11,3.9,,,,,,
2009,Dec 30,28,6.8,Jan 29,20,6.7,,,,Mar 26,7,1.8,,,,,,
2010,Dec 29,18,3.9,Jan 31,45,11.9,Feb 24,52,15.1,Mar 28,37,14.2,,,,,,
2011,Dec 28,8,2.5,Jan 29,16,5.5,Feb 25,20,6.3,Mar 28,0,0.0,,,,,,
2012,Dec 27,8,1.2,Jan 26,11,2.2,Feb 29,19,4.4,Mar 29,0,0.0,,,,,,
2013,Dec 27,22,3.5,Jan 27,15,5.0,Feb 27,30,9.8,Mar 25,8,2.5,,,,,,
2014,Dec 26,11,2.3,Jan 27,10,2.3,Feb 25,4,1.1,Mar 25,0,0.0,,,,,,
2015,Dec 30,5,0.9,Jan 29,7,2.2,Feb 24,9,1.5,Mar 26,0,0.0,,,,,,
2016,Dec 28,17,3.4,Jan 26,26,5.7,Feb 22,18,5.9,Mar 25,0,0.0,,,,,,
2017,Dec 28,9,3.0,Jan 28,29,8.4,Feb 27,14,5.4,Mar 31,2,0.3,,,,,,
2018,Dec 26,0,0.0,Jan 26,6,1.2,Feb 26,5,1.0,Mar 26,0,0.0,,,,,,
2019,Dec 28,14,2.5,Jan 30,22,5.9,Feb 26,38,9.7,Mar 26,24,10.4,,,,,,
2020,Dec 30,19,4.5,Jan 28,16,5.6,Feb 27,14,4.8,,,,,,,,,
2021,,,,,,,Feb 23,16,5.0,Mar 29,9,3.0,,,,,,
2022,Dec 28,16,4.0,Jan 13,19,6.6,Feb 24,29,7.6,Mar 28,11,4.0,,,,,,
2023,Dec 25,15,2.4,,,,Feb 28,41,12.6,Mar 29,48,16.9,,,,,,
2024,,,,,,,,,,,,,,,,,,
