#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09P01: Fluted Rock, AZ
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fluted Rock (09P01) 
# Arizona  SNOW COURSE/AERIAL MARKER Site - 7800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:50 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1985,Dec 28,7,2.0,Jan 29,19,4.5,Feb 27,17,5.5,Mar 26,0,0.0,,,,,,
1986,Dec 27,4,1.1,Jan 31,0,0.0,Feb 27,0,0.0,Mar 28,0,0.0,,,,,,
1987,,,,Jan 29,7,2.0,,,,Mar 25,5,1.4,,,,,,
1988,Dec 30,12,2.6,Jan 28,20,5.0,Feb 29,16,5.3,Mar 27,0,0.0,,,,,,
1989,Dec 29,10,2.1,Jan 31,14,4.3,Mar 01,11,3.6,Mar 31,0,0.0,,,,,,
1990,Dec 28,0,0.0,Feb 01,8,1.5,Feb 28,9,2.7,Mar 29,0,0.0,,,,,,
1991,Jan 02,16,3.9,Jan 31,18,5.2,Feb 28,12,5.0,Mar 29,10,3.0,,,,,,
1992,Jan 02,14,3.0,Jan 28,16,4.2,Feb 27,17,4.6,Mar 30,3,1.2,,,,,,
1993,Dec 29,7,1.6,Jan 27,16,4.8,Feb 24,18,6.0,Mar 29,2,0.5,,,,,,
1994,Dec 29,3,0.4,Jan 31,5,0.5,Feb 28,10,2.2,Mar 29,0,0.0,,,,,,
1995,Dec 28,1,0.4,Jan 30,22,6.0,Feb 28,8,3.4,Mar 29,0,0.0,,,,,,
1996,Dec 27,6,0.8,Jan 31,7,1.8,Feb 28,6,0.8,Apr 01,0,0.0,,,,,,
1997,Dec 30,0,0.0,Jan 30,19,5.4,Feb 27,18,5.4,Mar 31,0,0.0,,,,,,
1998,Dec 30,15,4.0,Jan 28,16,4.6,Feb 26,28,7.8,Mar 31,11,3.4,,,,,,
1999,Dec 29,0,0.0,Jan 27,0,0.0,Mar 03,0,0.0,Mar 31,0,0.0,,,,,,
