#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09R01: Milk Ranch (Disc.), AZ
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Milk Ranch (disc.) (09R01) 
# Arizona  SNOW COURSE/AERIAL MARKER Site - 7000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:39 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1941,,,,Jan 30,10,3.4,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
1942,,,,Jan 30,6,1.9,Feb 27,4,1.0,,,,,,,,,
1943,,,,Jan 30,13,3.0,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
1944,,,,Jan 31,7,1.4,Mar 01,19,4.3,Apr 01,0,0.0,,,,,,
1945,,,,Jan 31,9,2.4,Feb 28,0,0.0,Mar 31,0,0.0,,,,,,
1946,,,,Feb 04,5,1.5,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
1947,,,,Jan 30,5,1.5,Mar 03,3,0.5,Apr 01,0,0.0,,,,,,
1948,,,,Feb 02,0,0.0,Mar 01,6,1.5,Apr 01,0,0.0,,,,,,
1949,,,,Jan 31,17,4.0,Mar 01,7,2.4,Apr 01,0,0.0,,,,,,
1950,,,,Feb 01,7,1.6,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
1951,,,,Feb 01,15,2.1,Mar 01,6,1.2,,,,,,,,,
1952,,,,Feb 01,0,0.0,Feb 29,1,0.1,,,,,,,,,
1953,,,,Jan 31,1,0.1,Feb 27,0,0.0,Mar 30,0,0.0,,,,,,
1954,,,,Jan 31,6,1.9,Feb 28,0,0.0,Apr 01,0,0.0,,,,,,
1955,,,,Feb 01,9,2.3,Mar 01,2,0.8,,,,,,,,,
1956,,,,Feb 03,19,3.5,Mar 01,5,1.8,Mar 30,0,0.0,,,,,,
1957,,,,Jan 31,14,2.8,Feb 28,0,0.0,Mar 29,0,0.0,,,,,,
1958,,,,Jan 31,0,0.0,Feb 28,1,0.0,Mar 31,0,0.0,,,,,,
1959,,,,Jan 30,0,0.0,Feb 27,0,0.0,Apr 01,0,0.0,,,,,,
1960,,,,Jan 29,14,4.8,Feb 29,16,5.1,Mar 31,0,0.0,,,,,,
1961,,,,Jan 31,3,0.9,Feb 28,1,0.1,Mar 30,6,0.8,,,,,,
1962,,,,Jan 31,25,6.4,Feb 27,16,2.5,Mar 30,0,0.0,,,,,,
1963,,,,Jan 31,1,0.1,Feb 28,0,0.0,Mar 29,0,0.0,,,,,,
1964,,,,Jan 31,5,1.3,Feb 28,0,0.0,Mar 30,0,0.0,,,,,,
1965,,,,Jan 29,0,0.0,Feb 26,4,1.6,Mar 31,0,0.0,,,,,,
1966,,,,Jan 31,9,1.3,Feb 28,9,2.9,Mar 31,0,0.0,,,,,,
1967,,,,Jan 31,0,0.0,Feb 28,0,0.0,Mar 31,0,0.0,,,,,,
1968,,,,Jan 31,21,7.6,Feb 29,1,0.3,Apr 01,0,0.0,,,,,,
1969,,,,Jan 31,1,0.0,Feb 28,3,1.1,Apr 01,0,0.0,,,,,,
1970,,,,Jan 30,0,0.0,Feb 27,0,0.0,Mar 27,2,0.3,,,,,,
1971,,,,Feb 01,0,0.0,Mar 01,5,0.5,Mar 31,0,0.0,,,,,,
1972,,,,Jan 31,0,0.0,Feb 29,0,0.0,Mar 31,0,0.0,,,,,,
1973,,,,Jan 31,9,2.0,Feb 28,8,2.3,Mar 30,32,8.0,,,,,,
1974,Jan 02,7,0.6,Jan 31,9,3.1,Feb 28,0,0.0,Apr 01,0,0.0,,,,,,
1975,Dec 31,3,0.4,Jan 31,3,0.6,Feb 28,5,1.5,Mar 31,2,0.6,,,,,,
1976,,,,Jan 30,1,0.2,Feb 27,0,0.0,Mar 31,1,0.3,,,,,,
1977,,,,Jan 31,7,2.0,Feb 28,2,0.5,Mar 31,2,0.5,,,,,,
1978,,,,Jan 31,4,1.3,Feb 28,0,0.0,Mar 31,0,0.0,,,,,,
1979,,,,Jan 31,27,5.8,Feb 28,14,5.5,Mar 30,8,2.3,,,,,,
1980,Jan 03,4,1.4,Jan 31,10,2.7,Feb 28,0,0.0,Mar 31,1,0.1,,,,,,
1981,Dec 31,0,0.0,Jan 29,1,0.0,Feb 26,0,0.0,Mar 30,0,0.0,,,,,,
1982,Dec 30,0,0.0,Jan 28,5,1.6,Feb 25,2,0.6,Mar 30,0,0.0,,,,,,
1983,Jan 03,2,0.3,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,
1985,Jan 01,,2.8,Mar 01,,6.0,May 01,,5.5,Jul 01,,0.5,,,,,,
1986,Jan 01,,0.8,Mar 01,,0.3,May 01,,0.0,Jul 01,,0.0,,,,,,
1987,,,,Feb 01,,2.6,,,,Apr 01,,2.2,,,,,,
1988,,,,,,,,,,,,,,,,,,
1989,Jan 01,,1.8,Mar 01,,1.9,May 01,,0.0,Jul 01,,0.0,,,,,,
1990,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,
