#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09S07: Coronado Trail, AZ
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Coronado Trail (09S07) 
# Arizona  SNOW COURSE/AERIAL MARKER Site - 8350 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:20 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,,,,Feb 02,4,1.0,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
1939,,,,Feb 07,28,6.0,Mar 01,28,7.7,Apr 01,0,0.0,,,,,,
1940,,,,Jan 30,11,3.6,Feb 29,16,5.6,Apr 01,0,0.0,,,,,,
1941,,,,Jan 31,29,7.7,Feb 28,18,6.7,Mar 31,9,3.5,,,,,,
1942,,,,Jan 31,13,4.4,Mar 02,22,6.3,Mar 31,0,0.0,,,,,,
1943,,,,Jan 30,17,4.3,Mar 01,2,0.7,Apr 01,0,0.0,,,,,,
1944,,,,Feb 01,7,2.1,Mar 02,10,3.2,Apr 01,0,0.0,,,,,,
1945,,,,Feb 01,21,4.8,Mar 01,12,3.5,Apr 02,11,3.9,,,,,,
1946,,,,Feb 01,7,1.5,Mar 01,1,0.1,Mar 28,0,0.0,,,,,,
1947,,,,Jan 31,8,2.4,Mar 01,1,0.1,Apr 01,0,0.0,,,,,,
1948,,,,Feb 02,5,1.3,Feb 27,19,3.7,Apr 01,10,3.4,,,,,,
1949,,,,Jan 31,38,10.9,Feb 28,32,10.7,Mar 31,7,2.9,,,,,,
1950,,,,Jan 31,5,0.4,Mar 01,3,0.9,,,,,,,,,
1951,,,,Feb 01,8,1.2,Mar 01,3,0.8,,,,,,,,,
1952,,,,Jan 31,14,4.9,Mar 03,22,4.5,Mar 31,12,5.4,,,,,,
1953,,,,Feb 02,5,1.0,Mar 02,16,1.6,,,,,,,,,
1954,,,,Feb 02,2,0.4,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
1955,,,,Feb 02,13,2.7,Mar 02,8,2.5,,,,,,,,,
1956,,,,Feb 02,12,1.2,Feb 29,9,2.9,Mar 30,0,0.0,,,,,,
1957,,,,Jan 31,5,0.8,Feb 28,0,0.0,Apr 01,0,0.0,,,,,,
1958,,,,Jan 31,2,0.4,Feb 27,8,0.7,Mar 31,9,3.0,,,,,,
1959,,,,Jan 30,0,0.0,Feb 27,0,0.0,Apr 01,0,0.0,,,,,,
1960,,,,Jan 29,18,4.0,Feb 29,18,4.8,Mar 31,0,0.0,,,,,,
1961,,,,Jan 31,15,4.0,Feb 28,6,1.5,Apr 01,0,0.0,,,,,,
1962,,,,Jan 30,26,5.6,Feb 28,9,2.1,Mar 30,0,0.0,,,,,,
1963,,,,Feb 01,7,1.9,Mar 01,1,0.3,Apr 01,0,0.0,,,,,,
1964,,,,Jan 31,3,0.7,Feb 28,2,0.4,Mar 31,0,0.0,,,,,,
1965,,,,Jan 29,12,3.9,Feb 26,12,5.6,Mar 31,1,0.5,,,,,,
1966,,,,Jan 31,28,7.0,Feb 28,30,9.1,Mar 31,0,0.0,,,,,,
1967,,,,Feb 01,0,0.0,Mar 01,0,0.0,Mar 31,0,0.0,,,,,,
1968,,,,Jan 31,30,10.6,Feb 28,18,8.4,Mar 29,6,3.4,,,,,,
1969,,,,Jan 31,12,3.9,Feb 27,14,5.6,Mar 28,7,3.7,,,,,,
1970,Jan 02,8,0.8,Jan 30,0,0.0,Feb 27,0,0.0,Mar 31,0,0.0,,,,,,
1971,,,,Jan 29,0,0.0,Feb 26,2,0.8,Mar 30,0,0.0,,,,,,
1972,,,,Jan 28,3,1.1,Feb 29,0,0.0,Mar 31,0,0.0,,,,,,
1973,,,,Jan 30,10,2.8,Feb 27,21,6.2,Mar 29,28,9.0,May 02,0,0.0,,,
1974,Jan 03,5,0.6,Jan 30,6,1.6,Feb 27,0,0.0,Mar 29,0,0.0,,,,,,
1975,Dec 31,4,0.5,Jan 30,14,1.6,Feb 28,12,3.8,Apr 01,1,0.4,,,,,,
1976,,,,Jan 30,1,0.3,Feb 27,1,0.3,Mar 31,4,0.7,,,,,,
1977,,,,Jan 31,2,0.6,Feb 28,1,0.2,Mar 31,7,1.3,,,,,,
1978,,,,Jan 31,14,3.2,Feb 28,16,5.5,Apr 04,0,0.0,,,,,,
1979,,,,Jan 31,23,5.2,Mar 01,14,4.8,Mar 30,1,0.4,,,,,,
1980,Jan 03,11,2.7,Jan 30,21,5.7,Feb 28,27,9.5,Mar 31,16,6.7,,,,,,
1981,Dec 30,0,0.0,Jan 30,0,0.0,Mar 02,5,1.1,Mar 30,0,0.0,,,,,,
1982,Dec 30,0,0.0,Jan 28,8,2.4,Feb 25,11,2.9,Mar 30,0,0.0,,,,,,
1983,Dec 30,19,4.8,Jan 31,30,7.0,Feb 28,22,7.0,Mar 30,17,6.1,,,,,,
1984,Jan 05,8,2.4,Feb 01,5,1.5,Feb 28,0,0.0,Mar 30,0,0.0,,,,,,
1985,Dec 28,16,4.3,Jan 31,26,5.9,Feb 28,19,6.8,Mar 28,0,0.0,,,,,,
1986,Jan 02,0,0.0,Jan 30,0,0.0,Mar 03,0,0.0,Apr 01,0,0.0,,,,,,
1987,Jan 02,9,2.9,Jan 29,13,4.1,Mar 02,29,6.5,Mar 30,10,4.9,,,,,,
1988,Dec 30,16,2.2,Jan 28,20,5.6,Feb 29,11,4.6,Mar 30,0,0.0,,,,,,
1989,Dec 28,5,1.1,Jan 30,9,1.6,Feb 27,0,0.0,Mar 30,0,0.0,,,,,,
1990,Jan 02,4,0.4,Jan 31,0,0.0,Feb 28,0,0.0,Mar 29,0,0.0,,,,,,
1991,Dec 27,11,2.6,Jan 31,16,4.6,Mar 04,16,4.4,Mar 28,12,3.0,,,,,,
1992,Dec 30,11,2.7,Jan 30,19,6.0,Feb 27,19,6.2,Mar 30,2,0.9,,,,,,
1993,Dec 29,5,1.5,Jan 28,21,6.3,Feb 25,30,9.1,Mar 30,4,0.8,,,,,,
1994,Dec 29,4,0.7,Jan 31,7,1.0,Feb 28,8,2.3,Mar 30,0,0.0,,,,,,
1995,Dec 29,0,0.0,Jan 31,14,3.2,Feb 27,1,0.4,Mar 31,0,0.0,,,,,,
1996,,,,Jan 31,0,0.0,Feb 29,2,0.3,Mar 29,0,0.0,,,,,,
1997,Dec 31,0,0.0,Jan 30,11,2.9,Feb 27,12,2.4,Mar 31,0,0.0,,,,,,
1998,Dec 30,18,3.6,Jan 29,14,4.4,Feb 27,19,5.6,Mar 31,3,1.0,,,,,,
1999,Dec 30,0,0.0,Jan 28,0,0.0,Mar 01,0,0.0,Mar 31,0,0.0,,,,,,
2000,Jan 04,2,0.2,Jan 31,0,0.0,Feb 29,0,0.0,Mar 31,0,0.0,,,,,,
2001,Jan 02,0,0.0,Feb 01,10,2.6,Mar 01,7,1.8,Mar 30,0,0.0,,,,,,
