#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10R04: Heber (Disc.), AZ
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Heber (disc.) (10R04) 
# Arizona  SNOW COURSE/AERIAL MARKER Site - 7640 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1950,,,,Feb 01,17,3.6,Feb 28,1,0.1,,,,,,,,,
1951,,,,Feb 01,16,2.7,Mar 01,12,2.6,,,,,,,,,
1952,,,,Jan 30,15,6.1,,,,,,,,,,,,
1953,,,,Jan 30,5,1.3,Mar 03,26,6.0,Apr 01,0,0.0,,,,,,
1954,,,,Jan 30,9,2.5,Mar 03,1,0.1,Mar 31,4,1.2,,,,,,
1955,,,,Feb 03,14,4.0,Mar 01,8,3.2,,,,,,,,,
1956,,,,Jan 31,11,1.8,Mar 02,9,3.1,Apr 03,4,0.6,,,,,,
1957,,,,,,,Feb 27,1,0.1,Mar 30,0,0.0,,,,,,
1958,,,,Jan 29,1,0.1,Feb 27,3,0.7,Mar 30,6,1.6,,,,,,
1959,,,,Jan 29,0,0.0,Feb 27,7,2.4,Mar 31,0,0.0,,,,,,
1960,,,,Jan 30,19,6.4,Feb 28,27,9.0,Mar 30,2,0.9,,,,,,
1961,,,,Jan 30,9,1.7,Feb 27,4,0.7,Mar 30,7,1.8,,,,,,
1962,,,,Jan 30,27,7.3,Feb 28,32,6.8,Mar 29,8,6.4,,,,,,
1963,,,,Jan 29,9,2.5,Feb 27,0,0.0,Mar 29,0,0.0,,,,,,
1964,,,,Jan 28,10,1.9,Feb 26,13,2.2,Mar 31,5,2.2,,,,,,
1965,,,,Jan 28,10,3.0,Feb 25,10,3.1,Mar 30,3,1.1,,,,,,
1966,,,,Jan 28,19,5.8,Feb 26,20,6.3,Mar 30,0,0.0,,,,,,
1967,,,,Jan 30,7,1.8,Feb 27,1,0.3,Mar 31,2,0.3,,,,,,
1968,,,,Jan 29,40,13.5,Feb 28,25,12.0,Mar 30,10,5.1,,,,,,
