#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 1C18: Mission Ridge, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mission Ridge (1C18) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 6070 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:45 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1967,,,,,,,Feb 23,81,29.4,Mar 22,91,33.1,Apr 25,80,35.1,May 29,42,22.2
1968,,,,Jan 30,55,19.2,Feb 27,65,23.2,Mar 28,77,27.2,Apr 30,79,32.4,,,
1969,,,,Jan 30,51,16.1,Feb 24,65,20.8,Mar 28,63,23.8,Apr 29,61,24.1,,,
1970,,,,Jan 30,36,9.1,Feb 27,36,11.1,Mar 31,40,12.8,Apr 30,48,16.5,,,
1971,,,,Jan 28,66,18.4,Feb 22,64,22.0,Mar 31,94,31.6,Apr 29,65,29.2,May 28,23,11.7
1972,Dec 29,41,11.2,Jan 28,79,23.0,Feb 29,127,39.6,Mar 28,105,44.0,Apr 26,97,42.8,May 26,55,30.0
1973,Dec 28,32,6.3,Jan 31,54,14.4,Feb 27,52,17.0,Mar 26,57,19.8,Apr 26,44,18.6,May 29,6,3.1
1974,,,,Jan 30,97,29.6,Feb 27,98,35.5,Mar 29,101,40.7,Apr 29,87,36.8,May 29,56,26.1
1975,Dec 30,47,12.2,Jan 27,62,19.7,Feb 26,74,24.5,Mar 26,77,27.8,Apr 29,62,26.7,May 28,30,14.5
1976,Dec 30,69,21.9,Jan 28,79,27.3,Feb 25,93,34.2,Mar 26,93,37.2,Apr 28,81,37.8,May 27,45,22.8
1977,Dec 29,25,5.4,Jan 27,25,6.4,Feb 25,37,9.2,Mar 30,51,14.7,Apr 28,31,10.6,May 30,2,1.0
1978,Dec 29,58,17.5,Jan 31,63,21.5,Feb 28,64,23.5,Mar 30,70,26.7,Apr 28,60,25.3,May 31,25,12.5
1979,Jan 05,27,6.7,Jan 30,35,9.1,Feb 27,52,14.4,Mar 26,39,14.5,Apr 26,38,15.0,May 31,0,0.0
