#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 1C18P: Mission Ridge Pillow, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mission Ridge Pillow (1C18P) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 6070 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:57 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1970,Jan 01,,6.0,Feb 01,,8.5,Mar 01,,9.4,Apr 01,,10.4,May 01,,13.1,,,
1971,Jan 01,,8.7,Feb 01,,18.3,Mar 01,,23.6,Apr 01,,28.6,May 01,,26.3,Jun 01,,7.3
1972,Jan 01,,11.0,Feb 01,,21.8,Mar 01,,34.1,Apr 01,,39.9,May 01,,40.5,Jun 01,,23.3
1973,Jan 01,,7.1,Feb 01,,14.1,Mar 01,,17.3,Apr 01,,19.4,May 01,,19.3,,,
1974,Jan 01,,12.3,Feb 01,,26.1,Mar 01,,31.6,Apr 01,,35.9,May 01,,35.1,Jun 01,,27.9
1975,Jan 01,,12.7,Feb 01,,17.6,Mar 01,,22.3,Apr 01,,24.3,May 01,,25.2,Jun 01,,8.0
1976,Jan 01,,18.7,Feb 01,,22.2,Mar 01,,27.4,Apr 01,,29.4,May 01,,30.0,Jun 01,,19.0
1977,Jan 01,,6.8,Feb 01,,7.3,Mar 01,,6.3,Apr 01,,6.2,May 01,,5.8,,,
1978,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,
1980,Jan 01,,9.9,Feb 01,,12.8,Mar 01,,14.1,Apr 01,,18.3,May 01,,11.2,,,
1981,Jan 01,,10.7,Feb 01,,11.1,Mar 01,,15.7,Apr 01,,18.1,May 01,,18.6,Jun 01,,0.8
1982,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,
1987,Jan 01,,11.7,Feb 01,,19.4,Mar 01,,21.1,Apr 01,,23.9,May 01,,20.0,,,
1988,Jan 01,,6.9,Feb 01,,12.4,Mar 01,,15.9,Apr 01,,20.8,May 01,,13.1,Jun 01,,0.0
1989,Jan 01,,6.5,Feb 01,,17.0,Mar 01,,18.3,Apr 01,,21.9,May 01,,16.3,Jun 01,,0.0
1990,Jan 01,,6.7,Feb 01,,15.9,Mar 01,,22.4,Apr 01,,24.4,May 01,,16.7,Jun 01,,5.3
1991,Jan 01,,25.9,Feb 01,,31.3,Mar 01,,34.1,Apr 01,,35.7,May 01,,34.5,Jun 01,,12.4
1992,Jan 01,,11.5,Feb 01,,19.8,Mar 01,,22.1,Apr 01,,22.6,May 01,,17.0,Jun 01,,0.0
1993,Jan 01,,5.9,Feb 01,,10.0,Mar 01,,10.6,Apr 01,,14.1,May 01,,12.8,Jun 01,,0.0
1994,Jan 01,,8.0,Feb 01,,10.7,Mar 01,,16.3,Apr 01,,20.0,May 01,,12.2,Jun 01,,0.0
1995,,,,Feb 01,,20.4,Mar 01,,23.9,Apr 01,,25.9,May 01,,24.2,Jun 01,,0.0
1996,Jan 01,,12.0,Feb 01,,17.8,Mar 01,,22.2,Apr 01,,24.5,May 01,,21.2,Jun 01,,6.6
1997,Jan 01,,11.4,Feb 01,,18.1,Mar 01,,19.9,Apr 01,,26.0,May 01,,23.8,Jun 01,,1.7
1998,Jan 01,,10.6,Feb 01,,13.9,Mar 01,,16.3,Apr 01,,18.1,May 01,,11.9,Jun 01,,0.0
1999,Jan 01,,15.1,Feb 01,,27.0,Mar 01,,34.1,Apr 01,,36.0,May 01,,37.6,Jun 01,,22.1
2000,Jan 01,,12.6,Feb 01,,16.3,Mar 01,,17.6,Apr 01,,20.7,May 01,,19.3,Jun 01,,5.5
2001,Jan 01,,6.5,Feb 01,,9.4,Mar 01,,11.5,Apr 01,,15.1,May 01,,14.7,Jun 01,,0.0
2002,Jan 01,,11.9,Feb 01,,17.6,Mar 01,,22.1,Apr 01,,24.8,May 01,,26.4,Jun 01,,9.1
2003,Jan 01,,6.9,Feb 01,,10.1,Mar 01,,11.0,Apr 01,,17.0,May 01,,20.0,Jun 01,,6.6
2004,Jan 01,,8.4,Feb 01,,11.1,Mar 01,,12.2,Apr 01,,14.4,May 01,,7.4,Jun 01,,0.0
2005,Jan 01,,6.5,Feb 01,,9.7,Mar 01,,12.8,Apr 01,,14.9,May 01,,10.0,Jun 01,,0.0
2006,Jan 01,,6.7,Feb 01,,13.9,Mar 01,,17.0,Apr 01,,18.0,May 01,,19.3,Jun 01,,0.5
2007,Jan 01,,17.4,Feb 01,,25.5,Mar 01,,27.7,Apr 01,,35.2,May 01,,35.6,Jun 01,,14.4
2008,Jan 01,,10.3,Feb 01,,16.5,Mar 01,,19.4,Apr 01,,19.8,May 01,,19.3,Jun 01,,0.0
2009,Jan 01,,5.9,Feb 01,,8.9,Mar 01,,11.2,Apr 01,,16.7,May 01,,18.0,Jun 01,,0.0
2010,Jan 01,,12.8,Feb 01,,15.9,Mar 01,,17.2,Apr 01,,19.8,May 01,,19.6,Jun 01,,7.7
2011,Jan 01,,7.4,Feb 01,,13.3,Mar 01,,18.9,Apr 01,,20.9,May 01,,24.3,Jun 01,,17.4
2012,Jan 01,,11.5,Feb 01,,19.4,Mar 01,,22.0,Apr 01,,27.9,May 01,,27.7,Jun 01,,9.5
2013,Jan 01,,9.0,Feb 01,,12.7,Mar 01,,14.8,Apr 01,,19.6,May 01,,23.0,Jun 01,,3.1
2014,Jan 01,,8.1,Feb 01,,11.4,Mar 01,,15.4,Apr 01,,19.2,May 01,,17.9,Jun 01,,0.1
2015,,,,Feb 01,,9.3,Mar 01,,12.4,Apr 01,,15.2,May 01,,13.5,Jun 01,0,0.0
2016,Jan 01,,9.4,Jan 31,,11.9,Mar 01,,14.7,Apr 01,,17.9,May 01,,9.4,Jun 01,,0.0
2017,Jan 01,,10.2,Feb 01,,13.6,Mar 01,,18.6,Apr 01,,25.3,May 01,,25.9,Jun 01,,6.9
2018,Jan 01,,11.0,Feb 01,,17.8,Mar 01,,21.9,Apr 01,,24.2,May 01,,25.3,Jun 01,0,0.0
2019,Jan 01,,8.3,Feb 01,,12.8,Mar 01,,15.4,Apr 01,,15.5,May 01,,13.3,Jun 01,,0.0
2020,Jan 01,,6.2,Feb 01,,16.9,Mar 01,,19.8,Apr 01,,21.4,May 01,,19.1,,,
