#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 1D09P: Wahleach Lake Pillow, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Wahleach Lake Pillow (1D09P) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 4593 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:12 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1992,,,,,,,,,,Apr 01,,25.0,May 01,,20.0,,,
1993,Jan 01,,22.0,Feb 01,,28.1,Mar 01,,27.4,Apr 01,,31.3,May 01,,35.0,Jun 01,,0.0
1994,Jan 01,,18.6,Feb 01,,22.8,Mar 01,,32.6,Apr 01,,33.9,May 01,,29.8,Jun 01,,4.7
1995,Jan 01,,24.3,Feb 01,,27.4,Mar 01,,28.9,Apr 01,,33.2,May 01,,33.0,Jun 01,,0.0
1996,Jan 01,,10.6,Feb 01,,22.8,Mar 01,,27.4,Apr 01,,32.6,May 01,,33.1,Jun 01,,28.3
1997,,,,,,,,,,,,,,,,,,
1998,Jan 01,,14.8,Feb 01,,26.7,Mar 01,,33.9,Apr 01,,58.5,May 01,,48.6,Jun 01,,28.9
1999,Jan 01,,25.0,Feb 01,,41.8,Mar 01,,52.0,,,,May 01,,69.2,Jun 01,,60.0
2000,Jan 01,,21.3,Feb 01,,34.8,Mar 01,,41.6,Apr 01,,52.3,May 01,,56.9,Jun 01,,46.3
2001,Jan 01,,13.9,Feb 01,,19.2,Mar 01,,25.9,Apr 01,,35.0,May 01,,39.2,Jun 01,,27.6
2002,Jan 01,,19.4,Feb 01,,33.1,Mar 01,,43.0,Apr 01,,52.9,May 01,,55.7,Jun 01,,47.0
2003,Jan 01,,9.9,Feb 01,,15.4,Mar 01,,19.5,Apr 01,,33.6,May 01,,36.9,Jun 01,,27.3
2004,Jan 01,,21.7,Feb 01,,31.4,Mar 01,,35.9,Apr 01,,46.2,May 01,,44.1,Jun 01,,26.7
2005,Jan 01,,11.4,Feb 01,,12.4,Mar 01,,18.0,Apr 01,,25.7,May 01,,26.6,Jun 01,,2.4
2006,Jan 01,,12.6,Feb 01,,31.8,Mar 01,,41.1,Apr 01,,46.7,May 01,,51.1,Jun 01,,38.5
2007,Jan 01,,25.9,Feb 01,,34.5,Mar 01,,42.8,Apr 01,,53.0,May 01,,50.4,Jun 01,,35.4
2008,Jan 01,,18.2,,,,Mar 01,,41.4,Apr 01,,50.9,May 01,,58.7,Jun 01,,48.1
2009,Jan 01,,10.2,Feb 01,,18.0,Mar 01,,22.4,Apr 01,,32.0,May 01,,34.4,Jun 01,,33.5
2010,Jan 01,,15.7,Feb 01,,22.3,Mar 01,,26.1,Apr 01,,34.1,May 01,,38.6,Jun 01,,35.9
2011,Jan 01,,12.5,Feb 01,,22.9,Mar 01,,30.6,Apr 01,,39.0,May 01,,44.7,Jun 01,,45.0
2012,Jan 01,,12.2,,,,Mar 01,,30.1,Apr 01,,35.9,May 01,,43.5,Jun 01,,40.0
2013,Jan 01,,18.1,Feb 01,,25.9,Mar 01,,31.8,Apr 01,,38.8,May 01,,43.0,Jun 01,,36.7
2014,Jan 01,,10.1,Feb 01,,12.8,Mar 01,,22.6,Apr 01,,33.9,May 01,,39.6,Jun 01,,32.0
2015,Jan 01,,8.5,Feb 01,,9.6,Mar 01,,10.0,Apr 01,,10.2,May 01,,13.5,Jun 01,,0.4
2016,Jan 01,,11.4,Feb 01,,15.7,Mar 01,,22.2,Apr 01,,27.6,May 01,,23.5,Jun 01,,9.5
