#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 2A14: Mount Abbot, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mount Abbot (2A14) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 6594 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:43 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1959,,,,Jan 31,114,37.3,Feb 27,121,46.3,Apr 01,156,53.2,May 01,160,62.5,Jun 01,120,58.7
1960,,,,Feb 02,101,29.3,Mar 01,99,23.4,Mar 30,106,37.1,Apr 30,109,43.8,May 28,109,50.6
1961,,,,Jan 31,103,33.7,Feb 27,126,38.7,Mar 27,101,37.4,Apr 30,108,52.1,May 26,95,50.7
1962,,,,Feb 01,111,37.4,Feb 28,103,37.8,Apr 01,122,45.4,Apr 29,121,50.6,May 26,103,49.9
1963,,,,Jan 31,92,33.7,Feb 26,111,40.2,Apr 02,133,46.2,Apr 29,114,55.9,May 27,100,53.7
1964,,,,Jan 31,114,34.5,Feb 26,113,40.7,Apr 01,126,51.8,Apr 28,137,71.3,May 28,131,68.3
1965,,,,Feb 03,99,29.4,Feb 24,116,38.7,Mar 31,112,43.5,Apr 27,107,47.1,May 27,86,48.6
1966,,,,Jan 31,124,39.2,Feb 28,132,46.4,Mar 31,132,58.9,Apr 28,143,65.5,May 30,114,53.9
1967,,,,Jan 30,146,43.0,Feb 27,149,56.7,Mar 30,179,70.6,Apr 27,164,68.1,May 29,131,68.7
1968,,,,Jan 29,108,39.0,Feb 27,122,45.0,Apr 01,146,59.2,Apr 29,146,61.5,May 27,116,56.1
1969,,,,Jan 27,100,34.3,Feb 24,114,40.9,Mar 31,123,46.2,Apr 28,118,51.9,May 27,85,41.3
1970,,,,Jan 26,90,24.9,Feb 23,94,32.3,Mar 25,108,37.8,Apr 27,128,46.9,May 25,83,40.3
1971,,,,Jan 25,107,28.3,Feb 22,122,39.4,Mar 30,156,55.2,Apr 26,125,55.0,May 31,79,43.1
