#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 2B01: Revelstoke, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Revelstoke (2B01) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 1837 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:22 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,,,,,,,Feb 28,33,10.1,Apr 01,17,7.9,,,,,,
1939,,,,,,,,,,Mar 29,35,14.2,,,,,,
1940,,,,Feb 01,20,3.5,Feb 29,28,6.4,Mar 31,4,1.4,,,,,,
1941,,,,Jan 31,30,7.2,Feb 28,30,9.1,Mar 31,2,0.9,,,,,,
1942,,,,Jan 31,9,2.0,Feb 28,16,3.2,Mar 31,11,3.1,,,,,,
1943,,,,Jan 27,40,8.3,Feb 25,34,11.4,Apr 01,27,10.1,,,,,,
1944,,,,Jan 28,24,6.0,Feb 28,25,7.4,Mar 28,23,8.1,,,,,,
1945,,,,Jan 31,27,7.7,Feb 28,36,10.2,Mar 31,22,8.3,,,,,,
1946,,,,Jan 30,49,10.9,Feb 27,45,14.7,Mar 31,34,14.3,,,,,,
1947,,,,Jan 31,44,8.2,Feb 27,44,15.7,Mar 30,36,13.4,,,,,,
1948,,,,Jan 30,23,6.4,Feb 26,51,12.0,Mar 31,37,12.8,,,,,,
1949,,,,Feb 02,32,7.9,Feb 25,49,12.5,Mar 28,35,12.6,,,,,,
1950,,,,Jan 30,32,4.5,Feb 27,39,10.7,Mar 30,32,10.1,,,,,,
1951,,,,,,,Feb 27,59,16.3,Apr 06,37,13.8,,,,,,
1952,,,,Jan 27,54,10.9,Mar 01,41,14.0,Mar 30,35,12.9,,,,,,
1953,,,,Jan 31,36,11.5,Feb 28,40,13.8,Mar 29,30,11.5,,,,,,
1954,,,,Jan 30,32,7.9,Feb 28,26,8.5,Mar 28,23,8.6,,,,,,
1955,,,,Jan 29,24,6.1,Feb 27,29,8.2,Mar 29,37,11.7,,,,,,
1956,,,,Jan 28,49,15.2,Feb 26,56,17.2,Mar 30,51,20.0,,,,,,
