#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 2B02A: Farron, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Farron (2B02A) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 4003 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:25 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1973,,,,Jan 30,33,7.8,Feb 28,35,10.2,Mar 28,36,11.5,Apr 27,20,7.1,,,
1974,,,,Jan 31,50,12.9,Feb 27,58,17.7,Mar 27,53,18.9,Apr 26,39,16.0,,,
1975,,,,Jan 30,39,9.8,Feb 26,51,13.8,Mar 26,54,16.2,Apr 29,36,14.4,,,
1976,,,,Jan 29,32,9.0,Feb 26,45,10.9,Mar 30,49,13.3,Apr 29,32,12.3,,,
1977,,,,Jan 27,14,2.5,Feb 28,19,3.1,Mar 30,28,7.6,Apr 29,3,0.9,,,
1978,,,,Jan 30,44,12.3,Feb 28,50,15.2,Mar 30,36,13.5,Apr 27,25,10.2,,,
1979,,,,Jan 30,20,4.1,Feb 27,41,9.6,Mar 27,31,9.0,Apr 30,18,6.9,,,
1980,,,,Jan 31,30,7.6,Feb 29,39,12.0,Mar 31,45,15.0,Apr 29,16,6.1,,,
1981,,,,Jan 29,24,7.0,Feb 26,35,9.8,Mar 30,31,10.7,Apr 30,21,8.4,,,
1982,,,,Jan 28,44,11.3,Feb 26,41,12.8,Mar 31,50,14.6,Apr 29,37,13.7,May 31,1,0.4
1983,,,,Jan 28,44,13.6,Feb 28,55,15.2,Mar 30,46,17.9,Apr 29,32,14.2,May 31,0,0.0
1984,,,,Jan 31,34,9.9,Feb 29,43,12.2,Mar 29,38,13.3,May 01,26,11.3,May 31,2,0.7
1985,Jan 02,39,9.9,Jan 31,33,10.6,Feb 28,39,12.2,Mar 26,39,12.7,May 01,20,7.5,May 30,0,0.0
1986,Jan 02,24,5.6,Jan 30,38,9.0,Feb 27,39,11.4,Apr 02,26,10.2,Apr 30,15,5.8,May 28,0,0.0
1987,Dec 30,21,3.5,Jan 26,25,5.7,Feb 25,31,8.9,Mar 30,27,10.0,Apr 29,4,1.7,May 27,0,0.0
1988,Dec 30,17,3.8,Feb 02,23,5.6,Feb 29,25,7.0,Mar 29,30,8.6,May 02,5,1.4,May 31,0,0.0
1989,Dec 29,22,4.6,Jan 31,28,8.5,Feb 28,38,10.0,Mar 29,37,10.9,Apr 28,19,7.2,May 31,0,0.0
1990,Dec 29,9,1.8,Jan 31,30,6.0,Feb 26,34,8.9,Mar 28,29,10.8,Apr 27,7,2.5,May 28,0,0.0
1991,Dec 31,24,5.3,Jan 29,32,8.7,Feb 26,25,9.1,Apr 02,29,10.4,Apr 30,14,5.6,May 28,0,0.0
1992,Jan 02,25,5.7,Jan 31,27,8.1,Feb 25,31,9.6,Apr 01,16,6.6,Apr 29,2,0.9,May 29,0,0.0
1993,Dec 31,29,5.6,Jan 29,36,8.8,Feb 26,40,10.3,Mar 31,29,9.7,Apr 28,14,5.9,May 31,0,0.0
1994,Jan 05,31,6.7,Jan 31,28,8.3,Feb 25,46,10.9,Mar 30,31,11.2,Apr 25,14,5.6,May 26,0,0.0
1995,Jan 04,26,6.6,Jan 27,37,10.1,Feb 24,35,12.0,Mar 30,37,13.3,Apr 27,26,10.3,May 30,0,0.0
1996,Jan 03,31,7.1,Jan 26,37,9.3,Feb 26,43,13.1,Apr 01,42,13.5,May 01,21,8.2,Jun 05,0,0.0
1997,Jan 07,42,13.0,,,,Feb 27,50,15.9,Mar 26,48,17.6,Apr 28,32,14.0,May 29,0,0.2
1998,Dec 29,11,1.6,Jan 30,35,8.8,Feb 27,43,11.6,Apr 01,35,13.7,Apr 28,20,8.6,,,
1999,Dec 31,29,6.9,Jan 29,35,9.8,Feb 24,47,12.7,Mar 26,38,14.2,Apr 28,26,11.0,May 27,2,0.7
2000,Dec 30,22,6.1,Jan 28,33,9.4,Feb 25,34,11.1,Mar 29,43,14.8,Apr 28,23,9.6,,,
2001,Dec 28,19,3.9,Jan 31,22,5.3,Feb 27,24,6.3,Mar 26,22,6.4,Apr 27,15,5.4,,,
2002,Dec 27,22,6.3,Jan 30,28,8.2,Feb 25,32,10.6,Mar 28,36,12.2,Apr 29,13,5.7,,,
2003,Jan 01,21,3.5,Feb 03,31,8.3,Feb 24,35,8.6,Mar 27,31,9.6,May 02,8,3.4,,,
2004,Dec 29,29,6.2,Jan 26,36,8.4,Feb 24,37,11.3,Mar 26,33,11.2,Apr 26,10,4.2,,,
2005,Jan 02,27,5.8,Jan 31,25,7.8,Feb 25,28,8.1,Mar 30,31,10.4,Apr 27,16,6.1,,,
2006,Jan 03,24,6.0,Feb 03,40,10.4,Mar 01,46,13.5,Mar 30,43,15.0,Apr 25,28,11.3,,,
2007,Dec 28,35,7.6,Feb 05,33,10.3,Feb 27,44,12.2,Mar 29,26,10.6,Apr 29,7,3.1,,,
2008,Dec 31,22,5.0,Jan 31,32,7.2,,,,Mar 28,37,12.1,May 01,28,11.4,,,
2009,Jan 02,31,6.0,Jan 26,29,8.0,,,,Apr 04,38,12.4,Apr 28,20,8.1,,,
2010,Jan 06,28,5.8,Jan 28,27,7.2,Feb 26,30,8.8,Mar 29,28,9.6,Apr 28,11,4.1,,,
2011,Dec 31,28,5.6,Feb 05,31,8.2,Feb 24,37,9.8,Mar 29,44,14.0,Apr 27,41,15.7,May 27,4,1.3
2012,Jan 03,17,3.6,Feb 02,28,5.9,Feb 27,37,7.8,Apr 03,42,12.2,Apr 27,22,8.1,,,
2013,Jan 02,21,5.5,Jan 29,29,7.5,Mar 04,31,10.0,Mar 28,31,10.2,May 01,12,5.3,,,
2014,Dec 31,20,4.5,Feb 04,28,7.2,Feb 27,36,9.1,Mar 31,33,10.8,Apr 29,16,6.2,,,
2015,Dec 31,19,4.0,Jan 29,26,6.9,Feb 25,20,6.5,Mar 30,14,5.0,May 01,0,0.0,,,
2016,Jan 06,33,6.2,Feb 02,41,10.8,Feb 23,39,12.6,Mar 29,37,13.7,Apr 28,6,2.6,,,
2017,Jan 03,23,4.3,Jan 30,28,7.0,Feb 27,41,10.9,Mar 31,41,13.8,Apr 25,31,12.2,,,
2018,Dec 27,24,5.8,Jan 30,49,12.5,Mar 06,61,17.4,Mar 29,49,18.3,Apr 27,40,17.2,,,
2019,Dec 27,25,5.6,Jan 28,31,9.1,Feb 26,41,11.5,Mar 29,31,11.3,Apr 30,13,5.1,,,
2020,Jan 02,20,4.3,Jan 30,39,9.5,Feb 27,41,11.0,Apr 01,37,12.6,Apr 30,15,6.0,,,
2021,Jan 07,33,7.2,Feb 03,40,10.9,Feb 24,41,11.8,Mar 30,31,11.5,May 03,3,1.4,,,
2022,,,,Jan 27,29,8.8,Mar 04,31,9.4,Mar 31,28,9.2,Apr 25,23,8.9,,,
2023,Jan 05,26,6.9,Jan 26,34,8.7,Mar 02,44,11.5,Mar 27,40,13.2,Apr 27,28,10.8,,,
2024,,,,,,,,,,,,,,,,,,
