#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 2C14: Floe Lake, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Floe Lake (2C14) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 6857 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:12 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1969,,,,Feb 06,88,23.4,Feb 27,79,24.2,Mar 25,82,27.4,May 05,77,33.2,,,
1970,,,,Jan 29,61,17.3,Feb 24,65,20.3,Mar 25,71,22.3,Apr 28,74,25.4,,,
1971,,,,Feb 03,108,30.7,Feb 22,100,33.7,Apr 01,116,43.2,Apr 27,97,43.4,,,
1972,,,,Jan 26,98,30.6,Feb 24,114,36.1,Mar 28,123,48.9,Apr 26,126,53.9,,,
1973,,,,Jan 31,68,19.7,Feb 28,69,23.0,Mar 28,82,27.1,May 02,76,30.0,,,
1974,,,,Feb 01,76,30.0,Mar 02,123,39.1,Mar 31,122,45.0,Apr 28,110,49.1,,,
1975,,,,Jan 29,61,19.4,Feb 26,75,22.7,Apr 01,76,26.8,Apr 29,69,27.3,,,
1976,,,,Jan 28,86,29.4,Feb 28,105,35.2,Mar 30,111,40.0,Apr 29,98,41.5,,,
1977,,,,Feb 01,44,11.8,Mar 01,53,14.3,Mar 28,71,19.6,Apr 25,54,20.1,,,
1978,Dec 31,50,14.8,Jan 28,59,18.5,Feb 25,62,20.7,Apr 01,77,26.7,Apr 30,75,30.0,,,
1979,Jan 02,47,12.4,Jan 30,48,13.6,Mar 01,80,21.4,Apr 03,78,24.6,Apr 30,72,27.3,,,
1980,Jan 04,59,17.4,Jan 28,64,20.7,Feb 25,72,24.4,Mar 31,88,31.8,Apr 28,65,31.0,,,
1981,Jan 04,61,18.8,Jan 30,63,20.6,Feb 28,76,24.3,Apr 04,83,29.0,May 05,77,32.3,,,
1982,Dec 30,47,14.1,Jan 30,80,21.5,Mar 04,98,30.3,Mar 28,95,34.3,Apr 26,89,36.5,,,
1983,Jan 01,89,36.5,Feb 01,58,17.2,,,,Apr 05,69,24.4,Apr 27,60,24.6,,,
1984,Jan 01,60,24.6,Jan 31,66,17.4,Feb 28,66,20.7,Mar 27,70,23.2,Apr 27,67,25.4,,,
1985,,,,Jan 29,50,16.7,Feb 27,72,20.7,Mar 27,67,22.2,Apr 29,82,27.9,,,
1986,,,,Feb 02,65,20.1,Mar 05,76,25.1,Mar 25,88,27.6,Apr 24,84,30.9,,,
1987,,,,Jan 26,54,16.0,Feb 24,58,20.2,Mar 25,72,25.7,Apr 25,78,29.3,,,
1988,,,,Feb 01,56,15.5,Feb 24,63,20.4,Mar 30,78,26.1,Apr 27,67,27.7,,,
1989,Jan 01,49,12.8,Jan 25,63,19.5,Mar 03,71,24.7,Mar 27,84,30.2,Apr 27,81,32.4,,,
1990,Dec 30,52,17.5,Feb 07,83,27.0,Feb 27,87,33.4,Mar 26,87,36.3,Apr 29,87,38.8,,,
1991,Jan 02,81,29.4,Jan 26,80,31.9,Feb 25,93,37.4,,,,Apr 26,102,46.3,,,
1992,Jan 05,43,13.6,Feb 03,68,20.9,Feb 24,69,24.5,Mar 26,59,23.5,May 01,55,25.3,,,
1993,Dec 31,37,8.5,Feb 01,44,11.3,Feb 24,47,12.6,Mar 29,59,16.2,Apr 27,65,21.8,,,
1994,Jan 05,61,17.4,Jan 27,77,24.4,Feb 25,97,30.9,Mar 30,91,36.6,Apr 26,81,38.2,,,
1995,Dec 30,62,18.1,Feb 04,65,21.8,Feb 23,77,26.9,Mar 27,82,31.2,May 02,85,35.5,,,
1996,Dec 28,65,22.3,Jan 26,81,27.1,Feb 28,88,31.1,Mar 26,95,35.3,May 06,104,42.3,,,
1997,Jan 04,104,42.3,Jan 27,81,24.4,Feb 25,84,28.0,Mar 30,97,36.4,May 02,93,39.7,,,
1998,Jan 08,59,12.4,,,,Feb 26,55,17.9,Mar 31,68,24.3,Apr 26,59,22.8,,,
1999,Jan 02,72,19.6,,,,Feb 26,104,35.8,Mar 28,104,42.3,Apr 28,99,43.7,,,
2000,Dec 28,58,19.1,Jan 27,71,23.6,Mar 01,82,29.1,Mar 29,92,33.9,May 01,84,36.2,,,
2001,Dec 31,31,7.1,Feb 06,44,9.4,Feb 27,48,11.0,Apr 05,58,16.9,May 06,58,19.6,,,
2002,Dec 28,49,15.9,Jan 30,70,22.4,Feb 25,82,26.9,Mar 27,89,31.7,Apr 29,90,36.8,,,
2003,Jan 05,43,9.6,Feb 06,49,13.7,Mar 05,61,17.6,Apr 05,82,27.2,May 02,72,28.3,,,
2004,Jan 02,43,12.7,Feb 02,65,17.9,Feb 28,61,20.2,Mar 29,73,26.0,Apr 25,65,26.5,,,
2005,Jan 05,48,14.5,Feb 01,59,20.3,Feb 28,61,21.8,Apr 06,74,25.6,Apr 28,64,25.4,,,
2006,,,10.1,,,17.9,,,24.2,,,25.0,,,28.7,,,
2007,Dec 29,63,17.9,Feb 02,65,24.1,Mar 02,77,28.4,Mar 26,94,33.2,Apr 30,92,38.9,Jun 01,,29.4
2008,Dec 31,55,16.5,Feb 04,64,20.4,Feb 25,68,24.2,Mar 27,75,26.8,Apr 28,82,31.9,Jun 01,,21.7
2009,Jan 01,40,10.9,Feb 03,57,17.0,Feb 27,69,20.5,Mar 27,72,23.3,Apr 30,67,25.6,Jun 01,,18.1
2010,,50,15.9,,57,19.2,,57,21.4,,,23.6,,63,25.8,,,22.3
2011,Jan 01,40,10.5,Jan 31,69,19.3,Feb 25,75,24.4,,,,,,,,,
2012,,,,Feb 01,127,23.5,Feb 28,86,27.3,,,,Apr 29,100,46.5,Jun 01,,36.6
