#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 2F18: Brenda Mine, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brenda Mine (2F18) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 4790 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:11 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1969,,,,Feb 03,42,10.6,Feb 25,43,12.0,Mar 27,42,10.9,Apr 28,21,7.9,Jun 01,0,0.0
1970,,,,Jan 26,31,6.8,Feb 25,30,9.2,Mar 26,36,9.6,Apr 28,25,8.6,Jun 01,0,0.0
1971,,,,Jan 27,48,9.5,Feb 26,48,14.1,Mar 29,57,17.0,Apr 28,26,11.0,May 25,0,0.0
1972,,,,Jan 26,52,15.2,Feb 28,63,19.5,Mar 28,56,20.9,Apr 27,49,20.7,May 26,0,0.0
1973,,,,Jan 26,29,7.7,Feb 26,32,9.4,Mar 26,38,11.8,Apr 27,17,5.9,May 22,0,0.0
1974,Dec 27,31,8.2,Jan 28,42,11.7,Feb 26,54,15.6,Mar 28,53,19.1,Apr 29,35,15.5,May 27,0,0.0
1975,Dec 27,35,8.0,Jan 28,48,13.0,Feb 26,55,17.7,Mar 27,55,18.2,Apr 28,34,14.0,May 26,0,0.0
1976,Dec 29,36,8.0,Jan 28,44,12.7,Feb 26,49,14.5,Mar 29,50,16.8,Apr 28,32,12.2,Jun 01,0,0.0
1977,Dec 29,13,2.4,Jan 28,18,3.3,Feb 28,24,5.1,Mar 30,31,7.5,Apr 29,0,0.0,Jun 01,0,0.0
1978,Dec 29,37,10.0,Jan 30,43,11.9,Feb 24,44,13.9,Mar 30,32,13.3,Apr 27,26,11.7,Jun 01,0,0.0
1979,Dec 28,28,6.2,Jan 29,32,7.7,Feb 27,40,10.5,Mar 29,35,9.6,Apr 27,28,8.5,May 31,0,0.0
1980,Dec 27,23,5.0,Jan 29,30,7.2,Feb 27,37,9.0,Mar 28,40,11.9,Apr 28,10,3.1,Jun 01,0,0.0
