#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 33K01: Atlin Lake, BC
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Atlin Lake (33K01) 
# British Columbia  SNOW COURSE/AERIAL MARKER Site - 2395 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:45 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,Jan 31,26,4.2,Feb 27,25,6.4,Mar 31,27,6.4,Apr 30,18,5.5,,,
1965,,,,,,,Feb 28,22,4.0,Mar 31,16,4.1,May 01,8,4.0,,,
1966,,,,,,,Mar 01,18,3.9,Mar 31,15,3.8,May 01,0,0.0,,,
1967,,,,,,,Feb 28,27,4.8,Mar 31,24,6.0,May 01,13,3.9,,,
1968,,,,,,,Feb 29,9,3.1,Apr 01,0,0.0,May 01,0,0.0,,,
1969,,,,,,,Mar 01,20,3.8,Mar 31,18,4.7,May 01,0,0.0,,,
1970,,,,,,,Mar 02,18,4.4,Mar 31,15,3.8,May 01,10,3.1,,,
1971,,,,,,,Mar 01,21,3.8,Apr 01,25,4.1,May 01,14,3.3,,,
1972,,,,,,,Feb 29,23,4.5,Mar 30,25,4.8,Apr 29,21,4.5,,,
1973,,,,,,,Mar 01,26,5.0,Mar 31,21,5.1,May 03,6,1.6,,,
1974,,,,,,,Feb 28,28,5.6,Apr 01,26,5.9,Apr 29,12,3.3,,,
1975,,,,Feb 02,17,3.0,Feb 28,23,4.0,Apr 01,21,4.7,Apr 29,10,3.4,,,
1976,,,,Jan 29,25,4.3,Mar 01,31,6.8,Mar 30,30,7.0,Apr 30,15,3.8,,,
1977,,,,Jan 30,13,2.8,Feb 27,15,3.1,Mar 29,16,4.0,Apr 29,0,0.0,,,
1978,,,,Feb 01,17,2.4,Feb 27,16,2.9,Mar 29,18,2.5,Apr 28,7,2.5,,,
1979,,,,Jan 29,15,2.3,Feb 25,17,3.1,Mar 28,17,3.2,Apr 25,7,2.5,,,
1980,,,,Jan 31,17,3.6,Feb 27,21,5.1,Mar 27,25,5.4,Apr 27,11,2.8,,,
1981,,,,Jan 28,17,4.3,Feb 24,19,5.1,Apr 01,19,6.4,Apr 27,7,3.3,,,
1982,,,,Jan 30,20,2.0,Feb 28,21,3.8,Mar 31,23,5.3,Apr 29,15,4.4,,,
1983,,,,Jan 29,20,3.9,Feb 24,20,4.8,Mar 25,20,4.4,May 01,0,0.0,,,
1984,,,,Jan 28,14,2.6,Feb 25,17,3.7,Mar 29,11,3.2,Apr 27,0,0.0,,,
1985,,,,Jan 27,19,3.7,Feb 24,25,5.6,Mar 28,24,6.1,Apr 27,17,5.1,,,
1986,,,,Jan 26,16,3.3,Feb 23,16,3.3,Mar 26,24,5.3,Apr 27,21,5.0,,,
1987,,,,Jan 30,14,2.6,Feb 26,18,3.8,Mar 30,16,2.9,,,,,,
1988,,,,,,,Feb 28,13,1.8,Mar 31,15,4.1,Apr 27,1,0.5,,,
1989,,,,,,,Feb 28,22,4.4,Mar 31,22,5.0,May 01,0,0.0,,,
1990,,,,,,,Mar 04,24,5.7,Apr 01,20,5.2,May 01,0,0.0,,,
1991,,,,,,,Mar 02,27,6.3,Apr 01,26,6.3,May 01,0,0.0,,,
1992,,,,,,,Feb 26,29,6.4,Mar 30,25,7.8,Apr 28,13,5.4,,,
1993,,,,,,,Feb 25,32,7.1,Mar 29,30,7.5,Apr 29,0,0.0,,,
1994,,,,,,,Feb 27,20,5.2,Jul 01,21,5.8,Apr 29,0,0.0,,,
1995,,,,,,,Feb 26,24,4.4,Apr 01,20,4.9,Apr 30,0,0.0,,,
1996,,,,,,,Feb 25,30,4.6,,,,,,,,,
1997,,,,,,,Mar 01,13,2.8,Mar 28,20,4.0,,,,,,
1998,,,,,,,Mar 01,18,3.7,Mar 29,17,4.1,Sep 01,0,0.0,,,
1999,,,,,,,Feb 28,18,3.2,Mar 27,14,3.5,,,,,,
2000,,,,,,,Feb 28,13,3.1,Mar 27,11,3.1,Apr 29,0,0.0,,,
2001,,,,,,,Feb 28,18,3.1,Mar 31,16,4.0,Apr 30,0,0.0,,,
2002,,,,,,,Feb 26,23,4.4,Mar 29,22,5.5,May 01,0,0.0,,,
2003,,,,,,,Mar 02,13,4.1,Mar 29,35,3.8,Apr 30,0,0.0,,,
2004,,,,,,,Feb 29,18,3.8,Mar 31,27,7.6,Apr 30,0,0.0,,,
2005,,,,,,,Mar 04,19,5.4,Mar 28,16,5.2,Apr 29,0,0.0,,,
2006,,,,,,,Mar 01,12,2.9,Apr 02,11,3.1,Apr 29,0,0.0,,,
2007,,,,,,,Mar 02,33,7.0,Mar 31,42,10.5,Apr 29,21,6.1,,,
2008,,,,,,,Feb 29,20,3.7,Mar 31,20,4.1,May 01,7,1.7,,,
2009,,,,,,,Mar 03,24,5.6,Mar 29,28,6.1,Apr 30,19,8.1,,,
2010,,,,,,,,,,Mar 28,19,4.6,Apr 28,0,0.0,,,
2011,,,,,,,Feb 28,20,3.3,,,,,,,,,
2012,,,,,,,Feb 29,13,3.6,Mar 31,19,4.4,May 01,0,0.0,,,
2013,,,,,,,Feb 25,18,4.2,,,,May 01,24,5.0,,,
2014,,,,,,,,,,,20,4.9,May 01,0,0.0,,,
2015,,,,,,,Mar 01,11,2.7,Apr 01,12,2.9,,,,,,
2016,,,,,,,Mar 01,16,3.4,Mar 31,9,2.2,May 01,0,0.0,,,
2017,,,,,,,Mar 01,16,3.4,Apr 01,24,4.9,,,,,,
2018,,,,,,,Feb 27,15,2.8,Mar 27,16,3.0,Apr 26,4,1.5,,,
2019,,,,,,,Feb 26,14,2.6,Mar 27,0,0.0,Apr 30,0,0.0,,,
2020,,,,,,,Feb 25,11,2.1,Mar 27,13,2.8,Apr 27,0,0.0,,,
2021,,,,,,,Mar 01,35,8.2,Mar 26,35,8.4,Apr 27,20,6.0,,,
2022,,,,,,,Feb 24,22,5.1,Mar 29,21,5.4,Apr 26,16,4.5,,,
2023,,,,,,,Feb 27,15,3.0,Mar 28,13,3.7,Apr 24,12,3.2,,,
2024,,,,,,,,,,,,,,,,,,
