#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19L03: Hagans Meadow, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Hagans Meadow (19L03) 
# California  SNOW COURSE/AERIAL MARKER Site - 8000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1916,,,,,,,,,,Apr 01,0,19.7,,,,,,
1917,,,,,,,,,,Apr 01,0,24.0,,,,,,
1918,,,,,,,,,,Apr 12,35,14.9,,,,,,
1919,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,Mar 31,43,13.7,,,,,,
1921,,,,,,,,,,Mar 25,52,20.1,,,,,,
1922,,,,,,,,,,Apr 03,77,30.9,,,,,,
1923,,,,,,,,,,Mar 28,39,17.5,,,,,,
1924,,,,,,,,,,Apr 01,29,8.4,,,,,,
1925,,,,,,,,,,Apr 01,38,15.7,,,,,,
1926,,,,,,,,,,Apr 02,14,5.6,,,,,,
1927,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,Apr 01,37,7.6,,,,,,
1929,,,,,,,,,,Mar 30,24,10.2,,,,,,
1930,,,,,,,,,,Mar 29,28,12.6,,,,,,
1931,,,,,,,,,,Mar 28,22,7.9,,,,,,
1932,,,,,,,,,,Mar 31,52,23.8,,,,,,
1933,,,,,,,,,,Mar 30,43,17.8,,,,,,
1934,,,,,,,,,,Mar 30,1,0.9,,,,,,
1935,,,,,,,,,,Mar 29,41,16.5,,,,,,
1936,,,,,,,,,,Mar 27,55,26.4,,,,,,
1937,,,,,,,Feb 28,60,22.2,Apr 01,55,22.2,,,,,,
1938,,,,,,,Feb 28,65,21.3,Mar 31,81,30.2,,,,,,
1939,,,,,,,,,,Mar 31,25,10.9,,,,,,
1940,,,,,,,,,,Mar 31,52,20.2,,,,,,
1941,,,,,,,,,,Mar 30,42,18.1,,,,,,
1942,,,,,,,,,,Mar 31,55,22.5,,,,,,
1943,,,,Feb 03,55,16.9,Mar 01,52,18.2,Mar 30,56,18.1,May 04,0,0.0,,,
