#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19L04: Upper Carson Pass, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Upper Carson Pass (19L04) 
# California  SNOW COURSE/AERIAL MARKER Site - 8517 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:02 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,Jan 03,25,9.6,Jan 30,58,20.1,Mar 09,89,30.3,Apr 03,68,30.7,Apr 29,51,24.2,Jun 01,22,10.6
1931,Jan 08,42,8.0,Jan 27,33,9.7,Feb 26,45,13.7,Mar 27,48,17.2,Apr 29,24,9.3,,,
1932,,,,Feb 10,150,52.6,Feb 25,128,52.2,Mar 30,109,49.7,Apr 28,107,51.0,May 27,63,33.1
1933,,,,Feb 01,73,17.9,Feb 21,63,20.8,Mar 21,70,23.9,Apr 26,46,22.4,,,
1934,,,,Jan 26,40,13.4,Feb 24,57,16.2,Mar 26,34,15.7,Apr 30,0,0.0,,,
1935,,,,Jan 24,65,19.2,Feb 23,56,21.2,Mar 26,82,28.7,Apr 26,76,38.0,,,
1936,,,,Jan 24,62,20.7,Feb 27,125,43.0,Mar 23,87,41.4,Apr 25,66,36.1,,,
1937,,,,Jan 26,41,12.8,Feb 22,83,30.5,Mar 31,96,37.6,Apr 28,78,36.6,,,
1938,,,,Jan 24,28,8.7,Feb 22,91,31.9,Mar 29,123,47.2,Apr 29,92,46.4,,,
1939,,,,Jan 27,32,8.4,Mar 01,56,18.1,Mar 29,50,20.4,Apr 29,11,4.7,,,
1940,,,,Jan 27,65,18.6,Mar 01,104,34.6,Mar 28,92,36.5,Apr 26,69,33.9,,,
1941,,,,Jan 29,69,23.8,Feb 26,81,30.4,Apr 01,85,36.6,Apr 27,83,39.2,,,
1942,,,,Jan 29,99,29.2,Feb 26,93,36.2,Mar 27,89,39.3,Apr 29,84,37.6,,,
1943,,,,Feb 01,88,28.8,Feb 27,99,37.6,Mar 28,102,45.1,Apr 29,69,34.1,,,
