#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 19L19: Ebbetts Pass - Aerial Marker, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ebbetts Pass - Aerial Marker (19L19) 
# California  SNOW COURSE/AERIAL MARKER Site - 8700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:45 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,Jan 27,63,17.6,Feb 27,35,12.2,Mar 27,70,24.5,,,,,,
1965,,,,Feb 01,84,31.8,Mar 03,70,32.2,Apr 04,108,46.5,,,,,,
1966,,,,Jan 26,64,23.0,,,,Mar 30,70,30.0,,,,,,
1967,,,,,,,,,,,,,,,,,,
1968,,,,Feb 01,74,20.7,Mar 01,62,22.9,Mar 30,75,27.8,,,,,,
1969,,,,Jan 29,144,43.2,Feb 27,174,64.4,Mar 28,140,58.8,,,,,,
1970,,,,Jan 26,74,27.4,Mar 03,113,39.6,Mar 24,83,33.2,,,,,,
1971,,,,Jan 27,82,31.2,Feb 26,79,30.8,Apr 03,53,20.1,,,,,,
1972,,,,Jan 29,90,27.0,Feb 26,82,31.1,Mar 31,65,30.5,,,,,,
1973,,,,Jan 28,84,27.7,,,,Mar 30,129,51.6,,,,,,
1974,,,,Jan 28,75,30.0,Mar 04,115,35.7,Mar 31,120,48.0,,,,,,
1975,,,,Jan 29,32,11.2,Feb 23,84,28.6,Mar 30,112,39.2,Apr 29,132,54.0,,,
1976,Dec 31,24,7.2,Jan 23,24,7.4,Feb 27,42,13.0,Mar 25,43,16.4,May 01,33,14.0,,,
1977,Dec 27,1,0.3,Jan 26,10,2.7,Feb 26,33,10.0,Mar 29,34,13.0,,,,,,
1978,Dec 31,60,21.0,Jan 24,91,33.7,Feb 24,114,38.8,Mar 28,114,49.0,Apr 26,120,62.4,Jun 04,48,26.8
1979,Dec 27,29,7.3,Jan 26,68,20.0,Feb 27,105,34.5,Mar 29,110,40.7,Apr 25,82,39.4,,,
1980,Dec 27,61,14.0,Jan 30,87,36.5,Feb 26,134,50.5,Mar 26,138,60.7,Apr 25,129,64.5,,,
1981,Dec 29,16,5.4,Feb 02,61,15.9,Feb 27,64,20.5,Mar 30,80,28.9,Apr 29,48,20.5,,,
1982,,,,Jan 29,110,39.6,Feb 23,111,46.6,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,
1984,,,,Jan 25,80,31.0,,,,,,,,,,,,
1985,,,,,,,Feb 25,70,21.6,Apr 01,80,29.0,,,,,,
1986,Jan 27,51,16.7,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,
