#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 20K07: Lake Fordyce, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lake Fordyce (20K07) 
# California  SNOW COURSE/AERIAL MARKER Site - 6500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1918,,,,,,,,,,Apr 14,0,33.0,,,,,,
1919,,,,,,,,,,Mar 31,111,47.3,,,,,,
1920,,,,,,,,,,Apr 05,86,38.3,,,,,,
1921,,,,,,,,,,Mar 29,111,48.5,,,,,,
1922,,,,,,,,,,Apr 01,0,68.2,,,,,,
1923,,,,,,,Feb 28,123,49.7,Apr 01,90,40.9,Apr 27,94,43.9,May 27,13,8.6
1924,,,,Jan 30,35,11.4,,,,Mar 27,52,16.3,Apr 28,16,7.7,,,
1925,Dec 28,35,11.0,Feb 07,62,16.4,,,,Mar 28,52,24.8,,,,,,
1926,,,,Feb 06,38,15.2,Feb 25,78,28.0,Mar 30,45,19.0,Apr 24,29,14.0,,,
1927,,,,Feb 03,71,20.7,,,,Mar 28,82,44.4,,,,,,
1928,,,,Feb 16,56,20.1,,,,Apr 01,79,34.1,,,,,,
1929,,,,Feb 15,78,26.2,,,,Mar 29,55,30.5,,,,,,
1930,Jan 02,0,0.0,Feb 01,45,15.0,Mar 01,69,23.2,Apr 01,58,30.8,Apr 30,34,16.0,,,
1931,Jan 11,42,11.3,Jan 30,44,17.0,Feb 25,57,19.1,Mar 26,48,19.9,Apr 30,0,0.0,,,
1932,,,,,,,Feb 26,124,51.0,Mar 27,104,52.6,Apr 30,94,48.4,May 29,36,21.0
1933,,,,Feb 03,89,28.3,Feb 26,85,29.8,Mar 26,88,34.9,May 08,53,25.5,May 27,41,21.2
1934,,,,Jan 28,54,20.8,Feb 28,79,29.6,Mar 28,33,17.5,,,,,,
1935,,,,Jan 29,91,30.8,Feb 26,82,32.4,Apr 11,123,52.3,May 02,93,52.8,,,
1936,,,,Jan 29,70,28.2,Feb 29,129,51.8,Mar 25,104,47.1,May 01,88,45.8,,,
1937,,,,Feb 08,104,38.3,Mar 01,93,40.4,Apr 01,97,43.4,Apr 30,70,38.7,,,
1938,,,,Jan 27,32,10.3,Mar 04,141,54.8,Mar 30,163,69.3,May 03,122,70.3,,,
1939,,,,Jan 28,36,12.3,Mar 01,71,26.4,Mar 23,62,27.8,Apr 28,0,0.0,,,
1940,,,,Jan 30,39,14.2,Mar 04,89,35.8,Apr 02,86,36.1,Apr 30,57,27.3,,,
1941,,,,Jan 29,98,34.8,Mar 06,115,43.4,Mar 25,88,40.9,May 01,80,41.9,,,
1942,,,,Feb 07,111,36.8,Mar 03,98,39.8,Mar 31,85,40.8,May 05,76,36.7,,,
1943,,,,Feb 03,85,28.6,Mar 03,81,34.8,Mar 31,82,39.8,May 03,23,12.0,,,
1944,,,,Feb 07,63,20.7,Mar 05,129,38.0,Mar 28,74,35.2,May 02,55,30.2,,,
1945,,,,Jan 30,42,16.0,Feb 27,76,26.8,Mar 29,109,39.7,May 02,57,28.0,,,
1946,,,,Jan 29,89,36.8,Mar 04,98,38.6,Mar 26,100,49.0,May 03,58,32.2,,,
1947,,,,Feb 04,48,14.8,Feb 25,38,15.8,Mar 27,47,20.7,May 02,0,0.0,,,
1948,,,,Jan 26,6,2.4,Feb 26,22,8.8,Apr 01,63,23.0,May 04,70,33.3,,,
1949,,,,Jan 26,71,24.3,Mar 08,116,40.0,Apr 05,110,49.6,May 03,50,27.8,,,
1950,,,,Jan 26,69,26.8,Feb 27,87,39.2,Mar 29,116,49.6,May 04,102,43.8,,,
1951,,,,Jan 25,53,17.9,Mar 08,83,27.5,Mar 27,59,26.5,Apr 25,21,11.7,,,
1952,,,,,,,Feb 28,172,69.8,Apr 02,184,84.3,May 09,124,67.9,,,
1953,,,,Jan 26,84,37.1,Feb 25,84,36.7,Apr 01,97,45.7,Apr 30,86,36.4,,,
1954,,,,Jan 27,61,20.4,Feb 25,83,31.9,Apr 02,82,34.8,,,,,,
1955,,,,Jan 28,74,24.6,Feb 25,66,29.2,Mar 30,74,32.0,May 03,81,34.3,,,
1956,,,,Feb 07,96,40.1,,,,Mar 27,116,53.4,May 01,83,44.5,,,
1957,,,,Jan 30,52,17.4,Feb 28,62,26.8,Apr 02,74,34.3,May 01,43,21.9,,,
1958,,,,,,,Mar 04,88,39.3,,,,Apr 24,128,61.5,,,
1959,,,,Jan 27,32,11.0,Feb 27,79,27.7,Apr 02,56,25.4,Apr 28,0,0.0,,,
1960,,,,Feb 04,63,21.1,Feb 25,63,29.3,Apr 04,62,34.2,Apr 26,34,17.8,,,
1961,,,,Feb 01,33,13.2,Feb 28,40,19.3,Apr 03,56,31.2,,,,,,
