#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 23G16: Althouse #3, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Althouse #3 (23G16) 
# California  SNOW COURSE/AERIAL MARKER Site - 4920 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:57:39 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1982,,,,Jan 28,42,10.4,Feb 25,21,6.6,Mar 25,29,11.6,,,,,,
1983,,,,Jan 26,47,16.0,Feb 25,76,30.2,Mar 29,92,36.0,,,,,,
1984,,,,Jan 30,12,5.0,Feb 27,39,18.8,Mar 29,35,12.6,,,,,,
1985,,,,Jan 28,36,11.0,Feb 26,50,17.0,Mar 28,86,24.7,,,,,,
1986,,,,Jan 27,16,4.6,Feb 25,16,5.2,Mar 27,10,3.6,,,,,,
1987,,,,Jan 27,24,6.8,Feb 23,38,10.1,Mar 26,38,13.1,,,,,,
1988,,,,Jan 27,36,12.6,Feb 29,22,9.4,Mar 30,13,6.5,,,,,,
1989,,,,Jan 27,46,15.0,Feb 27,46,16.8,Mar 28,46,18.9,,,,,,
1990,,,,Jan 29,9,1.4,Feb 26,36,11.2,Mar 27,20,8.4,,,,,,
1991,,,,Jan 28,0,0.0,Feb 26,0,0.0,Mar 26,36,7.4,,,,,,
1992,,,,Jan 29,11,3.8,Feb 27,5,2.0,Mar 30,0,0.0,,,,,,
1993,,,,Jan 28,56,19.4,Feb 26,85,30.0,Mar 30,40,18.6,,,,,,
1994,,,,Jan 26,14,4.4,Feb 24,42,11.0,Mar 28,24,7.8,,,,,,
1995,,,,Jan 27,60,20.8,Feb 28,28,12.2,Mar 27,38,11.0,,,,,,
1996,,,,Jan 26,45,11.4,Feb 25,49,10.6,Mar 28,36,15.0,,,,,,
1997,,,,Jan 27,21,8.4,Feb 25,18,7.8,Mar 26,13,5.8,,,,,,
1998,,,,Jan 29,19,6.2,Feb 27,88,24.0,Mar 27,47,21.8,,,,,,
1999,,,,Jan 26,37,9.3,Feb 25,78,19.7,Mar 26,73,30.0,,,,,,
