#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 3LK: Three Lakes, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Three Lakes (3LK) 
# California  SNOW COURSE/AERIAL MARKER Site - 6250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:01 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,Feb 10,,13.8,Mar 02,,21.0,Mar 28,,31.8,May 03,,1.9,,,
1931,,,,Jan 29,,4.9,Mar 02,,8.8,Mar 30,,3.7,Apr 27,,0.4,,,
1932,,,,Jan 29,,53.8,Mar 03,,96.7,Mar 28,,63.4,May 02,,50.2,Jun 02,,3.9
1933,,,,Feb 03,,30.2,Mar 01,,27.9,Mar 30,,32.9,May 02,,19.7,Jun 02,,1.1
1934,,,,Jan 26,,15.1,Feb 28,,17.0,Mar 27,,10.2,,,,,,
1935,,,,Jan 31,,22.5,Mar 13,,34.0,Mar 28,,53.8,May 07,,45.6,,,
1936,,,,Jan 26,,17.2,Mar 03,,17.3,Mar 25,,15.5,Apr 29,,11.7,,,
1937,,,,,,,,,,Mar 29,,59.0,,,,,,
1938,,,,,,,,,,Mar 28,,51.1,,,,,,
1939,,,,,,,,,,Mar 27,,26.3,,,,,,
1940,,,,,,,,,,Mar 28,,14.2,,,,,,
1941,,,,,,,,,,Mar 26,,39.5,,,,,,
1942,,,,,,,,,,Mar 25,,38.6,,,,,,
1943,,,,,,,,,,Mar 23,,46.0,,,,,,
1944,,,,,,,,,,Mar 24,,39.9,,,,,,
1945,,,,,,,,,,Mar 30,,41.0,,,,,,
1946,,,,,,,,,,Mar 27,,37.6,,,,,,
1947,,,,,,,,,,Apr 01,,23.7,,,,,,
1948,,,,,,,,,,Apr 02,,24.4,,,,,,
1949,,,,,,,,,,Mar 29,,42.7,,,,,,
1950,,,,,,,,,,Mar 28,,46.0,,,,,,
1951,,,,,,,,,,Mar 29,,27.6,,,,,,
1952,,,,,,,,,,Apr 02,,93.7,,,,,,
1953,,,,,,,,,,Mar 31,,46.4,,,,,,
