#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER BMN: Blacks Mountain, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Blacks Mountain (BMN) 
# California  SNOW COURSE/AERIAL MARKER Site - 6700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1945,,,,,,,,,,Mar 29,31,10.8,,,,,,
1946,,,,,,,,,,Apr 02,26,8.5,,,,,,
1947,,,,,,,,,,Apr 01,0,0.0,,,,,,
1948,,,,,,,,,,Mar 31,17,5.0,,,,,,
1949,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,Apr 01,18,8.1,,,,,,
1951,,,,,,,,,,Mar 30,11,4.7,,,,,,
1952,,,,,,,,,,Apr 01,51,22.9,,,,,,
1953,,,,,,,,,,Mar 28,12,5.6,,,,,,
1954,,,,,,,,,,Mar 31,25,11.9,,,,,,
1955,,,,,,,,,,Mar 30,17,4.8,,,,,,
1956,,,,,,,,,,Apr 04,34,14.9,,,,,,
1957,,,,,,,,,,Mar 28,14,6.9,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,Mar 30,6,1.8,,,,,,
1960,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,Mar 28,31,8.3,,,,,,
1962,,,,,,,,,,Mar 27,34,12.2,,,,,,
1963,,,,,,,,,,Mar 27,2,0.3,,,,,,
1964,,,,,,,,,,Mar 27,27,9.8,,,,,,
1965,,,,,,,,,,Mar 31,20,9.4,,,,,,
1966,,,,,,,,,,Mar 30,15,6.4,,,,,,
1967,,,,,,,,,,Mar 29,41,14.4,,,,,,
1968,,,,,,,,,,Mar 25,27,8.3,,,,,,
1969,,,,,,,,,,Mar 25,53,21.0,,,,,,
1970,,,,,,,,,,Mar 25,12,5.2,,,,,,
1971,,,,,,,,,,Mar 29,26,12.0,,,,,,
1972,,,,,,,,,,Mar 29,0,0.0,,,,,,
1973,,,,,,,,,,Apr 03,31,11.4,,,,,,
1974,,,,,,,,,,Mar 26,26,10.2,,,,,,
