#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER BMS: Big Meadows, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Big Meadows (BMS) 
# California  SNOW COURSE/AERIAL MARKER Site - 7600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:11:38 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,,,,,,,Mar 20,62,21.2,,,,,,
1931,,,,,,,Mar 07,35,14.1,,,,,,,,,
1932,,,,,,,,,,Mar 24,81,42.7,,,,,,
1933,,,,,,,,,,Mar 24,68,28.1,,,,,,
1934,,,,,,,,,,Mar 20,26,13.8,,,,,,
1935,,,,,,,,,,Mar 29,64,23.5,,,,May 22,9,4.3
1936,,,,,,,,,,Apr 09,84,37.6,May 09,24,13.6,,,
1937,,,,,,,,,,Apr 02,94,45.8,May 02,59,31.2,May 20,15,9.1
1938,,,,,,,,,,Apr 01,91,43.7,May 14,54,28.5,,,
1939,,,,,,,,,,Mar 30,34,13.2,,,,,,
1940,,,,Jan 29,50,15.7,Mar 02,83,31.1,Apr 05,69,33.1,,,,,,
1941,Jan 05,43,14.4,Feb 03,60,20.7,Mar 07,104,38.8,Mar 26,84,38.8,May 03,77,39.9,,,
1942,,,,Feb 03,72,24.2,Mar 01,80,29.0,Mar 21,85,32.4,May 02,58,29.6,,,
1943,Dec 31,8,1.5,Feb 02,51,19.9,Mar 01,60,25.5,Mar 26,66,33.0,,,,,,
1944,,,,Feb 01,42,6.9,Mar 03,91,21.6,Mar 31,55,25.6,May 06,30,14.5,,,
1945,,,,Feb 02,57,20.0,Feb 28,58,20.4,Mar 31,85,31.9,Apr 30,44,19.3,,,
1946,,,,Jan 29,41,15.9,Mar 04,47,16.4,Mar 30,84,22.4,May 01,13,6.5,,,
1947,,,,Feb 06,38,15.7,Mar 01,43,17.8,Apr 02,31,14.2,,,,,,
1948,,,,Feb 01,0,0.0,Mar 03,19,5.7,Apr 05,52,16.8,Apr 28,35,20.6,,,
1949,,,,Feb 01,47,12.9,Mar 03,60,19.0,Mar 31,71,27.2,May 04,9,4.0,,,
1950,,,,Feb 01,53,16.4,Feb 28,61,25.1,Apr 01,55,24.5,Apr 25,31,15.5,,,
1951,,,,Feb 02,20,6.9,Feb 26,25,7.6,Apr 02,9,4.2,Apr 30,19,3.4,,,
1952,,,,Feb 04,113,45.9,Mar 03,120,48.9,Mar 25,153,65.8,,,,,,
1953,,,,Feb 01,53,20.2,Feb 28,48,20.0,Mar 31,43,20.3,May 06,0,0.0,,,
1954,,,,Feb 03,40,11.7,Feb 26,62,22.4,Apr 05,72,28.5,May 01,34,15.8,,,
1955,,,,Feb 05,53,16.3,Mar 08,53,17.3,Apr 09,29,12.9,May 08,18,7.6,,,
1956,,,,Jan 29,64,22.2,Mar 03,63,24.0,Apr 10,33,14.9,May 02,25,11.2,,,
1957,,,,Feb 05,33,11.0,Mar 01,47,17.2,Mar 28,37,16.6,Apr 30,14,8.5,,,
1958,,,,Jan 31,53,16.0,Feb 27,78,23.6,Apr 09,147,53.0,Apr 30,90,43.5,,,
1959,,,,Jan 30,11,3.5,Mar 03,38,14.8,Apr 02,15,9.8,May 04,0,0.0,,,
