#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER BWR: Brewer Creek, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brewer Creek (BWR) 
# California  SNOW COURSE/AERIAL MARKER Site - 6250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1945,,,,,,,,,,Mar 27,,29.7,,,,,,
1946,,,,,,,,,,Mar 26,,40.6,,,,,,
1947,,,,,,,,,,Apr 04,,24.7,,,,,,
1948,,,,,,,,,,Apr 07,,19.5,,,,,,
1949,,,,,,,,,,Apr 01,,34.8,,,,,,
1950,,,,,,,,,,Apr 01,,25.2,,,,,,
1951,,,,,,,,,,Mar 31,,27.4,,,,,,
1952,,,,,,,,,,Mar 29,,51.1,,,,,,
1953,,,,,,,,,,Mar 28,,39.2,,,,,,
1954,,,,,,,,,,Mar 27,,42.3,,,,,,
1955,,,,,,,,,,Mar 25,,24.0,,,,,,
1956,,,,,,,,,,Mar 30,,60.3,,,,,,
1957,,,,,,,,,,Mar 26,,27.1,,,,,,
1958,,,,,,,,,,Mar 26,,54.6,,,,,,
1959,,,,,,,,,,Apr 02,,31.6,,,,,,
1960,,,,,,,,,,Mar 30,,24.0,,,,,,
1961,,,,,,,,,,Apr 03,,47.5,,,,,,
1962,,,,,,,,,,Mar 29,,53.0,,,,,,
1963,,,,,,,,,,Apr 03,,11.3,,,,,,
1964,,,,,,,,,,Mar 26,,24.2,,,,,,
1965,,,,,,,,,,Mar 31,,28.8,,,,,,
1966,,,,,,,,,,Mar 31,,43.8,,,,,,
1967,,,,,,,,,,Apr 04,,47.4,,,,,,
1968,,,,,,,,,,Apr 03,,26.4,,,,,,
1969,,,,,,,,,,Apr 02,,57.9,,,,,,
1970,,,,,,,,,,Apr 06,,22.5,,,,,,
1971,,,,,,,,,,Apr 01,,41.4,,,,,,
1972,,,,,,,,,,Mar 30,,29.7,,,,,,
1973,,,,,,,,,,Apr 05,,46.4,,,,,,
1974,,,,,,,,,,Apr 03,,49.5,,,,,,
