#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER CW2: Cottonwood Lakes 2, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cottonwood Lakes 2 (CW2) 
# California  SNOW COURSE/AERIAL MARKER Site - 11100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:35 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1926,,,,,,,,,,Mar 25,,8.2,,,,,,
1927,,,,,,,,,,,,,Apr 27,,16.2,,,
1928,,,,,,,Feb 16,,4.6,,,,Apr 19,,4.8,,,
1929,Jan 15,,4.2,,,,,,,Apr 02,,8.5,,,,,,
1930,,,,Feb 11,,1.2,Mar 13,,6.2,,,,Apr 22,,5.8,,,
1931,,,,Jan 27,,1.8,Feb 24,,5.1,Mar 24,,5.1,,,,,,
1932,Jan 07,,12.6,Feb 07,,15.2,Mar 08,,21.0,Apr 12,,18.6,,,,,,
1933,Jan 10,,1.0,Feb 08,,10.8,Mar 07,,11.0,Apr 11,,11.2,,,,,,
1934,Jan 09,,9.6,Feb 13,,11.0,Mar 06,,11.3,Apr 10,,9.6,,,,,,
1935,Jan 08,,0.6,Feb 12,,9.8,Mar 12,,11.7,Apr 12,,12.8,,,,,,
1936,Jan 07,,4.8,Feb 14,,12.2,Mar 10,,13.4,Apr 07,,16.5,,,,,,
1937,,,,Feb 09,,11.2,,,,,,,,,,,,
1938,,,,Feb 12,,15.7,,,,Apr 06,,29.8,,,,,,
1939,,,,Feb 14,,9.0,,,,Apr 06,,13.5,,,,,,
1940,,,,Feb 13,,9.2,,,,Mar 26,,11.8,,,,,,
1941,,,,Feb 14,,20.2,,,,Apr 01,,27.8,,,,,,
1942,,,,Feb 10,,11.6,,,,Mar 24,,14.8,,,,,,
1943,,,,Feb 09,,13.8,,,,Mar 30,,17.8,,,,,,
1944,,,,Feb 09,,11.5,,,,Mar 29,,20.4,,,,,,
1945,,,,Feb 07,,14.0,,,,Apr 03,,20.8,,,,,,
1946,,,,Feb 07,,10.3,,,,Apr 04,,15.4,,,,,,
1947,,,,Feb 12,,10.6,,,,Apr 01,,11.6,,,,,,
