#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER DMN: Diamond Crossing, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Diamond Crossing (DMN) 
# California  SNOW COURSE/AERIAL MARKER Site - 6050 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:47 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1967,,,,Feb 01,,24.6,Feb 27,,23.4,Apr 03,,35.4,May 02,,41.0,,,
1968,,,,Feb 04,,17.3,Mar 02,,12.6,Mar 29,,17.6,Apr 29,,0.0,,,
1969,,,,Feb 03,,32.3,Mar 02,,48.7,Mar 27,,51.1,Apr 28,,37.3,,,
1970,,,,,,,,,,,,,,,,,,
1971,,,,Jan 28,,29.1,Feb 26,,26.3,Apr 01,,35.0,May 01,,25.9,,,
1972,,,,Jan 31,,21.5,Mar 06,,26.0,Mar 30,,15.3,May 08,,0.0,,,
1973,,,,Jan 30,,21.1,Mar 05,,34.7,Apr 05,,35.1,Apr 26,,23.0,,,
1974,,,,Jan 23,,16.6,Feb 20,,20.6,Mar 20,,25.6,May 01,,16.9,,,
1975,,,,Jan 20,,7.2,Feb 24,,25.6,Mar 30,,35.2,Apr 21,,41.2,,,
1976,,,,Feb 09,,4.4,Feb 23,,8.1,Mar 23,,9.1,Apr 23,,2.9,,,
1977,,,,Jan 20,,4.1,Mar 01,,5.7,Mar 28,,7.3,Apr 29,,0.0,,,
1978,Jan 10,,14.0,Jan 26,,21.4,Feb 21,,29.0,Mar 27,,27.6,May 02,,21.2,,,
1979,Jan 04,,8.2,Jan 29,,12.3,Mar 04,,26.2,Apr 01,,25.2,Apr 26,,19.6,,,
1980,Jan 04,,8.4,Jan 25,,10.7,Feb 25,,20.3,Mar 26,,26.4,Apr 30,,5.5,,,
1981,Jan 06,,0.0,Feb 02,,10.2,Mar 06,,10.6,Mar 24,,11.1,May 01,,0.0,,,
1982,,,,Jan 25,,16.4,Feb 23,,14.8,Apr 07,,30.9,Apr 27,,20.9,,,
