#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER FLC: Florence Lake, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Florence Lake (FLC) 
# California  SNOW COURSE/AERIAL MARKER Site - 7200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:11:46 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,,,,Feb 25,,4.8,Mar 27,,3.8,Apr 26,,0.0,,,
1931,,,,Jan 24,,2.5,Feb 24,,4.7,Mar 25,,0.8,Apr 24,,1.7,,,
1932,,,,Jan 25,,13.9,Feb 24,,20.0,Mar 24,,14.9,,,,,,
1933,,,,Jan 24,,7.8,Feb 24,,11.4,Mar 24,,11.2,,,,,,
1934,,,,Jan 24,,4.7,Feb 24,,5.6,Mar 24,,0.0,,,,,,
1935,Dec 31,,2.4,Jan 24,,8.2,Feb 28,,10.0,Apr 02,,7.6,,,,,,
1936,Jan 15,,4.1,Jan 30,,4.4,Feb 28,,16.4,Mar 31,,11.8,,,,,,
1937,Jan 04,,4.4,Jan 27,,6.2,Mar 01,,12.3,Apr 01,,11.8,,,,,,
1938,,,,Feb 07,,7.8,Feb 22,,15.3,Mar 30,,21.8,Apr 27,,9.1,,,
1939,,,,Feb 13,,6.1,Mar 06,,5.1,Apr 02,,0.0,May 01,,0.0,,,
1940,,,,Feb 05,,6.0,Mar 06,,11.0,Apr 03,,8.3,May 02,,0.0,,,
1941,,,,Feb 03,,10.9,Mar 05,,17.0,Mar 30,,15.0,May 02,,2.4,,,
1942,,,,Feb 02,,7.6,Mar 02,,8.8,Mar 29,,9.8,,,,,,
1943,,,,Feb 04,,4.8,Mar 07,,5.6,Apr 01,,0.0,,,,,,
1944,,,,Feb 10,,5.8,Mar 03,,11.1,Mar 30,,9.6,,,,,,
1945,,,,Feb 04,,6.2,Mar 06,,6.2,Apr 01,,7.7,,,,,,
1946,,,,Feb 01,,6.0,Mar 01,,7.9,,,,,,,,,
1947,,,,Jan 31,,3.8,Feb 27,,2.6,Mar 27,,0.0,,,,,,
