#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER HKM: Hockett Meadows, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Hockett Meadows (HKM) 
# California  SNOW COURSE/AERIAL MARKER Site - 8500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:11:48 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,,,,Feb 24,,12.2,Mar 26,,28.0,,,,,,
1931,,,,Jan 30,,13.0,Feb 27,,15.8,Mar 27,,14.5,May 02,,4.1,,,
1932,,,,,,,Feb 25,,42.1,Mar 29,,43.2,,,,,,
1933,,,,,,,Mar 01,,26.4,Mar 29,,30.2,,,,,,
1934,,,,,,,Feb 26,,19.0,Mar 23,,19.2,,,,,,
1935,,,,,,,,,,,,,Apr 24,,29.8,,,
1936,,,,,,,,,,Apr 10,,47.6,,,,,,
1937,,,,,,,,,,Apr 02,,48.0,,,,,,
1938,,,,,,,,,,Mar 31,,42.2,,,,,,
1939,,,,,,,,,,Mar 29,,19.7,,,,,,
1940,,,,,,,,,,Mar 29,,42.2,,,,,,
1941,,,,,,,,,,Mar 27,,46.8,,,,,,
1942,,,,,,,,,,Mar 28,,37.5,,,,,,
1943,,,,,,,,,,Mar 31,,41.4,,,,,,
1944,,,,,,,,,,Mar 28,,28.3,,,,,,
1945,,,,,,,,,,Mar 31,,41.1,,,,,,
1946,,,,,,,,,,Mar 26,,25.2,,,,,,
1947,,,,,,,,,,Mar 25,,16.5,,,,,,
1948,,,,,,,,,,Mar 28,,19.0,,,,,,
1949,,,,,,,,,,Mar 29,,24.4,,,,,,
1950,,,,,,,,,,Mar 30,,29.2,,,,,,
1951,,,,,,,,,,Mar 27,,10.6,,,,,,
1952,,,,,,,,,,Apr 06,,55.4,,,,,,
1953,,,,,,,,,,Mar 26,,24.6,,,,,,
1954,,,,,,,,,,Mar 30,,32.4,,,,,,
1955,,,,,,,Feb 26,,22.1,Mar 25,,21.2,,,,,,
1956,,,,,,,Feb 27,,33.2,Mar 26,,25.6,,,,,,
1957,,,,,,,Feb 26,,17.5,Mar 26,,22.4,,,,,,
