#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER HRF: Harkness Flat, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Harkness Flat (HRF) 
# California  SNOW COURSE/AERIAL MARKER Site - 6200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:11:48 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,,,,,,,Mar 23,,20.8,,,,,,
1931,,,,Jan 31,,10.3,,,,Apr 06,,11.3,,,,,,
1932,,,,,,,,,,Mar 29,,26.6,,,,,,
1933,,,,,,,,,,Mar 30,,26.6,,,,,,
1934,,,,,,,,,,Mar 30,,10.7,,,,,,
1935,,,,,,,,,,Mar 30,,32.0,,,,,,
1936,,,,,,,,,,Mar 26,,24.6,,,,,,
1937,,,,,,,,,,Mar 31,,33.2,,,,,,
1938,,,,,,,Feb 23,,32.7,Apr 05,,55.8,Apr 30,,46.4,,,
1939,,,,,,,Feb 28,,16.4,Mar 29,,18.4,,,,,,
1940,,,,,,,Mar 02,,25.8,Mar 25,,21.4,,,,,,
1941,,,,,,,,,,Mar 24,,29.3,,,,,,
1942,,,,,,,,,,Mar 25,,28.2,,,,,,
1943,,,,,,,,,,Mar 30,,32.8,,,,,,
1944,,,,,,,,,,Mar 22,,25.3,,,,,,
1945,,,,,,,,,,Mar 29,,26.9,,,,,,
1946,,,,,,,,,,Apr 09,,37.5,,,,,,
1947,,,,,,,,,,Apr 02,,13.6,,,,,,
1948,,,,,,,,,,Mar 31,,21.1,,,,,,
1949,,,,,,,Feb 27,,19.7,Mar 28,,29.9,,,,,,
1950,,,,,,,,,,Mar 27,,31.1,,,,,,
1951,,,,,,,Feb 26,,26.8,Apr 02,,29.8,,,,,,
1952,,,,,,,,,,Mar 26,,59.1,,,,,,
1953,,,,,,,,,,Mar 30,,34.1,,,,,,
1954,,,,,,,Feb 26,,28.9,Mar 31,,30.3,,,,,,
1955,,,,Feb 02,,15.8,Mar 04,,18.1,Mar 30,,17.0,,,,,,
