#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER HRS: Horse Meadow CDWR, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Horse Meadow Cdwr (HRS) 
# California  SNOW COURSE/AERIAL MARKER Site - 8400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:37 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1948,,,,Jan 30,,7.9,Mar 03,,17.9,Apr 08,,35.4,May 03,,43.7,,,
1949,,,,Jan 31,,25.1,Mar 01,,35.6,Mar 29,,46.0,,,,,,
1950,,,,,,,Mar 01,,38.5,Mar 31,,45.1,,,,,,
1951,,,,,,,Mar 04,,32.3,Mar 31,,36.1,,,,,,
1952,,,,,,,Feb 29,,67.6,Mar 29,,80.5,,,,,,
1953,,,,,,,Feb 28,,34.6,Mar 28,,38.3,,,,,,
1954,,,,,,,Mar 01,,32.3,Mar 30,,45.0,,,,,,
1955,,,,Jan 31,,28.8,Mar 02,,36.2,Mar 29,,35.5,,,,,,
1956,,,,Feb 01,,52.9,Mar 02,,67.5,Mar 31,,56.8,,,,,,
1957,,,,Feb 03,,19.9,Mar 02,,29.4,Mar 30,,40.5,,,,,,
1958,,,,Feb 01,,24.2,Mar 01,,40.8,Mar 29,,56.6,,,,,,
1959,,,,Jan 31,,17.5,Feb 28,,35.8,Mar 29,,34.1,,,,,,
1960,,,,Jan 29,,11.0,Mar 01,,23.8,Mar 31,,29.9,,,,,,
1961,,,,Feb 02,,15.6,Mar 04,,20.2,Mar 31,,28.8,,,,,,
1962,,,,Jan 29,,14.6,Mar 04,,44.6,Mar 30,,54.9,,,,,,
1963,,,,,,,Feb 28,,16.9,Mar 26,,22.8,,,,,,
1964,,,,Jan 29,,22.7,Feb 26,,22.3,Apr 04,,31.3,,,,,,
1965,,,,Jan 27,,46.4,Feb 28,,56.0,Mar 30,,55.9,,,,,,
1966,,,,Jan 28,,31.3,Mar 04,,42.4,Mar 29,,39.3,,,,,,
1967,,,,Feb 03,,40.7,Feb 28,,44.6,Apr 09,,65.5,,,,,,
