#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER HRT: Heart Lake, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Heart Lake (HRT) 
# California  SNOW COURSE/AERIAL MARKER Site - 10100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:50 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1940,,,,,,,,,,Apr 06,,37.4,,,,,,
1941,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,Apr 05,,22.7,,,,,,
1945,,,,,,,,,,Apr 05,,32.9,,,,,,
1946,,,,,,,,,,Apr 10,,30.7,,,,,,
1947,,,,,,,,,,Apr 02,,20.0,,,,,,
1948,,,,,,,,,,Apr 09,,18.8,Apr 30,,21.8,,,
1949,,,,,,,,,,Mar 30,,22.6,,,,,,
1950,,,,,,,,,,Apr 04,,25.1,,,,,,
1951,Jan 08,,18.5,,,,,,,Apr 03,,25.5,May 04,,27.6,,,
1952,,,,Feb 03,,30.9,,,,Apr 03,,41.9,,,,,,
1953,,,,Jan 22,,18.6,,,,Mar 26,,17.7,,,,,,
1954,,,,Jan 31,,9.3,,,,Mar 31,,27.7,,,,,,
1955,,,,Jan 25,,17.0,,,,Mar 30,,20.9,,,,,,
1956,,,,Feb 03,,43.0,,,,Mar 31,,40.6,,,,,,
1957,,,,Jan 29,,7.0,Mar 04,,13.9,Mar 26,,18.9,,,,,,
1958,,,,Jan 30,,15.0,Feb 28,,25.0,Apr 05,,45.9,,,,,,
1959,,,,Jan 27,,7.2,Feb 25,,18.4,Mar 28,,17.4,,,,,,
1960,,,,Feb 06,,9.4,Mar 02,,13.5,Mar 29,,15.5,,,,,,
1961,,,,Feb 06,,9.4,Mar 02,,10.6,Mar 29,,13.5,,,,,,
1962,,,,,,,Mar 04,,32.0,Mar 27,,39.4,,,,,,
1963,,,,,,,Feb 26,,16.8,Apr 02,,27.2,,,,,,
1964,,,,Jan 28,,10.6,Feb 27,,11.0,Apr 02,,13.7,,,,,,
