#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER LLP: Lower Lassen Peak, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lower Lassen Peak (LLP) 
# California  SNOW COURSE/AERIAL MARKER Site - 8250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:11:54 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,Feb 07,,36.7,,,,Mar 30,,62.6,Apr 30,,37.5,,,
1931,,,,Jan 28,,25.0,Mar 01,,33.4,Apr 01,,40.7,Apr 29,,40.4,,,
1932,Jan 07,,41.7,Feb 10,,64.0,Feb 25,,57.5,Mar 30,,51.2,Apr 30,,64.3,,,
1933,,,,Feb 03,,30.6,Feb 27,,40.5,Apr 01,,55.2,May 13,,57.9,,,
1934,,,,Jan 30,,38.3,Mar 03,,43.7,Apr 04,,56.7,,,,,,
1935,,,,Feb 05,,51.6,Mar 11,,74.2,Apr 13,,86.2,,,,,,
1936,,,,Jan 29,,51.9,Feb 28,,82.4,Mar 31,,90.1,May 02,,85.2,,,
1937,,,,,,,Feb 27,,45.1,Mar 30,,64.5,Apr 29,,72.2,,,
1938,,,,,,,Feb 26,,115.9,Mar 31,,143.4,,,,,,
1939,,,,Feb 07,,34.7,Mar 06,,38.1,Apr 04,,45.5,May 07,,32.7,,,
1940,,,,Feb 03,,47.4,Mar 05,,88.1,Apr 02,,108.3,May 07,,106.1,,,
1941,,,,Jan 30,,78.0,Mar 05,,114.4,Apr 08,,134.0,May 08,,139.6,,,
1942,,,,Feb 11,,79.3,Mar 05,,79.3,Apr 09,,91.3,May 05,,101.0,,,
1943,,,,,,,,,,Apr 01,,90.1,,,,,,
1944,,,,,,,,,,Apr 01,,50.3,,,,,,
1945,,,,,,,,,,Apr 06,,72.0,,,,,,
1946,,,,Jan 30,,64.2,Feb 27,,79.2,Apr 02,,89.0,,,,,,
1947,,,,Feb 04,,35.5,Feb 28,,43.2,Apr 07,,68.3,May 01,,61.4,,,
1948,,,,Feb 03,,32.5,Mar 03,,36.0,Apr 01,,62.4,May 04,,98.5,,,
