#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER LTT: Letterbox, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Letterbox (LTT) 
# California  SNOW COURSE/AERIAL MARKER Site - 5600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:50 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1940,,,,Jan 31,,11.8,Mar 07,,25.2,Apr 02,,20.6,May 01,,0.0,,,
1941,Jan 03,,12.8,,,,,,,Apr 09,,70.0,,,,,,
1942,,,,,,,,,,Mar 31,,48.5,May 06,,49.2,,,
1943,,,,Feb 02,,40.9,Mar 03,,46.0,Mar 31,,46.0,,,,,,
1944,Jan 09,,12.9,,,,Mar 05,,53.9,Apr 06,,46.7,May 05,,40.7,,,
1945,,,,Feb 10,,29.3,Mar 05,,34.8,Apr 01,,45.1,May 02,,30.0,,,
1946,,,,Jan 31,,40.2,Feb 28,,54.4,Apr 02,,60.4,Apr 30,,43.5,,,
1947,,,,Jan 31,,8.8,Feb 27,,11.4,Apr 03,,19.7,May 03,,0.0,,,
1948,,,,Jan 28,,5.2,Feb 27,,8.6,Apr 01,,31.9,Apr 30,,50.7,,,
1949,,,,Feb 02,,22.6,Mar 01,,37.7,Apr 01,,59.2,May 03,,37.8,,,
1950,,,,Jan 31,,40.6,Feb 26,,51.0,Mar 31,,60.9,May 04,,54.6,,,
1951,,,,Jan 31,,27.9,Feb 28,,30.0,Mar 28,,43.9,May 02,,26.4,,,
1952,Jan 01,,33.0,Feb 01,,70.6,Mar 03,,87.0,Mar 28,,106.5,May 01,,80.5,,,
1953,,,,Jan 28,,48.1,Mar 02,,47.1,Apr 01,,60.4,May 03,,58.8,,,
1954,,,,Jan 31,,22.4,Feb 28,,41.0,Apr 01,,52.4,Apr 30,,36.2,,,
1955,,,,Feb 02,,28.6,Mar 01,,36.2,Apr 01,,31.3,May 02,,43.6,,,
1956,,,,Feb 01,,43.2,Feb 29,,69.8,Apr 03,,72.5,Apr 30,,64.8,,,
