#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER PMD: Poison Meadow, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Poison Meadow (PMD) 
# California  SNOW COURSE/AERIAL MARKER Site - 6800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:19 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1944,,,,Jan 28,,13.0,Mar 02,,33.4,Mar 31,,32.3,May 01,,31.8,,,
1945,,,,Jan 30,,9.6,Mar 02,,16.2,Apr 03,,31.6,May 01,,12.7,,,
1946,,,,Jan 29,,15.9,Feb 27,,18.5,Apr 03,,21.7,May 01,,0.0,,,
1947,,,,Feb 03,,9.5,Mar 03,,12.1,Mar 27,,3.4,May 01,,0.0,,,
1948,,,,Jan 29,,1.7,Mar 01,,7.9,Mar 30,,20.7,May 03,,25.8,,,
1949,,,,Jan 31,,20.5,Feb 28,,30.2,Apr 03,,44.2,May 01,,17.1,,,
1950,,,,Jan 29,,18.6,Mar 01,,24.2,Apr 02,,20.1,May 01,,3.0,,,
1951,,,,Jan 28,,7.2,Mar 02,,11.6,Apr 03,,8.1,May 07,,2.7,,,
1952,,,,Jan 29,,46.6,Mar 05,,50.4,Mar 27,,68.1,May 02,,52.3,,,
1953,,,,Jan 27,,24.0,Feb 26,,23.2,Mar 29,,23.3,May 04,,3.9,,,
1954,,,,Feb 02,,12.7,Feb 28,,21.8,Apr 04,,30.2,May 03,,10.9,,,
1955,,,,Jan 24,,16.2,Mar 01,,19.4,Apr 03,,12.9,May 03,,12.3,,,
1956,,,,Jan 24,,16.1,Mar 02,,24.0,Apr 03,,16.0,Apr 30,,10.6,,,
1957,,,,Jan 30,,10.8,Mar 04,,13.4,Apr 02,,11.7,May 03,,1.0,,,
1958,,,,Feb 01,,12.2,Mar 01,,22.8,Mar 31,,42.0,May 01,,44.7,,,
1959,,,,Jan 25,,5.0,Feb 27,,20.3,Mar 30,,13.0,May 01,,0.7,,,
1960,,,,Jan 31,,7.7,Feb 26,,17.1,Mar 29,,11.7,May 02,,5.6,,,
