#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER RC3: Rock Creek 3, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rock Creek 3 (RC3) 
# California  SNOW COURSE/AERIAL MARKER Site - 10000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:39 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1926,,,,,,,,,,Apr 01,,7.8,,,,,,
1927,,,,,,,,,,,,,,,,,,
1928,,,,,,,Feb 27,,5.1,Apr 15,,6.3,,,,,,
1929,,,,Feb 13,,5.6,,,,Apr 14,,9.6,,,,,,
1930,,,,,,,Feb 18,,2.7,Mar 18,,8.0,Apr 21,,0.4,,,
1931,,,,Jan 26,,2.6,Feb 24,,3.7,Mar 23,,3.0,May 05,,0.0,,,
1932,,,,,,,,,,Mar 23,,20.4,,,,,,
1933,Jan 09,,1.2,Feb 07,,8.8,Mar 07,,9.3,Apr 10,,8.8,,,,,,
1934,Jan 09,,7.4,Feb 05,,8.2,Mar 05,,10.4,Apr 04,,5.2,,,,,,
1935,Jan 08,,4.6,Feb 12,,9.4,Mar 12,,11.0,Apr 10,,13.2,,,,,,
1936,Jan 08,,3.0,,,,Feb 20,,13.2,Apr 08,,19.1,,,,,,
1937,,,,Feb 09,,17.4,,,,Apr 06,,24.6,,,,,,
1938,,,,,,,Feb 17,,16.9,Apr 09,,28.3,,,,,,
1939,,,,Feb 15,,7.4,,,,Apr 12,,5.0,,,,,,
1940,,,,,,,Feb 17,,11.8,Apr 05,,18.2,,,,,,
1941,,,,Feb 15,,19.9,,,,Apr 15,,29.6,,,,,,
1942,,,,Feb 11,,15.6,,,,Apr 02,,15.7,,,,,,
1943,,,,Feb 12,,19.0,,,,Apr 08,,21.6,,,,,,
1944,,,,Feb 10,,9.6,,,,Apr 05,,13.9,,,,,,
1945,,,,Feb 09,,14.6,,,,Apr 05,,23.0,,,,,,
1946,,,,Feb 12,,13.0,,,,Apr 08,,15.2,,,,,,
1947,,,,Feb 05,,11.8,,,,Apr 04,,13.6,,,,,,
1948,,,,Feb 04,,2.2,,,,Apr 12,,7.0,,,,,,
1949,,,,Jan 26,,7.2,,,,Apr 04,,16.0,,,,,,
1950,,,,Jan 31,,10.6,,,,Mar 30,,15.8,,,,,,
1951,,,,Feb 08,,10.1,,,,Apr 02,,9.8,,,,,,
1952,,,,Feb 07,,24.6,,,,Apr 04,,29.8,,,,,,
1953,,,,Feb 02,,10.9,,,,Mar 30,,10.8,,,,,,
1954,,,,Feb 03,,8.0,,,,Apr 01,,17.7,,,,,,
1955,,,,Feb 03,,10.7,,,,Mar 31,,13.8,,,,,,
1956,,,,Feb 01,,29.0,,,,Mar 29,,28.4,,,,,,
1957,,,,Feb 01,,4.4,,,,Apr 05,,10.5,,,,,,
1958,,,,Feb 06,,10.1,,,,Apr 10,,27.8,,,,,,
1959,,,,Feb 05,,4.0,,,,Mar 30,,8.6,,,,,,
1960,,,,Feb 05,,5.4,,,,Apr 01,,6.6,,,,,,
1961,,,,Feb 06,,6.6,,,,Mar 31,,8.7,,,,,,
1962,,,,Feb 01,,7.4,,,,Apr 02,,22.0,,,,,,
1963,,,,Feb 11,,14.6,,,,Mar 29,,16.0,,,,,,
1964,,,,Jan 30,,4.9,,,,Mar 30,,5.7,,,,,,
1965,,,,Feb 03,,13.8,,,,Mar 31,,13.9,,,,,,
1966,,,,Feb 03,,11.6,,,,Mar 31,,8.4,,,,,,
1967,,,,Feb 07,,21.3,,,,Mar 29,,23.5,Apr 29,,25.9,,,
1968,,,,Jan 31,,5.6,,,,Mar 29,,6.2,,,,,,
1969,,,,Jan 31,,26.8,,,,Mar 28,,39.3,Apr 30,,0.0,,,
1970,,,,Jan 30,,9.4,,,,Apr 01,,12.0,,,,,,
1971,,,,Jan 28,,11.6,Feb 26,,10.8,Mar 31,,11.7,,,,,,
1972,,,,Jan 31,,11.8,Feb 29,,11.0,Mar 31,,5.8,,,,,,
1973,,,,Jan 31,,11.2,Feb 28,,18.4,Mar 30,,21.1,May 01,,16.4,,,
1974,,,,Jan 30,,14.6,Feb 26,,16.0,Mar 29,,21.0,Apr 30,,17.1,,,
1975,,,,Jan 31,,3.6,Feb 28,,7.6,Mar 28,,12.3,Apr 30,,14.5,,,
1976,,,,Jan 29,,0.3,Feb 26,,2.5,Mar 30,,2.2,Apr 29,,1.0,,,
1977,,,,Jan 26,,2.0,Feb 25,,3.2,Mar 29,,2.2,Apr 28,,0.0,,,
1978,Jan 09,,16.0,Jan 31,,19.0,Feb 28,,25.4,Mar 30,,27.6,Apr 26,,30.5,,,
1979,,,,Jan 30,,7.1,Feb 27,,12.4,Mar 29,,15.2,Apr 30,,8.6,,,
1980,,,,Jan 29,,13.2,Feb 26,,21.4,Mar 25,,23.4,Apr 29,,18.2,,,
1981,,,,Feb 02,,6.2,Feb 23,,6.8,Mar 30,,12.5,Apr 27,,6.1,,,
1982,,,,Jan 26,,14.5,Feb 23,,14.9,Mar 26,,19.2,Apr 26,,21.1,,,
1983,,,,Feb 01,,17.6,Feb 23,,23.0,Mar 29,,30.4,Apr 26,,29.9,May 24,,19.5
1984,,,,Jan 24,,13.4,Feb 29,,15.6,Mar 26,,13.6,Apr 24,,7.8,,,
1985,,,,Jan 31,,8.8,Feb 27,,10.0,Mar 28,,11.8,,,,,,
1986,,,,Jan 30,,8.8,Feb 27,,31.0,,,,,,,,,
1987,,,,Jan 26,,2.1,Feb 27,,5.9,Mar 27,,7.7,,,,,,
1988,,,,Jan 29,,8.2,Feb 26,,7.8,Mar 29,,5.0,,,,,,
1989,,,,Jan 23,,7.7,Feb 27,,8.0,Mar 28,,9.4,,,,,,
1990,,,,Jan 29,,4.6,Feb 26,,6.6,Mar 27,,5.4,,,,,,
1991,,,,Jan 29,,1.4,Feb 26,,0.3,Mar 28,,12.6,,,,,,
1992,,,,Jan 27,,3.0,Feb 27,,5.8,Mar 26,,8.1,,,,,,
1993,,,,Jan 26,,19.3,Mar 05,,25.7,Mar 30,,26.2,,,,,,
1994,,,,Jan 24,,4.4,Feb 28,,6.7,Mar 28,,8.3,,,,,,
1995,,,,Jan 23,,14.2,Feb 27,,14.1,Mar 30,,23.9,,,,,,
1996,,,,Jan 26,,6.3,Feb 23,,16.0,Mar 29,,18.6,,,,,,
1997,,,,Jan 31,,17.2,Feb 26,,18.8,Apr 01,,15.0,,,,,,
1998,,,,Jan 27,,7.7,Feb 20,,17.4,Apr 02,,20.2,,,,,,
1999,,,,Jan 29,,6.2,Feb 23,,10.8,Mar 25,,9.4,,,,,,
2000,,,,Jan 26,,5.3,Feb 24,,12.2,Mar 31,,13.0,,,,,,
2001,,,,Feb 01,,3.5,Feb 23,,5.7,Mar 29,,7.2,,,,,,
2002,,,,Jan 28,,8.0,Feb 26,,8.3,Mar 27,,8.9,,,,,,
2003,,,,Jan 29,,9.2,Feb 26,,10.0,Mar 25,,10.2,,,,,,
2004,,,,Jan 28,,9.6,Feb 24,,11.8,Mar 26,,10.8,,,,,,
2005,,,,Jan 27,,13.0,Feb 24,,16.1,Mar 31,,17.4,,,,,,
2006,,,,Jan 25,,15.0,Feb 22,,15.1,Mar 23,,19.5,,,,,,
2007,,,,Jan 26,,3.1,Feb 23,,5.4,Mar 23,,2.7,,,,,,
2008,,,,Jan 25,,9.5,Feb 25,,16.9,Mar 24,,13.3,,,,,,
2009,,,,Jan 28,,5.4,Feb 25,,7.4,Mar 31,,7.3,,,,,,
2010,,,,Jan 27,,9.9,Feb 22,,10.8,Mar 29,,12.0,,,,,,
2011,,,,Jan 27,,17.1,Feb 22,,17.8,Mar 28,,21.9,,,,,,
2012,,,,Jan 26,,4.8,Feb 28,,4.5,Mar 26,,4.3,,,,,,
2013,,,,Jan 28,,7.8,Feb 25,,8.6,Mar 25,,4.7,,,,,,
2014,,,,Jan 28,,1.5,Feb 24,,3.5,Mar 25,,3.0,,,,,,
2015,,,,Jan 27,,1.0,Feb 19,,1.5,Mar 30,,0.0,,,,,,
2016,,,,Jan 25,,7.0,Feb 25,,10.0,Mar 31,,7.5,,,,,,
2017,,,,Jan 31,,25.5,Feb 27,,35.0,Mar 30,,31.5,May 02,,30.0,,,
2018,,,,Jan 29,,1.5,Feb 26,,1.5,Mar 26,,8.0,,,,,,
