#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER RCW: Robinson Cow Camp Snow Course, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Robinson Cow Camp Snow Course (RCW) 
# California  SNOW COURSE/AERIAL MARKER Site - 6480 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:36 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1972,,,,,,,,,,Mar 27,,36.4,,,,,,
1973,,,,,,,,,,Mar 29,,49.7,,,,,,
1974,,,,,,,,,,Mar 21,,51.2,,,,,,
1975,,,,,,,,,,Apr 09,,71.4,,,,,,
1976,,,,,,,,,,Mar 27,,22.5,,,,,,
1977,Jan 11,,5.9,Jan 26,,6.3,Feb 25,,10.1,Apr 05,,12.0,,,,,,
1978,,,,Jan 27,,42.6,Feb 23,,55.7,Mar 25,,59.8,Apr 27,,64.6,,,
1979,Jan 03,,10.0,Jan 26,,17.8,Mar 02,,39.2,Mar 31,,42.3,Apr 25,,39.0,,,
1980,Jan 03,,18.4,Jan 23,,23.7,Feb 29,,44.4,Mar 28,,52.7,May 01,,40.2,,,
1981,Jan 02,,7.8,Feb 01,,20.3,Mar 06,,24.4,Mar 31,,33.8,Apr 30,,16.2,,,
1982,Jan 11,,22.1,Feb 02,,29.5,Feb 22,,25.3,Apr 09,,62.2,Apr 30,,57.8,,,
1983,Jan 05,,30.6,Feb 02,,45.2,Feb 24,,64.0,Apr 01,,88.6,Apr 26,,87.0,May 26,,78.4
1984,Jan 05,,29.4,Feb 01,,27.6,Feb 28,,39.1,Mar 30,,38.6,Apr 25,,36.2,,,
1985,Jan 03,,20.0,Jan 31,,22.2,Feb 27,,28.4,Apr 01,,39.4,Apr 30,,20.8,,,
1986,Dec 31,,17.4,Feb 07,,24.9,Feb 27,,41.8,Mar 28,,41.2,Apr 28,,27.0,,,
1987,Jan 07,,9.0,Feb 03,,13.8,Feb 27,,18.0,Mar 30,,24.5,Apr 29,,0.0,,,
1988,Jan 11,,17.8,Jan 25,,21.6,Mar 02,,22.7,Apr 01,,12.3,Apr 25,,4.5,,,
