#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER RDM: Red Mountain, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Red Mountain (RDM) 
# California  SNOW COURSE/AERIAL MARKER Site - 7200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1919,,,,,,,,,,Mar 30,,49.3,Apr 29,,41.8,,,
1920,,,,,,,,,,Apr 03,,37.0,,,,Jun 03,,2.5
1921,,,,,,,,,,Mar 27,,59.7,,,,,,
1922,,,,,,,,,,,,,Apr 25,,71.6,Jun 04,,36.9
1923,,,,,,,Feb 27,,52.6,Apr 01,,47.7,Apr 27,,52.7,May 27,,18.4
1924,Dec 28,,4.6,Jan 22,,8.3,Feb 29,,17.7,Mar 27,,22.3,Apr 28,,12.6,,,
1925,Dec 28,,15.7,Feb 06,,23.0,,,,Mar 28,,33.6,,,,,,
1926,,,,Jan 29,,20.7,Feb 24,,29.7,Mar 31,,24.6,,,,,,
1927,,,,Feb 04,,31.4,,,,Mar 27,,51.5,,,,,,
1928,,,,,,,Feb 16,,21.5,Apr 01,,40.4,,,,,,
1929,,,,,,,Feb 16,,26.7,Mar 30,,31.4,,,,,,
1930,,,,,,,,,,Apr 03,,35.6,,,,,,
1931,,,,,,,,,,Mar 26,,25.5,,,,,,
1932,,,,,,,,,,Mar 28,,55.8,,,,,,
1933,,,,,,,,,,Mar 28,,39.6,,,,,,
1934,,,,,,,,,,Mar 30,,23.8,,,,,,
1935,,,,,,,,,,Apr 12,,64.4,,,,,,
1936,,,,,,,,,,Mar 25,,64.1,,,,,,
1937,,,,,,,,,,Apr 02,,53.5,,,,,,
1938,,,,,,,,,,Apr 04,,83.6,,,,,,
1939,,,,,,,,,,Mar 24,,29.7,,,,,,
1940,,,,,,,,,,Apr 02,,51.3,,,,,,
1941,,,,,,,,,,Mar 27,,54.4,,,,,,
1942,,,,,,,,,,Apr 01,,49.4,,,,,,
1943,,,,,,,,,,Apr 01,,53.7,,,,,,
1944,,,,,,,,,,Mar 29,,38.8,,,,,,
1945,,,,,,,,,,Mar 30,,48.5,,,,,,
1946,,,,,,,,,,Mar 27,,58.9,,,,,,
1947,,,,,,,,,,Mar 28,,30.0,,,,,,
1948,,,,,,,,,,Apr 02,,29.5,,,,,,
1949,,,,,,,,,,Apr 04,,49.6,,,,,,
1950,,,,,,,,,,Mar 29,,55.7,,,,,,
1951,,,,,,,,,,Mar 27,,33.6,,,,,,
1952,,,,,,,,,,Apr 02,,98.8,,,,,,
1953,,,,,,,,,,Apr 02,,49.3,,,,,,
1954,,,,,,,,,,Mar 31,,41.4,,,,,,
1955,,,,,,,,,,Mar 25,,35.2,,,,,,
1956,,,,,,,,,,Mar 26,,68.7,,,,,,
1957,,,,,,,,,,Mar 26,,42.0,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,Apr 01,,33.9,,,,,,
1960,,,,,,,,,,Apr 01,,35.9,,,,,,
1961,,,,,,,,,,Mar 30,,33.6,,,,,,
1962,,,,,,,,,,Mar 26,,63.8,,,,,,
1963,,,,,,,,,,Mar 25,,10.3,,,,,,
1964,,,,,,,,,,Mar 26,,37.6,,,,,,
1965,,,,,,,,,,Apr 03,,60.3,,,,,,
1966,,,,,,,,,,Mar 28,,44.7,,,,,,
1967,,,,,,,,,,Apr 08,,71.1,May 02,,78.0,,,
1968,,,,,,,,,,Mar 27,,40.4,,,,,,
1969,,,,,,,,,,Mar 26,,80.8,,,,,,
1970,,,,,,,,,,Mar 31,,44.2,,,,,,
1971,,,,,,,,,,Mar 30,,99.4,,,,,,
1972,,,,Feb 12,,32.8,Feb 29,,42.4,Mar 28,,42.3,Apr 25,,45.0,,,
1973,Dec 27,,16.6,Jan 27,,38.1,Mar 02,,54.6,Mar 26,,60.3,Apr 25,,55.2,,,
1974,Jan 02,,30.0,Jan 22,,38.4,Feb 22,,47.3,Mar 22,,58.0,Apr 30,,68.5,,,
1975,Jan 02,,15.5,Jan 22,,22.8,Feb 25,,53.4,Mar 28,,72.4,Apr 28,,81.9,,,
1976,Dec 29,,7.0,Jan 26,,9.1,Feb 24,,16.0,Mar 26,,23.4,Apr 26,,20.6,,,
1977,Jan 05,,5.8,Jan 31,,7.3,Feb 24,,12.0,Mar 30,,17.8,May 02,,1.1,,,
1978,Jan 07,,28.7,Jan 25,,47.2,Feb 22,,57.5,Mar 25,,67.4,Apr 28,,75.0,,,
1979,Jan 02,,11.3,Jan 25,,19.2,Feb 27,,35.7,Mar 30,,43.0,Apr 24,,44.7,,,
1980,Jan 03,,19.2,Jan 24,,31.9,Feb 29,,53.6,Mar 27,,63.1,Apr 28,,59.4,,,
1981,Dec 31,,8.4,Feb 02,,23.0,Feb 27,,26.2,Mar 28,,35.5,Apr 29,,24.0,,,
1982,Jan 08,,30.5,Jan 29,,39.4,Feb 24,,40.1,Apr 07,,71.7,Apr 28,,63.0,,,
1983,Jan 03,,37.8,Feb 01,,52.8,Feb 22,,68.3,Mar 31,,97.0,May 02,,107.4,May 27,,93.3
1984,Jan 03,,39.0,Jan 31,,35.8,Feb 29,,49.7,Mar 27,,54.2,Apr 24,,56.1,,,
1985,Jan 02,,28.1,Jan 29,,28.5,Feb 25,,37.6,Mar 29,,51.3,Apr 25,,40.4,May 21,,11.7
1986,Jan 02,,23.5,Jan 27,,28.5,Feb 26,,58.8,Mar 27,,64.4,Apr 30,,51.3,,,
1987,Jan 02,,5.5,Jan 29,,14.3,Feb 26,,23.2,Mar 25,,33.4,Apr 28,,13.2,,,
1988,Jan 07,,19.4,Jan 27,,28.5,Feb 25,,27.4,Mar 29,,23.6,Apr 26,,15.4,,,
1989,Jan 04,,24.2,Jan 27,,30.0,Feb 28,,35.4,Apr 03,,55.1,Apr 28,,43.9,Jun 01,,10.7
1990,Jan 04,,7.7,Jan 26,,14.3,Feb 28,,26.7,Mar 26,,29.2,Apr 26,,15.5,,,
1991,Jan 02,,5.0,Feb 01,,6.0,Mar 06,,19.7,Mar 29,,34.5,Apr 23,,32.1,May 28,,18.8
1992,Dec 22,,6.3,Jan 27,,11.0,Feb 26,,27.5,Mar 26,,30.4,Apr 28,,12.3,,,
1993,Jan 03,,31.0,Jan 26,,54.4,Feb 28,,75.2,Mar 31,,78.1,Apr 27,,78.9,May 28,,41.1
1994,Dec 29,,15.5,Jan 29,,18.0,Feb 23,,32.3,Mar 28,,30.8,May 02,,17.5,,,
1995,,,,Feb 01,,67.1,Feb 27,,65.3,Mar 30,,92.5,May 03,,102.4,May 25,,86.8
1996,Jan 02,,6.0,Feb 03,,28.8,Mar 01,,43.1,Mar 26,,49.2,Apr 29,,52.1,May 29,,21.3
1997,Jan 09,,34.0,Feb 03,,57.5,Feb 25,,57.0,Mar 24,,55.2,Apr 28,,37.9,,,
1998,,,,Jan 27,,34.7,Feb 28,,68.3,Mar 27,,76.2,,,,,,
1999,,,,Jan 28,,34.5,Feb 23,,57.9,Mar 29,,65.3,,,,Jun 01,,33.6
2000,,,,Jan 27,,21.3,Mar 01,,50.5,Mar 29,,52.3,May 11,,36.8,,,
2001,,,,Feb 01,,16.6,Feb 28,,32.2,Mar 26,,32.6,,,,,,
2002,Jan 07,,33.0,Feb 01,,39.0,Feb 25,,44.2,Mar 27,,55.1,May 01,,43.7,,,
2003,,,,Jan 29,,30.1,Feb 26,,33.0,Mar 27,,38.6,Apr 30,,50.4,,,
2004,,,,Jan 28,,38.1,Mar 03,,54.7,Mar 31,,46.5,Apr 27,,37.5,,,
2005,,,,Jan 31,,41.7,Feb 23,,45.1,Mar 30,,59.2,Apr 27,,60.2,May 26,,42.2
2006,,,,Jan 31,,26.6,Feb 23,,28.1,Mar 30,,52.0,Apr 25,,69.4,Jun 05,,21.9
2007,,,,Jan 30,,13.9,Mar 03,,30.1,Mar 30,,27.5,Apr 25,,24.4,,,
2008,,,,Feb 06,,38.6,Feb 29,,44.6,Mar 31,,44.5,May 01,,33.0,,,
2009,,,,Jan 28,,17.2,Feb 25,,32.6,Mar 31,,45.7,Apr 30,,38.4,,,
