#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER RRM: Red Rock Mountain, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Red Rock Mountain (RRM) 
# California  SNOW COURSE/AERIAL MARKER Site - 6700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:02 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1946,,,,,,,,,,Mar 27,,50.8,,,,,,
1947,,,,,,,,,,Mar 30,,27.6,,,,,,
1948,,,,,,,,,,Mar 28,,21.5,,,,,,
1949,,,,,,,,,,Mar 31,,54.4,,,,,,
1950,,,,,,,,,,Mar 30,,34.2,,,,,,
1951,,,,,,,,,,Mar 31,,37.2,,,,,,
1952,,,,,,,,,,Mar 27,,74.6,,,,,,
1953,,,,,,,,,,Apr 06,,48.0,,,,,,
1954,,,,,,,,,,Mar 31,,51.5,,,,,,
1955,,,,,,,,,,Mar 29,,23.9,,,,,,
1956,,,,,,,,,,Mar 26,,58.7,,,,,,
1957,,,,,,,,,,Mar 25,,30.9,,,,,,
1958,,,,,,,,,,Apr 01,,92.2,,,,,,
1959,,,,,,,,,,Apr 02,,39.8,,,,,,
1960,,,,,,,,,,Apr 03,,40.9,,,,,,
1961,,,,,,,,,,Apr 06,,46.1,,,,,,
1962,,,,,,,,,,Mar 31,,45.6,,,,,,
1963,,,,,,,,,,Apr 04,,16.6,,,,,,
1964,,,,,,,,,,Mar 30,,24.2,,,,,,
1965,,,,,,,,,,Apr 04,,28.9,,,,,,
1966,,,,Jan 28,,31.4,Mar 03,,48.5,Mar 25,,54.6,Apr 29,,35.2,,,
1967,,,,Jan 31,,38.9,Feb 27,,33.7,Apr 04,,50.2,Apr 28,,60.4,,,
1968,,,,Jan 25,,23.0,Feb 26,,36.0,Mar 28,,38.4,,,,,,
1969,,,,Feb 03,,50.1,,,,Mar 26,,66.7,Apr 28,,64.2,,,
1970,,,,Jan 28,,42.3,Feb 26,,43.7,Mar 27,,25.7,May 04,,33.5,,,
1971,,,,Jan 28,,40.6,Mar 01,,42.1,Mar 31,,49.7,Apr 27,,58.7,,,
