#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER STM: Stouts Meadow, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Stouts Meadow (STM) 
# California  SNOW COURSE/AERIAL MARKER Site - 5400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:12 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1945,,,,,,,,,,Mar 30,,38.8,,,,,,
1946,,,,,,,,,,Mar 30,,52.9,,,,,,
1947,Jan 02,,7.9,Feb 02,,10.6,Mar 02,,16.9,Mar 31,,23.4,Apr 27,,8.4,,,
1948,,,,Jan 31,,2.3,Feb 28,,4.7,,,,May 05,,36.1,,,
1949,,,,Jan 29,,17.4,Feb 26,,25.4,Apr 02,,45.6,May 01,,23.3,,,
1950,,,,Jan 28,,23.3,Mar 04,,30.5,Apr 01,,39.4,Apr 30,,29.8,,,
1951,,,,Feb 03,,23.1,Mar 03,,29.6,Mar 30,,32.6,Apr 28,,11.1,,,
1952,,,,Feb 02,,50.8,Mar 01,,60.4,Mar 29,,65.5,Apr 26,,50.2,,,
1953,,,,Jan 31,,41.7,Feb 28,,42.4,Mar 28,,52.0,May 03,,42.9,,,
1954,,,,Jan 30,,37.0,Feb 27,,51.9,Mar 27,,55.8,May 01,,40.5,,,
1955,,,,Jan 28,,17.9,Feb 25,,20.0,Mar 29,,22.4,May 02,,33.1,,,
1956,,,,Feb 01,,37.5,Mar 06,,66.9,Mar 27,,64.5,May 02,,44.4,,,
1957,,,,Jan 29,,16.2,Mar 02,,18.4,Mar 27,,20.0,May 01,,10.3,,,
1958,,,,Feb 03,,28.0,Feb 28,,37.3,Mar 28,,53.3,May 01,,65.2,,,
1959,,,,Feb 02,,16.0,Feb 25,,32.9,Mar 30,,39.0,Apr 29,,22.2,,,
1960,,,,Feb 02,,22.3,Feb 26,,30.4,Mar 29,,28.1,May 02,,18.9,,,
1961,,,,Feb 01,,17.2,Mar 03,,19.7,Mar 30,,34.2,May 02,,25.3,,,
1962,,,,Feb 01,,27.5,Mar 02,,55.5,Mar 30,,62.4,May 02,,40.9,,,
