#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER STR: Ostrander Lake, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ostrander Lake (STR) 
# California  SNOW COURSE/AERIAL MARKER Site - 8200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:24 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,,,,,,,,,,Mar 23,,52.9,,,,,,
1939,,,,,,,,,,Mar 29,,22.3,Apr 27,,7.3,,,
1940,,,,Jan 30,,18.8,Mar 01,,35.7,Mar 30,,37.4,May 01,,32.6,,,
1941,,,,Jan 25,,22.6,Feb 23,,39.0,Mar 31,,47.4,May 07,,44.8,,,
1942,,,,Jan 29,,29.5,Feb 27,,36.3,Mar 31,,35.9,May 05,,41.7,,,
1943,,,,Jan 29,,28.9,Mar 03,,29.4,Mar 31,,43.6,,,,,,
1944,,,,Jan 29,,13.3,Mar 02,,29.1,Apr 01,,32.7,May 01,,32.9,,,
1945,,,,Jan 25,,16.5,Feb 27,,31.1,Apr 02,,44.4,Apr 28,,33.7,,,
1946,,,,Jan 31,,24.5,Feb 25,,28.6,Mar 27,,29.9,,,,,,
1947,,,,Jan 28,,19.0,Feb 27,,22.7,Mar 27,,24.3,May 02,,11.2,,,
1948,,,,Jan 30,,3.2,Feb 27,,7.9,Apr 02,,22.0,Apr 28,,31.6,,,
1949,,,,Jan 27,,17.1,Feb 28,,23.7,Mar 30,,37.8,May 01,,22.4,,,
1950,,,,Feb 02,,23.7,Feb 24,,30.4,Mar 30,,34.6,May 03,,25.4,,,
1951,,,,Jan 29,,12.7,Feb 26,,16.1,Mar 27,,17.1,May 02,,8.2,,,
1952,,,,Jan 31,,41.3,Feb 26,,48.7,Apr 01,,60.4,Apr 28,,56.4,,,
1953,,,,Jan 27,,21.5,Feb 27,,22.2,Mar 31,,24.1,May 02,,14.6,,,
1954,,,,Feb 01,,12.2,Feb 26,,22.9,Mar 29,,33.3,Apr 30,,20.9,,,
1955,,,,Jan 28,,20.3,Mar 02,,23.1,Mar 29,,24.9,Apr 29,,25.6,,,
1956,,,,Feb 01,,42.1,Mar 02,,44.7,Mar 30,,43.6,Apr 30,,39.6,,,
1957,,,,Jan 30,,14.1,Feb 27,,21.0,Apr 02,,29.7,Apr 29,,22.7,,,
1958,,,,Jan 30,,19.6,Feb 28,,31.6,Mar 28,,44.2,Apr 25,,55.6,,,
1959,,,,Jan 28,,9.8,Feb 26,,25.8,Mar 28,,23.1,Apr 30,,8.4,,,
1960,,,,Jan 26,,9.3,Feb 28,,21.4,Mar 26,,20.2,Apr 29,,14.0,,,
1961,,,,Feb 01,,13.9,Feb 28,,13.9,Mar 30,,20.1,May 01,,5.6,,,
1962,,,,Feb 01,,14.7,Feb 28,,39.0,Mar 30,,47.6,Apr 30,,30.9,,,
1963,,,,,,,Mar 04,,12.6,Mar 28,,21.4,Apr 26,,32.3,,,
1964,,,,Jan 30,,16.0,Mar 02,,15.0,Apr 02,,16.8,Apr 28,,12.9,,,
1965,,,,Feb 01,,33.9,Mar 01,,35.3,Apr 02,,40.2,May 01,,36.0,,,
1966,,,,Feb 03,,29.3,Mar 02,,33.7,Apr 01,,27.1,May 04,,5.7,,,
1967,,,,Feb 03,,26.2,Feb 28,,26.0,Mar 31,,39.4,May 04,,55.6,Jun 06,,37.1
1968,,,,Feb 01,,12.0,Mar 01,,18.0,Apr 04,,20.8,Apr 29,,10.2,,,
1969,,,,Jan 30,,44.3,,,,Apr 01,,70.2,May 05,,65.8,Jun 02,,22.9
1970,,,,Jan 30,,17.0,Feb 27,,23.5,Mar 31,,25.4,May 02,,23.4,,,
1971,,,,Jan 31,,26.6,Feb 27,,29.2,Apr 02,,32.0,May 01,,27.0,,,
1972,,,,Feb 06,,27.3,Mar 01,,26.2,Mar 29,,19.6,Apr 30,,17.8,,,
1973,,,,Jan 31,,23.0,Feb 25,,34.8,Mar 30,,41.3,Apr 24,,46.6,,,
1974,,,,Jan 29,,26.7,Feb 25,,24.8,Mar 27,,36.1,Apr 27,,36.9,,,
1975,,,,Jan 24,,15.6,Feb 26,,30.0,Mar 28,,42.8,Apr 28,,52.7,May 25,,31.4
1976,,,,Jan 24,,4.4,Feb 27,,9.7,Mar 28,,14.0,Apr 30,,5.7,,,
1977,,,,Jan 23,,4.3,Feb 24,,6.1,Mar 25,,8.3,Apr 25,,0.0,,,
1978,,,,Jan 28,,35.8,Feb 26,,48.4,Mar 24,,61.1,Apr 22,,63.9,,,
1979,,,,Jan 27,,17.3,Feb 26,,29.7,Mar 26,,32.9,Apr 21,,35.5,,,
1980,,,,Jan 27,,23.8,Feb 24,,45.6,Mar 20,,48.6,Apr 25,,46.0,,,
1981,,,,Jan 26,,7.8,Feb 21,,18.9,Mar 23,,26.0,Apr 27,,18.5,,,
1982,,,,Jan 24,,27.9,Feb 28,,34.1,Mar 27,,39.8,Apr 20,,50.0,,,
1983,,,,Jan 21,,30.6,,,,Mar 20,,74.0,May 04,,90.0,May 25,,36.6
1984,,,,Jan 30,,29.3,Mar 01,,27.2,Mar 29,,29.9,May 01,,25.3,,,
1985,,,,Jan 28,,18.2,Mar 01,,22.6,Mar 30,,31.1,Apr 26,,22.0,,,
1986,,,,Jan 26,,17.2,Feb 27,,49.3,Mar 30,,54.2,Apr 30,,40.1,,,
1987,,,,Jan 27,,4.8,Feb 27,,12.9,Mar 28,,19.6,May 01,,0.0,,,
1988,,,,Jan 27,,15.9,Feb 25,,14.1,Mar 28,,12.0,Apr 27,,5.6,,,
1989,,,,Jan 27,,16.9,Feb 25,,20.2,Mar 31,,26.2,Apr 27,,7.4,,,
1990,,,,Jan 30,,11.9,Feb 26,,19.1,Mar 27,,17.4,Apr 26,,3.7,,,
1991,,,,Feb 01,,3.8,Feb 26,,5.1,Mar 29,,26.3,Apr 25,,24.9,,,
1992,,,,Jan 27,,10.4,Feb 27,,20.1,Mar 28,,24.6,Apr 30,,3.7,,,
1993,,,,Jan 29,,40.2,Feb 28,,63.2,Mar 27,,60.0,Apr 30,,50.7,,,
1994,,,,Jan 30,,7.0,Feb 23,,17.2,Mar 28,,17.3,Apr 27,,6.6,,,
1995,,,,Jan 30,,39.2,Feb 25,,40.4,Mar 29,,65.8,Apr 25,,64.6,,,
1996,,,,Jan 29,,16.6,Feb 27,,30.7,Mar 27,,34.4,Apr 25,,34.1,,,
1997,,,,Jan 29,,41.9,Feb 27,,44.6,Mar 27,,38.1,Apr 24,,28.2,,,
1998,,,,Jan 27,,21.2,Feb 27,,50.6,Mar 30,,55.3,Apr 27,,58.0,,,
1999,,,,Jan 29,,19.0,Feb 28,,32.2,Mar 28,,32.9,May 01,,32.0,,,
2000,,,,Jan 29,,15.7,Mar 01,,36.7,Mar 29,,36.1,Apr 26,,28.4,,,
2001,,,,Jan 31,,14.2,Feb 27,,24.5,Apr 01,,23.0,Apr 27,,24.3,,,
2002,,,,Jan 26,,20.6,Feb 26,,24.7,Mar 31,,29.2,Apr 25,,15.0,,,
2003,,,,Jan 26,,19.6,Feb 26,,22.6,Mar 27,,24.7,Apr 30,,30.9,,,
2004,,,,Jan 30,,21.2,Feb 28,,31.2,Mar 30,,25.2,Apr 26,,10.3,,,
2005,,,,Jan 30,,41.3,Feb 24,,48.1,Mar 29,,59.3,Apr 26,,56.9,,,
2006,,,,Jan 27,,28.3,Feb 25,,29.7,Mar 30,,48.9,Apr 26,,59.4,,,
2007,,,,Jan 28,,9.0,Mar 01,,21.9,Mar 30,,15.7,Apr 27,,6.2,,,
2008,,,,Jan 30,,24.6,Feb 26,,30.2,Mar 26,,33.0,Apr 30,,19.2,,,
2009,,,,Jan 28,,15.1,Feb 27,,26.4,Mar 26,,33.7,May 01,,21.6,,,
2010,,,,Jan 28,,22.7,Feb 25,,30.1,Apr 02,,36.9,May 03,,39.3,,,
2011,,,,Jan 28,,31.3,Feb 23,,40.1,Mar 31,,58.9,Apr 28,,55.8,Jun 02,,33.0
2012,,,,Jan 28,,7.1,Feb 26,,8.9,Mar 29,,17.8,May 01,,7.0,,,
2013,,,,Jan 29,,22.9,Feb 26,,21.3,Mar 26,,21.6,Apr 29,,3.8,,,
2014,,,,Feb 01,,4.5,Feb 25,,7.0,Mar 28,,12.0,Apr 30,,4.0,,,
2015,,,,Jan 28,,7.5,Feb 25,,4.5,Mar 30,,0.0,Apr 30,,0.0,,,
2016,,,,Jan 27,,18.5,Feb 24,,27.5,Mar 30,,32.5,May 02,,19.0,,,
2017,,,,Jan 30,,43.0,Feb 23,,58.0,Mar 29,,63.0,Apr 27,,60.5,,,
2018,,,,Feb 03,,4.5,Feb 25,,6.0,Mar 29,,24.0,Apr 26,,12.5,,,
2019,,,,Jan 30,,20.0,Feb 23,,46.0,Mar 31,,56.0,May 01,,41.5,,,
2020,,,,Jan 29,,13.0,Feb 27,,11.5,Mar 30,,18.0,May 01,,8.5,,,
2021,,,,,,,Feb 22,,20.0,Mar 30,,22.5,May 01,,2.0,,,
2022,,,,Jan 28,,20.0,Feb 28,,20.0,Mar 31,,15.0,Apr 27,,9.0,,,
2023,,,,Jan 29,,43.5,,,,Apr 02,,80.0,Apr 28,,71.0,,,
2024,,,,,,,,,,,,,,,,,,
