#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER TRL: Trailhead, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Trailhead (TRL) 
# California  SNOW COURSE/AERIAL MARKER Site - 9100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:57:39 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1982,,,,Jan 25,,10.4,Feb 24,,10.8,Mar 23,,12.9,Apr 27,,12.3,,,
1983,,,,Feb 01,,17.2,Feb 22,,19.3,Mar 31,,29.4,Apr 28,,29.4,,,
1984,,,,Jan 25,,9.4,Feb 28,,8.4,Mar 26,,9.6,,,,,,
1985,,,,Jan 28,,13.3,Feb 26,,14.0,Mar 26,,15.8,,,,,,
1986,,,,Jan 29,,6.8,Feb 28,,20.6,Mar 25,,24.8,,,,,,
1987,,,,Jan 30,,2.2,Feb 25,,4.3,Apr 01,,5.2,,,,,,
1988,,,,Jan 27,,6.0,Feb 24,,5.4,Mar 25,,6.0,,,,,,
1989,,,,Jan 25,,9.3,Feb 28,,13.4,Mar 24,,14.6,,,,,,
1990,,,,Jan 26,,4.9,Feb 22,,7.2,Mar 29,,3.8,,,,,,
1991,,,,Jan 28,,0.8,Feb 25,,1.0,Apr 02,,12.6,,,,,,
1992,,,,,,,Feb 24,,8.7,Mar 31,,13.6,,,,,,
1993,,,,Jan 26,,14.5,Mar 10,,19.7,Mar 26,,20.7,,,,,,
1994,,,,Jan 27,,2.1,Feb 25,,7.1,Mar 29,,6.4,,,,,,
1995,,,,Jan 31,,15.6,Feb 24,,16.4,Mar 28,,26.0,,,,,,
1996,,,,Jan 30,,6.2,Feb 29,,13.1,Mar 28,,12.6,,,,,,
1997,,,,Jan 29,,16.1,Feb 27,,16.5,Apr 01,,12.7,,,,,,
1998,,,,Jan 29,,6.2,Feb 26,,20.4,Apr 01,,27.7,,,,,,
1999,,,,Jan 23,,3.1,Feb 20,,7.6,Mar 23,,8.1,,,,,,
2000,,,,Jan 28,,2.0,Feb 23,,7.8,Mar 28,,7.6,,,,,,
2001,,,,Jan 26,,3.2,Feb 22,,8.2,Mar 29,,11.6,,,,,,
2002,,,,Jan 25,,6.6,Feb 22,,7.0,Mar 22,,6.5,,,,,,
2003,,,,Jan 24,,9.3,Feb 21,,12.2,Mar 19,,12.7,,,,,,
2004,,,,Jan 23,,7.2,Feb 20,,8.6,Mar 25,,9.1,,,,,,
2005,,,,Jan 26,,20.9,Mar 01,,25.9,Mar 25,,26.6,,,,,,
2006,,,,Jan 24,,19.8,Mar 01,,13.8,Mar 27,,14.9,,,,,,
2007,,,,Jan 24,,1.0,Feb 22,,2.2,Mar 26,,0.6,,,,,,
2008,,,,Jan 24,,10.1,Feb 21,,13.9,Mar 26,,15.6,,,,,,
2009,,,,Jan 26,,4.1,Feb 19,,8.8,Mar 24,,9.2,,,,,,
2010,,,,Jan 26,,12.5,Feb 23,,14.5,Apr 02,,13.7,,,,,,
2011,,,,Jan 24,,16.3,Feb 23,,17.4,Mar 29,,21.6,,,,,,
2012,,,,Jan 30,,4.8,Feb 22,,4.7,Mar 21,,4.7,,,,,,
2013,,,,Jan 31,,4.7,Feb 26,,4.7,Mar 20,,2.9,,,,,,
2014,,,,Jan 22,,2.5,Feb 26,,2.0,Mar 24,,3.5,,,,,,
2015,,,,Jan 21,,2.5,Feb 24,,2.5,Mar 23,,0.5,,,,,,
2016,,,,Jan 28,,4.0,Feb 23,,7.5,Mar 23,,6.5,,,,,,
2017,,,,Jan 30,,20.5,Feb 23,,28.0,Mar 28,,26.5,,,,,,
2018,,,,Jan 24,,1.0,Feb 23,,1.5,Mar 30,,5.5,,,,,,
2019,,,,Jan 24,,10.5,Feb 21,,20.0,Mar 30,,22.5,,,,,,
2020,,,,Feb 04,,6.5,Mar 04,,8.0,Mar 24,,9.5,,,,,,
2021,,,,Feb 05,,3.5,Mar 04,,4.0,Apr 01,,3.0,,,,,,
2022,,,,Feb 02,,8.0,Mar 02,,6.5,Mar 30,,2.5,,,,,,
2023,,,,Feb 02,,21.5,Mar 08,,28.5,Mar 31,,40.0,May 01,,29.0,Jun 03,,3.0
2024,,,,,,,,,,,,,,,,,,
