#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER WLW: Wilma Lake, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Wilma Lake (WLW) 
# California  SNOW COURSE/AERIAL MARKER Site - 8000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:04 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1946,,,,Jan 30,,31.5,Mar 01,,37.0,Apr 01,,45.4,,,,,,
1947,,,,Feb 01,,22.3,Feb 27,,25.8,Apr 01,,32.6,,,,,,
1948,,,,Jan 29,,7.5,Mar 02,,13.4,Apr 01,,26.3,May 02,,37.9,,,
1949,,,,Jan 30,,17.4,Feb 28,,28.2,Mar 27,,40.9,,,,,,
1950,,,,,,,Feb 28,,37.0,Mar 30,,47.7,,,,,,
1951,,,,,,,Mar 02,,33.5,Mar 30,,34.8,May 02,,26.6,,,
1952,,,,,,,Feb 28,,63.4,Mar 27,,76.0,,,,,,
1953,,,,,,,Feb 27,,31.9,Mar 27,,36.4,,,,,,
1954,,,,,,,Feb 28,,27.2,Mar 28,,40.2,,,,,,
1955,,,,Jan 29,,25.0,Mar 01,,30.9,Mar 27,,28.0,,,,,,
1956,,,,Jan 30,,53.6,Feb 29,,61.8,Mar 29,,58.8,,,,,,
1957,,,,Feb 01,,19.0,Mar 01,,29.5,Mar 28,,36.1,,,,,,
1958,,,,Jan 31,,22.8,Feb 27,,39.9,Mar 28,,57.7,,,,,,
1959,,,,Jan 29,,18.4,Feb 27,,35.0,Mar 28,,32.1,,,,,,
1960,,,,Jan 28,,12.0,Feb 29,,28.0,Mar 29,,33.4,,,,,,
1961,,,,Jan 30,,11.4,Mar 03,,14.5,Mar 30,,22.6,,,,,,
1962,,,,Jan 28,,16.4,Mar 03,,46.2,Mar 29,,55.0,,,,,,
1963,,,,,,,Feb 27,,16.7,Mar 26,,21.5,,,,,,
1964,,,,Jan 30,,19.3,Feb 26,,17.6,Apr 04,,25.0,,,,,,
1965,,,,Jan 26,,43.7,Feb 26,,45.4,Mar 30,,51.4,,,,,,
