#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER WRN: Warner Creek, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Warner Creek (WRN) 
# California  SNOW COURSE/AERIAL MARKER Site - 5100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:12:02 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1930,,,,,,,,,,Mar 26,,10.8,,,,,,
1931,,,,Feb 01,,4.5,,,,Apr 03,,0.0,,,,,,
1932,,,,,,,,,,Mar 28,,15.7,,,,,,
1933,,,,,,,,,,Mar 31,,18.4,,,,,,
1934,,,,,,,,,,Mar 24,,0.4,,,,,,
1935,,,,,,,,,,Mar 29,,24.4,,,,,,
1936,,,,,,,,,,Mar 24,,12.1,,,,,,
1937,,,,,,,,,,Mar 29,,23.7,,,,,,
1938,,,,,,,Feb 21,,25.2,Apr 07,,35.6,May 04,,18.0,,,
1939,,,,,,,Feb 25,,11.6,Mar 24,,10.5,,,,,,
1940,,,,,,,Mar 03,,15.8,Mar 26,,10.4,,,,,,
1941,,,,,,,,,,Mar 25,,16.8,,,,,,
1942,,,,,,,,,,Mar 26,,17.7,,,,,,
1943,,,,,,,,,,Mar 29,,12.0,,,,,,
1944,,,,,,,Feb 27,,14.0,Mar 23,,17.7,,,,,,
1945,,,,,,,,,,Mar 30,,18.2,,,,,,
1946,,,,,,,,,,Mar 27,,20.1,,,,,,
1947,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,Apr 01,,7.7,,,,,,
1949,,,,,,,,,,Mar 28,,18.5,,,,,,
1950,,,,,,,,,,Mar 27,,17.5,,,,,,
1951,,,,,,,,,,Apr 03,,10.0,,,,,,
1952,,,,Feb 05,,32.1,,,,Apr 02,,39.2,,,,,,
1953,,,,,,,,,,Apr 03,,16.0,,,,,,
1954,,,,,,,Feb 25,,18.7,Apr 02,,19.0,,,,,,
1955,,,,Jan 28,,10.2,Mar 07,,11.9,Mar 25,,9.2,,,,,,
1956,,,,Jan 27,,18.7,Mar 07,,32.1,Mar 26,,26.3,,,,,,
1957,,,,Jan 29,,8.1,Mar 04,,8.5,Mar 25,,5.7,,,,,,
1958,,,,Feb 05,,16.8,Mar 07,,20.4,Apr 09,,33.3,,,,,,
1959,,,,Feb 02,,6.7,Mar 03,,14.8,Mar 27,,9.0,,,,,,
1960,,,,Jan 28,,9.5,Mar 03,,15.3,Mar 28,,12.2,,,,,,
1961,,,,Jan 31,,9.9,Feb 27,,10.9,Mar 27,,15.7,,,,,,
1962,,,,Feb 02,,10.0,Feb 28,,20.0,Apr 05,,21.4,,,,,,
1963,,,,Jan 28,,0.0,Feb 26,,0.0,Mar 26,,0.0,,,,,,
1964,,,,Jan 30,,11.1,Mar 04,,11.4,Apr 01,,9.8,,,,,,
1965,,,,,,,,,,Apr 02,,8.0,,,,,,
1966,,,,,,,,,,Mar 28,,17.7,,,,,,
1967,,,,,,,,,,Apr 04,,20.1,,,,,,
1968,,,,,,,,,,Mar 29,,10.8,,,,,,
1969,,,,,,,,,,Mar 27,,35.5,,,,,,
1970,,,,,,,,,,Apr 02,,9.6,,,,,,
1971,,,,,,,,,,Apr 01,,24.7,,,,,,
1972,,,,Jan 31,,12.6,,,,Mar 28,,4.0,,,,,,
1973,,,,Jan 26,,17.2,,,,Mar 27,,25.2,,,,,,
1974,,,,Jan 22,,11.1,,,,Apr 02,,13.8,,,,,,
1975,,,,Jan 24,,6.0,Feb 25,,22.7,Mar 28,,30.9,Apr 21,,28.8,,,
1976,Dec 30,,0.0,Jan 27,,1.6,Feb 24,,2.8,Mar 23,,2.4,Apr 23,,0.0,,,
1977,Jan 10,,2.5,Jan 27,,3.5,Mar 02,,2.8,Mar 31,,2.3,May 02,,0.0,,,
1978,,,,Jan 25,,19.1,Feb 23,,21.0,Mar 24,,22.4,Apr 27,,8.7,,,
1979,Jan 03,,3.2,Jan 29,,6.6,Mar 05,,17.7,Apr 03,,14.6,Apr 25,,4.3,,,
1980,Jan 04,,6.2,Jan 28,,4.7,Feb 26,,11.0,Apr 01,,8.8,Apr 28,,0.0,,,
1981,Jan 02,,4.5,Jan 30,,8.9,Feb 27,,9.7,Apr 02,,6.9,Apr 29,,0.0,,,
1982,Jan 07,,6.0,Jan 27,,8.1,Feb 24,,6.2,Apr 05,,16.2,Apr 30,,8.2,,,
1983,Jan 03,,13.5,Feb 01,,19.5,Mar 04,,35.2,Mar 31,,39.6,May 02,,33.3,May 26,,8.3
1984,Jan 03,,15.4,Jan 31,,14.4,Feb 28,,19.3,Mar 30,,8.8,Apr 26,,0.0,,,
1985,Jan 02,,9.6,Jan 31,,10.4,Feb 25,,13.2,Mar 28,,14.9,Apr 30,,0.0,,,
1986,Jan 06,,8.1,Feb 06,,14.2,Feb 27,,15.2,Mar 27,,7.6,May 07,,0.0,,,
1987,Dec 30,,1.9,Feb 03,,10.7,Feb 26,,12.6,Mar 27,,10.5,,,,,,
1988,Jan 06,,5.8,Jan 26,,10.7,Feb 25,,10.5,Apr 01,,0.0,Apr 27,,0.0,,,
1989,Jan 03,,8.2,Jan 30,,12.8,Feb 27,,12.4,Mar 30,,10.4,Apr 28,,0.0,,,
1990,Jan 03,,2.2,Jan 29,,5.2,Feb 26,,10.6,Mar 28,,4.0,May 01,,0.0,,,
1991,Jan 02,,1.1,Jan 30,,2.4,Feb 27,,0.0,Mar 27,,10.8,Apr 29,,0.0,,,
1992,Dec 30,,5.5,Jan 28,,8.3,Feb 25,,15.3,Mar 31,,6.1,,,,,,
1993,Jan 03,,17.0,Jan 27,,27.9,Feb 24,,35.9,Mar 29,,26.8,Apr 27,,14.0,,,
1994,Dec 29,,3.7,Jan 27,,6.1,Feb 23,,13.6,Mar 29,,4.5,,,,,,
1995,Dec 28,,15.8,Feb 01,,30.8,Feb 24,,27.4,Mar 25,,33.8,Apr 25,,23.9,May 30,,0.0
1996,Jan 02,,3.1,Feb 01,,13.3,Feb 26,,15.1,Mar 28,,12.2,Apr 29,,0.0,,,
1997,Jan 06,,0.4,Jan 29,,8.4,Feb 26,,8.3,Mar 26,,3.8,Apr 29,,0.0,,,
1998,,,,Jan 27,,13.1,Feb 24,,28.3,Mar 26,,23.3,,,,Jun 13,,0.0
1999,,,,Jan 27,,9.7,Feb 23,,20.9,Mar 29,,18.2,,,,,,
2000,,,,Jan 26,,9.6,Mar 01,,20.2,Mar 28,,14.2,,,,,,
2001,,,,Jan 30,,7.2,Feb 27,,12.0,Mar 27,,7.5,Apr 25,,0.0,,,
2002,,,,Jan 29,,17.7,Feb 25,,18.7,Mar 27,,17.9,,,,,,
2003,,,,Jan 28,,12.2,Feb 24,,12.6,Mar 24,,8.4,Apr 30,,3.4,May 28,,0.0
2004,,,,Jan 26,,15.1,Feb 23,,21.6,Mar 30,,15.3,Apr 27,,0.0,,,
2005,,,,Jan 31,,11.7,Feb 22,,12.5,Mar 30,,10.8,Apr 25,,0.4,,,
2006,,,,Jan 25,,9.1,Feb 22,,12.0,Mar 28,,19.5,Apr 24,,21.2,,,
2007,,,,Jan 29,,5.8,Feb 27,,11.0,Mar 29,,0.3,Apr 24,,1.1,,,
2008,,,,Jan 29,,16.8,Feb 26,,24.2,Mar 27,,16.6,Apr 30,,0.0,,,
2009,,,,Jan 28,,6.7,Feb 25,,10.8,Mar 31,,6.3,Apr 29,,0.0,,,
2010,,,,Jan 28,,19.2,Feb 22,,21.7,Mar 27,,21.4,Apr 24,,14.4,,,
2011,,,,Jan 25,,14.0,Feb 22,,17.4,Mar 28,,31.1,Apr 26,,18.2,,,
2012,,,,Jan 28,,4.7,Feb 24,,3.2,Mar 28,,7.6,Apr 30,,0.0,,,
2013,,,,Jan 28,,7.8,Feb 26,,8.2,Mar 26,,0.8,Apr 29,,0.0,,,
2014,,,,Jan 28,,0.0,Feb 24,,0.0,Apr 02,,2.5,Apr 29,,0.0,,,
2015,,,,Jan 26,,2.0,Feb 23,,0.0,Mar 26,,0.0,Apr 24,,0.0,,,
2016,,,,Jan 25,,14.5,Feb 23,,14.0,Mar 28,,12.5,Apr 27,,0.0,,,
2017,,,,Jan 26,,18.5,Feb 28,,21.5,Mar 28,,19.5,Apr 27,,3.0,,,
2018,,,,Jan 30,,3.5,Feb 23,,1.0,Mar 26,,4.5,Apr 25,,0.0,,,
2019,,,,Jan 28,,12.0,Feb 28,,27.0,Apr 01,,28.0,Apr 29,,8.0,,,
2020,,,,Feb 01,,7.5,Feb 23,,6.0,Apr 05,,3.5,Apr 25,,0.0,,,
2021,,,,Jan 30,,8.0,Feb 26,,13.0,Mar 25,,13.5,Apr 28,,0.0,,,
2022,,,,Jan 27,,11.5,Feb 24,,9.0,Mar 29,,0.0,Apr 26,,0.0,,,
2023,,,,Jan 26,,20.0,Mar 02,,26.0,Mar 25,,30.5,Apr 26,,22.5,,,
2024,,,,,,,,,,,,,,,,,,
