#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 05J08: University Camp, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# University Camp (05J08) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 10300 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:29 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,,,,,,,Mar 01,48,16.3,Apr 01,66,19.8,May 01,54,20.4,,,
1939,,,,Feb 01,47,15.1,Mar 01,59,19.1,Apr 01,60,22.3,May 01,59,22.3,,,
1940,,,,Feb 01,33,8.0,Feb 29,44,14.4,Apr 01,45,16.8,May 01,41,16.7,,,
1941,,,,Jan 29,21,4.3,Feb 28,31,7.4,Apr 01,45,11.8,May 01,52,16.6,,,
1942,,,,Jan 28,28,7.2,Feb 27,48,13.8,Mar 30,55,18.5,Apr 29,72,23.2,,,
1943,,,,Jan 27,44,15.5,Feb 26,55,22.8,Mar 29,72,28.6,Apr 28,50,22.6,,,
1944,,,,Jan 29,19,3.7,Feb 27,29,6.1,Mar 31,60,16.6,Apr 29,63,21.6,,,
1945,,,,Jan 31,33,8.2,Feb 27,54,16.0,Apr 01,59,19.5,May 01,72,26.0,,,
1946,,,,Jan 30,52,16.6,Feb 26,55,20.2,Mar 30,58,24.1,Apr 29,38,17.2,,,
1947,,,,Jan 28,37,10.7,Mar 09,64,19.3,Apr 01,75,25.5,May 02,70,27.4,,,
1948,,,,Jan 30,45,14.0,Feb 26,53,15.5,Mar 29,67,24.0,Apr 29,62,25.4,,,
1949,,,,Feb 05,46,11.2,Feb 27,58,20.2,Mar 29,78,25.1,,,,,,
1950,,,,Jan 28,28,6.7,Feb 27,37,8.6,Mar 29,56,18.3,Apr 27,50,18.7,,,
1951,,,,Jan 27,58,20.2,Feb 26,73,26.2,Mar 31,89,34.0,Apr 30,89,36.6,,,
1952,,,,Jan 26,63,20.1,Feb 29,63,25.0,Apr 02,87,34.4,Apr 29,79,36.7,,,
