#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 05J21: Ward, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Ward (05J21) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 9500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:56 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1950,,,,Jan 30,12,2.2,Mar 01,14,3.1,Apr 01,16,4.5,May 01,11,3.9,,,
1951,,,,Feb 02,25,5.4,Mar 01,26,11.5,Apr 03,35,9.6,May 01,34,10.5,,,
1952,,,,Feb 02,24,6.2,Feb 28,27,6.8,Apr 01,36,9.0,May 01,23,7.4,,,
1953,,,,Feb 02,15,2.8,Mar 06,23,4.8,Apr 02,27,5.2,May 02,18,5.2,,,
1954,,,,Feb 01,17,4.5,Mar 02,21,4.7,Apr 03,20,5.3,Apr 30,0,0.0,,,
1955,,,,Feb 02,8,1.6,Mar 01,14,2.1,Apr 02,19,4.4,May 01,0,0.0,,,
1956,,,,Feb 03,20,5.3,Mar 01,26,7.2,Mar 30,24,8.1,Apr 30,21,8.4,,,
1957,,,,Feb 01,22,4.9,Feb 26,21,6.4,Apr 01,40,12.8,May 01,38,14.9,,,
1958,,,,Jan 30,11,2.6,Feb 28,11,3.2,Mar 31,23,6.4,Apr 30,27,7.9,,,
1959,,,,Jan 30,24,7.0,Feb 26,29,7.7,Mar 31,37,10.5,May 01,24,8.6,,,
1960,,,,Jan 28,9,1.9,Feb 25,17,3.8,Mar 29,16,5.4,Apr 28,6,1.7,,,
1961,,,,Jan 27,16,4.1,Feb 28,22,4.8,Mar 30,30,7.5,Apr 28,26,9.1,,,
1962,,,,Jan 29,21,4.9,Feb 26,24,5.9,Mar 29,25,6.8,Apr 27,7,2.0,,,
1963,,,,Jan 30,16,2.7,Feb 27,19,4.4,Mar 27,22,7.3,Apr 26,5,2.2,,,
1964,,,,Jan 30,10,1.9,Feb 27,17,2.9,Mar 30,20,3.5,Apr 27,20,5.6,,,
